fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2010-02-22,valle,cali (ct),articulo 343. terrorismo,lunes,22:30:00,el cedro e19,urbana,oficinas,petardo planfetario,a pie,a pie,76001000
2010-02-22,valle,cali (ct),articulo 343. terrorismo,lunes,23:00:00,alameda e9,urbana,oficinas,petardo planfetario,a pie,a pie,76001000
