fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2012-01-01,valle,cali (ct),domingo,20:15:00,villacolombia e8,urbana,vias publicas,llave maestra,a pie,a pie,44,masculino,casado,colombia,independiente,,secundaria,76001000,camioneta,chevrolet,luv,1986,rojo
2012-01-02,valle,cali (ct),lunes,19:21:00,el troncal e8,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,24,masculino,union libre,colombia,comerciante,,secundaria,76001000,camioneta,toyota,hilux 4x2 d.c,2008,blanco
2012-01-03,valle,cali (ct),martes,19:45:00,el limonar e17,urbana,vias publicas,arma de fuego,a pie,conductor taxi,62,femenino,viudo,colombia,independiente,,secundaria,76001000,taxi,hyundai,atos prime gl,2012,amarillo
2012-01-04,valle,cali (ct),miercoles,03:00:00,el refugio e19,urbana,vias publicas,llave maestra,a pie,a pie,30,masculino,soltero,colombia,independiente,,superior,76001000,camioneta,hyundai,tucson gl,2007,negro
2012-01-04,valle,cali (ct),miercoles,05:00:00,villacolombia e8,urbana,vias publicas,llave maestra,a pie,a pie,23,masculino,soltero,colombia,independiente,,tecnico,76001000,camioneta,chevrolet,kb 41,1988,negro
2012-01-04,valle,cali (ct),miercoles,07:40:00,los sauces e11,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,30,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camion,chevrolet,sin linea,2009,gris
2012-01-05,valle,cali (ct),jueves,21:00:00,la flora e2,urbana,,llave maestra,a pie,a pie,21,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,aveo ls,2008,gris
2012-01-05,valle,cali (ct),jueves,12:00:00,el calvario e3,urbana,vias publicas,llave maestra,a pie,a pie,25,femenino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,626 nuevo milenio,2007,gris
2012-01-06,valle,cali (ct),viernes,21:00:00,el ingenio e17,urbana,vias publicas,arma de fuego,pasajero taxi,conductor taxi,76,masculino,union libre,colombia,independiente,,secundaria,76001000,taxi,hyundai,atos prime gl,2012,amarillo
2012-01-06,valle,cali (ct),viernes,15:30:00,chiminangos i e5,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,28,masculino,casado,,independiente,,secundaria,76001000,automovil,renault,clio expression cool,2004,azul
2012-01-06,valle,cali (ct),viernes,17:30:00,lili e17,urbana,vias publicas,arma de fuego,pasajero taxi,conductor taxi,51,masculino,casado,colombia,independiente,,secundaria,76001000,taxi,daewoo,cielo bx,2001,amarillo
2012-01-07,valle,cali (ct),sabado,22:00:00,san fernando nuevo e19,urbana,vias publicas,llave maestra,a pie,a pie,60,masculino,casado,colombia,pensionado,,secundaria,76001000,campero,chevrolet,samurai,1990,blanco
2012-01-07,valle,cali (ct),sabado,03:00:00,antonio narino e16,urbana,vias publicas,llave maestra,a pie,a pie,29,masculino,soltero,colombia,independiente,,secundaria,76001000,camioneta,kia,master,1980,marron
