fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2013-01-01,valle,cali (ct),martes,20:00:00,valle grande e21,urbana,,llave maestra,a pie,a pie,62,masculino,casado,colombia,independiente,,primaria,76001000,automovil,chevrolet,chevette,1982,rojo
2013-01-01,valle,cali (ct),martes,03:00:00,la nueva base e8,urbana,vias publicas,llave maestra,a pie,a pie,28,femenino,soltero,colombia,comerciante,,superior,76001000,automovil,chevrolet,super carry pass techo alto,2007,blanco
2013-01-01,valle,cali (ct),martes,09:00:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,47,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,suzuki,sj410,1982,rojo
2013-01-01,valle,cali (ct),martes,23:30:00,departamental e10,urbana,,llave maestra,a pie,a pie,28,masculino,soltero,colombia,empleado particular,no reportada,superior,76001000,automovil,chevrolet,aveo l,2008,plata
2013-01-02,valle,cali (ct),miercoles,05:00:00,el jardin e11,urbana,,llave maestra,a pie,a pie,41,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,323 nb,1989,blanco
2013-01-02,valle,cali (ct),miercoles,17:15:00,mariano ramos e16,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,52,masculino,casado,colombia,comerciante,,primaria,76001000,camioneta,ford,explorer sport,2007,negro
2013-01-03,valle,cali (ct),jueves,14:30:00,guayaquil e9,urbana,vias publicas,arma de fuego,a pie,a pie,52,masculino,casado,colombia,independiente,no reportada,superior,76001000,camioneta,toyota,fortuner,2011,plateado
2013-01-04,valle,cali (ct),viernes,21:00:00,,urbana,,arma de fuego,a pie,a pie,47,femenino,soltero,,empleado particular,,tecnico,76001000,camioneta,mazda,b 2200,2001,dorado
2013-01-04,valle,cali (ct),viernes,22:00:00,el ingenio e17,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,empleado particular,,superior,76001000,camioneta,toyota,hilux,2008,plata
2013-01-04,valle,cali (ct),viernes,11:00:00,mojica e15,urbana,,llave maestra,a pie,a pie,25,femenino,union libre,colombia,ama de casa,,secundaria,76001000,camioneta,chevrolet,luv kb 21,1984,azul
2013-01-04,valle,cali (ct),viernes,19:45:00,la base e8,urbana,garaje,arma de fuego,conductor motocicleta,a pie,46,femenino,casado,colombia,empleado particular,,superior,76001000,automovil,chevrolet,corsa evolution,2003,plata
2013-01-05,valle,cali (ct),sabado,08:00:00,alameda e9,urbana,vias publicas,arma de fuego,a pie,a pie,52,masculino,soltero,colombia,empleado particular,,superior,76001000,camioneta,mazda,bt 50,2012,plata
2013-01-05,valle,cali (ct),sabado,08:00:00,los comuneros i e15,urbana,,llave maestra,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000,campero,land rover,santana,1986,abano
2013-01-05,valle,cali (ct),sabado,07:00:00,san fernando nuevo e19,urbana,,llave maestra,a pie,a pie,43,femenino,casado,colombia,empleado particular,,superior,76001000,camioneta,toyota,prado vx,1999,azul
2013-01-05,valle,cali (ct),sabado,01:00:00,la hacienda e17,urbana,bahia,llave maestra,a pie,a pie,55,femenino,casado,colombia,ama de casa,,superior,76001000,automovil,hyundai,atos santro gl,2006,azul
2013-01-05,valle,cali (ct),sabado,15:30:00,belalcazar e9,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,33,masculino,union libre,colombia,empleado particular,,secundaria,76001000,camioneta,chevrolet,luv d max,2007,gris
2013-01-05,valle,cali (ct),sabado,07:30:00,,urbana,,llave maestra,a pie,a pie,52,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,mazda,626,2004,gris
2013-01-05,valle,cali (ct),sabado,20:29:00,la hacienda e17,urbana,vias publicas,llave maestra,a pie,a pie,36,femenino,casado,colombia,ama de casa,,superior,76001000,automovil,kia,picanto ex,2009,rojo
2013-01-06,valle,cali (ct),domingo,15:00:00,metropolitano del norte e5,urbana,bahia,llave maestra,a pie,a pie,43,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,renault,r 9 gtl,1985,abano
2013-01-06,valle,cali (ct),domingo,14:30:00,san vicente e2,urbana,vias publicas,llave maestra,a pie,a pie,27,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 nb,1994,gris
2013-01-06,valle,cali (ct),domingo,20:35:00,primero de mayo e17,urbana,bahia,llave maestra,a pie,a pie,37,femenino,soltero,colombia,empleado particular,,superior,76001000,automovil,chevrolet,aveo,2008,beige
2013-01-07,valle,cali (ct),lunes,08:00:00,cristobal colon e10,urbana,,llave maestra,a pie,a pie,50,masculino,casado,,empleado particular,,superior,76001000,automovil,renault,r 12 tl,1980,azul
2013-01-07,valle,cali (ct),lunes,06:00:00,panamericano e10,urbana,vias publicas,llave maestra,a pie,a pie,47,femenino,casado,,ama de casa,,secundaria,76001000,camioneta,mazda,b 2000,1991,blanco
2013-01-07,valle,cali (ct),lunes,07:00:00,villacolombia e8,urbana,vias publicas,llave maestra,a pie,a pie,23,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,323 hb,1991,gris
2013-01-08,valle,cali (ct),martes,12:00:00,cristobal colon e10,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,45,masculino,casado,colombia,empleado particular,,secundaria,76001000,camioneta,toyota,hilux 4x2 d.c,2008,blanco
2013-01-08,valle,cali (ct),martes,16:30:00,ciudad de los alamos e2,urbana,vias publicas,arma de fuego,conductor taxi,conductor vehiculo,30,masculino,union libre,colombia,independiente,,primaria,76001000,volqueta,chevrolet,c 70 149,1990,blanco
2013-01-08,valle,cali (ct),martes,20:15:00,alferez real e18,urbana,vias publicas,llave maestra,a pie,a pie,64,masculino,union libre,colombia,independiente,,secundaria,76001000,automovil,mazda,b 2000,1988,vinotinto
2013-01-08,valle,cali (ct),martes,20:15:00,champagnat e19,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,47,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,kia,sorento ex,2012,plata
2013-01-09,valle,cali (ct),miercoles,21:30:00,metropolitano del norte e5,urbana,vias publicas,llave maestra,a pie,a pie,30,femenino,soltero,colombia,independiente,,superior,76001000,automovil,kia,picanto lx,2010,azul
2013-01-09,valle,cali (ct),miercoles,05:30:00,puertas del sol e14,urbana,vias publicas,llave maestra,a pie,a pie,41,masculino,union libre,colombia,independiente,,secundaria,76001000,automovil,chevrolet,spark,2007,amarillo
