fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2015-01-01,valle,cali (ct),jueves,15:00:00,panamericano e10,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,42,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,kia,rio ub ex,2014,gris
2015-01-02,valle,cali (ct),viernes,18:00:00,el jardin e11,urbana,,llave maestra,a pie,a pie,69,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,luv tfr,1990,blanco
2015-01-03,valle,cali (ct),sabado,20:00:00,ciudad de los alamos e2,urbana,vias publicas,llave maestra,a pie,a pie,50,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,1993,azul
2015-01-03,valle,cali (ct),sabado,22:00:00,caney e17,urbana,vias publicas,llave maestra,a pie,a pie,49,femenino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,samurai,1996,rojo
2015-01-03,valle,cali (ct),sabado,09:00:00,caney e17,urbana,vias publicas,llave maestra,a pie,a pie,54,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 hb,1990,gris
2015-01-03,valle,cali (ct),sabado,13:30:00,la nueva base e8,urbana,vias publicas,llave maestra,a pie,a pie,30,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,kia,picanto ex,2015,negro
2015-01-03,valle,cali (ct),sabado,09:30:00,torres de confandi e5,urbana,vias publicas,llave maestra,a pie,a pie,30,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,hyundai,i 10 gl,2012,blanco
2015-01-03,valle,cali (ct),sabado,23:30:00,la hacienda e17,urbana,bahia,llave maestra,a pie,a pie,30,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,kia,cerato forte lx,2013,blanco
2015-01-03,valle,cali (ct),sabado,15:15:00,parcelaciones pance e22,urbana,bahia,llave maestra,a pie,a pie,32,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,hyundai,i 10 gl,2013,azul
2015-01-05,valle,cali (ct),lunes,11:00:00,san fernando nuevo e19,urbana,vias publicas,llave maestra,a pie,a pie,26,masculino,union libre,colombia,empleado particular,,superior,76001000,automovil,mazda,323,1996,estrato de perla
2015-01-05,valle,cali (ct),lunes,09:00:00,morichal de comfandi e15,urbana,vias publicas,llave maestra,a pie,a pie,36,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,mazda,626,1998,gris
2015-01-05,valle,cali (ct),lunes,13:00:00,,urbana,vias publicas,llave maestra,a pie,a pie,41,femenino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,spark go,2008,gris
2015-01-05,valle,cali (ct),lunes,21:20:00,caney e17,urbana,vias publicas,llave maestra,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,kia,picanto ex,2012,blanco
2015-01-06,valle,cali (ct),martes,21:00:00,la hacienda e17,urbana,bahia,llave maestra,a pie,a pie,35,femenino,soltero,colombia,desempleado,,secundaria,76001000,automovil,mazda,allegro,2003,estrato de perla
2015-01-06,valle,cali (ct),martes,22:30:00,prados del norte e2,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,36,masculino,casado,colombia,independiente,,superior,76001000,automovil,hyundai,accent gl,2012,blanco
2015-01-06,valle,cali (ct),martes,14:30:00,primitivo crespo e8,urbana,vias publicas,llave maestra,a pie,a pie,50,femenino,casado,colombia,independiente,,secundaria,76001000,automovil,chevrolet,spark go,2008,rojo
2015-01-06,valle,cali (ct),martes,04:00:00,lili e17,urbana,vias publicas,llave maestra,a pie,a pie,27,femenino,casado,colombia,empleado particular,,superior,76001000,automovil,hyundai,i 10 gl,2012,plata
2015-01-06,valle,cali (ct),martes,17:10:00,el gran limonar e17,urbana,vias publicas,llave maestra,a pie,a pie,50,masculino,soltero,colombia,empleado particular,,tecnico,76001000,camioneta,chevrolet,luv tfr,1994,rojo
2015-01-06,valle,cali (ct),martes,19:19:00,lili e17,urbana,vias publicas,llave maestra,a pie,a pie,44,masculino,union libre,colombia,empleado particular,,superior,76001000,camioneta,chevrolet,luv d max,2008,gris
2015-01-07,valle,cali (ct),miercoles,21:00:00,el dorado e10,urbana,vias publicas,llave maestra,a pie,a pie,37,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,mazda,b 2000,1987,rojo
2015-01-07,valle,cali (ct),miercoles,04:00:00,la nueva base e8,urbana,bahia,llave maestra,a pie,a pie,45,masculino,union libre,colombia,empleado particular,,superior,76001000,automovil,hyundai,i 10 gl,2012,gris
2015-01-07,valle,cali (ct),miercoles,09:56:00,torres de confandi e5,urbana,bahia,llave maestra,a pie,a pie,37,masculino,casado,colombia,empleado particular,,superior,76001000,camioneta,chevrolet,luv tfr,2004,blanco
2015-01-08,valle,cali (ct),jueves,20:00:00,las quintas de don simon e17,urbana,conjunto residencial,llave maestra,a pie,a pie,32,femenino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,nissan,frontier d22,2007,blanco
2015-01-08,valle,cali (ct),jueves,21:00:00,lili e17,urbana,,llave maestra,a pie,a pie,44,masculino,casado,colombia,comerciante,,primaria,76001000,camioneta,mitsubishi,sportero,2008,plata
2015-01-08,valle,cali (ct),jueves,00:00:00,altos de menga e2,urbana,vias publicas,arma de fuego,conductor vehiculo,a pie,20,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,renault,logan dynamique,2008,gris
2015-01-08,valle,cali (ct),jueves,14:00:00,el ingenio e17,urbana,vias publicas,llave maestra,a pie,a pie,30,masculino,soltero,colombia,comerciante,,secundaria,76001000,automovil,bmw,330 i,2006,plata
2015-01-08,valle,cali (ct),jueves,14:00:00,napoles e18,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,30,femenino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,ssangyong,korando c,2013,negro
2015-01-09,valle,cali (ct),viernes,22:00:00,las americas e8,urbana,vias publicas,llave maestra,a pie,a pie,69,masculino,union libre,colombia,empleado particular,,primaria,76001000,automovil,chevrolet,swift,1994,rojo
2015-01-09,valle,cali (ct),viernes,20:30:00,el ingenio e17,urbana,vias publicas,llave maestra,a pie,a pie,46,femenino,divorciado,colombia,empleado particular,,tecnico,76001000,camioneta,ford,escape xlt,2007,gris
2015-01-09,valle,cali (ct),viernes,09:00:00,la alianza e4,urbana,vias publicas,llave maestra,a pie,a pie,32,femenino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,spark,2007,azul
2015-01-09,valle,cali (ct),viernes,08:23:00,el limonar e17,urbana,vias publicas,contundentes,a pie,a pie,53,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 ns,1995,estrato de perla
2015-01-10,valle,cali (ct),sabado,10:00:00,santa elena e10,urbana,vias publicas,llave maestra,a pie,a pie,51,masculino,union libre,colombia,independiente,,primaria,76001000,automovil,renault,r 9 gtl,1984,rojo
