fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2010-01-01,valle,cali (ct),viernes,01:00:00,san fernando nuevo e19,urbana,vias publicas,llave maestra,a pie,a pie,48,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 nt,2004,gris
2010-01-02,valle,cali (ct),sabado,03:00:00,colseguros andes e10,urbana,vias publicas,llave maestra,a pie,a pie,42,femenino,casado,colombia,empleado particular,economia,superior,76001000,camioneta,chevrolet,luv kb 21,1986,verde
2010-01-02,valle,cali (ct),sabado,08:00:00,,urbana,vias publicas,llave maestra,a pie,a pie,50,masculino,casado,colombia,comerciante,,secundaria,76001000,automovil,renault,r 12 ts,1965,amarillo
2010-01-02,valle,cali (ct),sabado,11:00:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,46,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,renault,r 4,1976,rojo
2010-01-02,valle,cali (ct),sabado,07:00:00,santa elena e10,urbana,vias publicas,llave maestra,a pie,a pie,52,masculino,casado,colombia,empleado particular,,secundaria,76001000,camioneta,mazda,sin linea,1987,blanco
2010-01-02,valle,cali (ct),sabado,11:30:00,ciudad cordoba e15,urbana,,llave maestra,a pie,a pie,37,masculino,union libre,colombia,comerciante,,tecnico,76001000,camioneta,toyota,land cruiser,1996,verde
2010-01-03,valle,cali (ct),domingo,20:30:00,lili e17,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,46,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,luv kb 21,1985,blanco
2010-01-03,valle,cali (ct),domingo,10:00:00,ciudadela floralia e6,urbana,parqueadero,llave maestra,a pie,a pie,46,masculino,union libre,colombia,comerciante,,superior,76001000,automovil,renault,r 12,1980,amarillo
2010-01-03,valle,cali (ct),domingo,01:00:00,la hacienda e17,urbana,vias publicas,llave maestra,a pie,a pie,44,femenino,soltero,colombia,empleado particular,tecnologo  en ingenieria de sistemas,tecnologo,76001000,automovil,chevrolet,sprint,1994,rojo
2010-01-03,valle,cali (ct),domingo,07:00:00,lili e17,urbana,parqueadero,llave maestra,a pie,a pie,41,masculino,union libre,,independiente,,secundaria,76001000,camioneta,chevrolet,luv tfr,1997,azul
2010-01-03,valle,cali (ct),domingo,13:30:00,ciudadela floralia e6,urbana,vias publicas,llave maestra,a pie,a pie,54,femenino,separado,colombia,empleado particular,tecnico empresarial,tecnologo,76001000,automovil,mazda,323 hb,2002,gris
2010-01-04,valle,cali (ct),lunes,22:30:00,,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,46,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,mazda,6l3na4,2004,gris
2010-01-04,valle,cali (ct),lunes,08:10:00,santa fe e8,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,39,masculino,union libre,,independiente,,superior,76001000,automovil,chevrolet,taxi power,2003,amarillo
2010-01-05,valle,cali (ct),martes,20:00:00,el limonar e17,urbana,vias publicas,llave maestra,a pie,a pie,46,masculino,casado,colombia,independiente,,superior,76001000,automovil,mazda,626 lx,1992,gris
2010-01-05,valle,cali (ct),martes,21:10:00,torres de confandi e5,urbana,vias publicas,llave maestra,a pie,a pie,24,masculino,soltero,colombia,educador,,superior,76001000,automovil,hyundai,atos,2006,plata
2010-01-06,valle,cali (ct),miercoles,22:30:00,la hacienda e17,urbana,parqueadero,llave maestra,a pie,a pie,47,femenino,casado,colombia,empleado particular,,superior,76001000,automovil,mazda,allegro,1998,gris
2010-01-06,valle,cali (ct),miercoles,09:00:00,departamental e10,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,27,femenino,casado,colombia,independiente,,superior,76001000,automovil,mazda,3lxna7,2007,blanco
2010-01-06,valle,cali (ct),miercoles,06:30:00,el gran limonar e17,urbana,parqueadero,llave maestra,a pie,a pie,43,masculino,casado,colombia,empleado particular,administracion  de empresas,superior,76001000,camioneta,mazda,323 hb special,2008,plata
2010-01-06,valle,cali (ct),miercoles,21:50:00,el limonar e17,urbana,parqueadero,contundentes,a pie,a pie,19,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,mazda,b 2200,1996,estrato de perla
2010-01-06,valle,cali (ct),miercoles,13:40:00,puerto mallarino e7,urbana,vias publicas,llave maestra,a pie,a pie,26,femenino,union libre,colombia,empleado particular,,analfabeta,76001000,automovil,mazda,323 hb,1995,blanco
2010-01-06,valle,cali (ct),miercoles,21:55:00,las granjas e10,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,28,masculino,soltero,colombia,independiente,,superior,76001000,camioneta,mazda,b25d47,2009,plata
2010-01-07,valle,cali (ct),jueves,21:00:00,chiminangos ii e5,urbana,vias publicas,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,empleado particular,,tecnico,76001000,automovil,chevrolet,aveo emotion,2007,plata
2010-01-07,valle,cali (ct),jueves,20:30:00,la selva e10,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,37,femenino,union libre,colombia,independiente,,tecnico,76001000,automovil,mitsubishi,montero v 11 vna,1999,verde
2010-01-07,valle,cali (ct),jueves,12:00:00,villacolombia e8,urbana,vias publicas,llave maestra,a pie,a pie,29,masculino,soltero,colombia,comerciante,,secundaria,76001000,camioneta,toyota,land cruiser fzj 73,1996,verde
2010-01-07,valle,cali (ct),jueves,20:03:00,el limonar e17,urbana,,llave maestra,a pie,conductor vehiculo,42,masculino,union libre,colombia,empleado particular,,superior,76001000,automovil,mazda,323 nei,1999,gris
2010-01-08,valle,cali (ct),viernes,22:00:00,prados del limonar e17,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,46,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,chevrolet,corsa l,1997,blanco
2010-01-08,valle,cali (ct),viernes,08:00:00,cristobal colon e10,urbana,vias publicas,llave maestra,a pie,a pie,39,femenino,casado,colombia,independiente,,secundaria,76001000,camioneta,toyota,fortuner,2009,negro
2010-01-08,valle,cali (ct),viernes,08:00:00,manzanares e4,urbana,vias publicas,llave maestra,a pie,a pie,37,masculino,casado,,empleado particular,,secundaria,76001000,camioneta,mazda,b26c47,2008,gris
2010-01-08,valle,cali (ct),viernes,13:00:00,ciudad de los alamos e2,urbana,vias publicas,llave maestra,a pie,a pie,51,masculino,casado,,independiente,,superior,76001000,automovil,renault,logan,2007,blanco
2010-01-08,valle,cali (ct),viernes,06:00:00,caldas e18,urbana,vias publicas,arma de fuego,conductor taxi,conductor taxi,45,masculino,casado,colombia,empleado particular,,superior,76001000,taxi,chery,qq sqr 7080,2008,amarillo
2010-01-08,valle,cali (ct),viernes,18:25:00,san cayetano e3,urbana,vias publicas,llave maestra,a pie,a pie,43,masculino,divorciado,colombia,independiente,,superior,76001000,camioneta,hyundai,tucson gl,2008,azul
2010-01-09,valle,cali (ct),sabado,21:00:00,,urbana,parqueadero,llave maestra,a pie,conductor vehiculo,30,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,mazda,323 hb,1993,strato plata
2010-01-09,valle,cali (ct),sabado,20:30:00,villacolombia e8,urbana,vias publicas,llave maestra,a pie,conductor vehiculo,53,masculino,separado,colombia,empleado particular,,superior,76001000,automovil,znen,gy200,1995,verde
2010-01-09,valle,cali (ct),sabado,21:30:00,normandia e2,urbana,vias publicas,llave maestra,a pie,conductor vehiculo,31,femenino,soltero,colombia,empleado particular,,superior,76001000,automovil,chevrolet,spark,2008,plata
2010-01-09,valle,cali (ct),sabado,17:00:00,ciudad de los alamos e2,urbana,piscina,contundentes,a pie,a pie,40,femenino,casado,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 hbi,1989,blanco
2010-01-09,valle,cali (ct),sabado,15:00:00,caney e17,urbana,vias publicas,arma de fuego,a pie,a pie,32,femenino,casado,colombia,comerciante,,secundaria,76001000,automovil,mitsubishi,lancer glx sw,1994,rojo
2010-01-09,valle,cali (ct),sabado,11:00:00,san fernando nuevo e19,urbana,,arma blanca / cortopunzante,a pie,conductor vehiculo,47,femenino,viudo,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,aveo,2009,plata
2010-01-09,valle,cali (ct),sabado,07:00:00,metropolitano del norte e5,urbana,,llave maestra,a pie,conductor vehiculo,58,femenino,casado,colombia,empleado particular,,tecnico,76001000,camioneta,chevrolet,luv,1991,rojo
2010-01-09,valle,cali (ct),sabado,09:30:00,atanasio girardot e8,urbana,,llave maestra,a pie,conductor vehiculo,53,masculino,casado,colombia,empleado particular,,tecnologo,76001000,automovil,renault,r 18 gtl,1984,abano
2010-01-09,valle,cali (ct),sabado,19:15:00,el jardin e11,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,49,femenino,casado,colombia,empleado particular,,secundaria,76001000,automovil,mazda,3lxna7,2008,gris
2010-01-09,valle,cali (ct),sabado,23:25:00,primavera e11,urbana,frente restaurante,arma de fuego,a pie,conductor vehiculo,33,masculino,casado,colombia,empleado policial,,secundaria,76001000,automovil,mazda,3,2010,plata
2010-01-10,valle,cali (ct),domingo,22:00:00,las americas e8,urbana,,llave maestra,a pie,conductor vehiculo,39,femenino,divorciado,colombia,ama de casa,,superior,76001000,automovil,chevrolet,sprint,1989,verde
2010-01-10,valle,cali (ct),domingo,10:00:00,urb. ciudad jardin e22,urbana,vias publicas,llave maestra,a pie,a pie,38,masculino,casado,,comerciante,,secundaria,76001000,automovil,kia,sorento ex,2006,blanco
2010-01-10,valle,cali (ct),domingo,15:00:00,ciudadela floralia e6,urbana,supermercados,llave maestra,a pie,a pie,36,femenino,soltero,colombia,independiente,,secundaria,76001000,automovil,toyota,fzj 80 samurai,1995,beige
2010-01-10,valle,cali (ct),domingo,03:00:00,las acacias e10,urbana,vias publicas,llave maestra,a pie,a pie,63,masculino,casado,,empleado particular,,secundaria,76001000,camioneta,chevrolet,sin linea,1987,cafe
2010-01-10,valle,cali (ct),domingo,11:00:00,el jardin e11,urbana,vias publicas,llave maestra,a pie,a pie,33,masculino,soltero,colombia,empleado policial,policias,secundaria,76001000,automovil,chevrolet,spark,2008,amarillo
2010-01-10,valle,cali (ct),domingo,01:00:00,,urbana,parqueadero,llave maestra,a pie,a pie,40,femenino,casado,colombia,empleado particular,,secundaria,76001000,automovil,hyundai,atos gl,2006,rojo
2010-01-10,valle,cali (ct),domingo,12:30:00,el ingenio e17,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,46,masculino,casado,colombia,empleado particular,,secundaria,76001000,buseta,chevrolet,npr,1994,marfil
2010-01-10,valle,cali (ct),domingo,04:00:00,chipichape e2,urbana,vias publicas,arma de fuego,a pie,a pie,71,masculino,casado,colombia,empleado particular,,secundaria,76001000,camioneta,ford,explorer sport trac,2008,negro
2010-01-10,valle,cali (ct),domingo,06:00:00,santo domingo e10,urbana,,llave maestra,a pie,conductor vehiculo,73,masculino,viudo,colombia,pensionado,,secundaria,76001000,camioneta,mazda,b 2200,1998,gris
2010-01-11,valle,cali (ct),lunes,20:30:00,el limonar e17,urbana,parqueadero,contundentes,a pie,a pie,55,femenino,divorciado,colombia,empleado particular,,superior,76001000,camioneta,chevrolet,luv tfr,1990,blanco
2010-01-11,valle,cali (ct),lunes,21:30:00,ciudadela confandi e17,urbana,parqueadero,llave maestra,a pie,conductor vehiculo,57,masculino,soltero,colombia,empleado particular,,secundaria,76001000,campero,toyota,fj 73,1987,verde
2010-01-11,valle,cali (ct),lunes,12:00:00,san joaquin e17,urbana,vias publicas,llave maestra,a pie,conductor motocicleta,36,femenino,soltero,colombia,independiente,,superior,76001000,automovil,kia,sorento ex,2007,gris
2010-01-11,valle,cali (ct),lunes,02:00:00,morichal de comfandi e15,urbana,vias publicas,llave maestra,a pie,a pie,34,masculino,union libre,,comerciante,,secundaria,76001000,automovil,chevrolet,samurai,1996,blanco
2010-01-11,valle,cali (ct),lunes,09:30:00,paso del comercio e6,urbana,vias publicas,llave maestra,a pie,a pie,42,masculino,casado,colombia,empleado particular,,tecnico,76001000,volqueta,dodge,d 600,1979,rojo
2010-01-11,valle,cali (ct),lunes,19:10:00,el refugio e19,urbana,parqueadero,llave maestra,a pie,a pie,62,masculino,union libre,colombia,empleado particular,ingeniero,superior,76001000,campero,chevrolet,trooper,1989,rojo
2010-01-12,valle,cali (ct),martes,20:00:00,el dorado e10,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,46,masculino,casado,colombia,pensionado,,tecnico,76001000,camioneta,mitsubishi,sin linea,2000,perla
2010-01-12,valle,cali (ct),martes,21:00:00,no reporta,urbana,vias publicas,contundentes,a pie,a pie,26,masculino,soltero,colombia,empleado particular,,superior,76001000,automovil,mazda,323 hei,2002,blanco
2010-01-12,valle,cali (ct),martes,22:00:00,santa elena e10,urbana,vias publicas,arma de fuego,a pie,a pie,43,femenino,casado,colombia,empleado particular,,superior,76001000,camioneta,toyota,fortuner,2008,blanco
2010-01-12,valle,cali (ct),martes,10:20:00,nueva tequendama e19,urbana,parqueadero,contundentes,a pie,a pie,62,masculino,casado,,empleado particular,,tecnico,76001000,camioneta,mazda,b 2200,1994,blanco
2010-01-12,valle,cali (ct),martes,22:29:00,lili e17,urbana,vias publicas,llave maestra,a pie,a pie,52,femenino,casado,colombia,ama de casa,,secundaria,76001000,automovil,mazda,626,1994,verde
2010-01-13,valle,cali (ct),miercoles,21:00:00,el limonar e17,urbana,vias publicas,llave maestra,a pie,a pie,25,masculino,soltero,colombia,empleado policial,policias,secundaria,76001000,automovil,mazda,323 hs,1993,blanco
2010-01-13,valle,cali (ct),miercoles,20:30:00,,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,31,masculino,soltero,colombia,empleado particular,administracion  de empresas,superior,76001000,camioneta,toyota,fortuner,2009,blanco
2010-01-13,valle,cali (ct),miercoles,16:30:00,los sauces e11,urbana,vias publicas,llave maestra,a pie,a pie,39,masculino,soltero,colombia,independiente,,secundaria,76001000,camioneta,kia,ceres,1994,blanco
2010-01-13,valle,cali (ct),miercoles,14:30:00,flora industrial e4,urbana,vias publicas,arma de fuego,a pie,a pie,41,masculino,casado,colombia,empleado particular,,superior,76001000,camioneta,mazda,b 2600,2008,blanco
2010-01-14,valle,cali (ct),jueves,19:00:00,cristobal colon e10,urbana,vias publicas,arma de fuego,a pie,a pie,30,femenino,soltero,colombia,empleado particular,,secundaria,76001000,taxi,kia,rio sephia ex,2010,amarillo
2010-01-14,valle,cali (ct),jueves,10:00:00,torres de confandi e5,urbana,vias publicas,llave maestra,a pie,a pie,39,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,mazda,323 hb,1989,rojo
2010-01-14,valle,cali (ct),jueves,11:00:00,,urbana,vias publicas,llave maestra,a pie,a pie,38,masculino,union libre,colombia,empleado particular,,secundaria,76001000,camioneta,toyota,land cruiser fzj 73,1994,azul
2010-01-14,valle,cali (ct),jueves,13:00:00,cristobal colon e10,urbana,vias publicas,llave maestra,a pie,a pie,51,masculino,casado,colombia,independiente,,superior,76001000,camioneta,toyota,hilux,1994,blanco
2010-01-14,valle,cali (ct),jueves,07:30:00,san fernando nuevo e19,urbana,vias publicas,contundentes,a pie,a pie,49,masculino,casado,,empleado particular,,superior,76001000,camion,chevrolet,,1998,azul
2010-01-14,valle,cali (ct),jueves,20:45:00,terron colorado e1,urbana,vias publicas,contundentes,a pie,a pie,26,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,daewoo,lanos s,2002,azul
2010-01-14,valle,cali (ct),jueves,21:20:00,departamental e10,urbana,vias publicas,arma de fuego,a pie,a pie,38,masculino,soltero,colombia,empleado particular,,superior,76001000,automovil,mazda,6l3na4,2004,blanco
2010-01-15,valle,cali (ct),viernes,20:00:00,unicentro cali e17,urbana,centro comercial,llave maestra,a pie,a pie,45,femenino,soltero,,comerciante,,secundaria,76001000,automovil,hyundai,atos santro gl,2008,rojo
2010-01-15,valle,cali (ct),viernes,19:30:00,vista hermosa e1,rural,vias publicas,llave maestra,a pie,a pie,26,femenino,soltero,colombia,independiente,,tecnico,76001000,automovil,mazda,323,1995,perla
2010-01-15,valle,cali (ct),viernes,20:10:00,obrero e9,urbana,vias publicas,llave maestra,a pie,a pie,36,masculino,soltero,,empleado particular,,secundaria,76001000,automovil,nissan,sentra std,1996,gris
2010-01-15,valle,cali (ct),viernes,19:57:00,normandia e2,urbana,apartamento en conjunto cerrado,contundentes,a pie,a pie,41,masculino,viudo,colombia,empleado particular,,superior,76001000,automovil,toyota,fzj 80,1993,rojo
