fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2017-01-01,valle,cali (ct),domingo,08:00:00,ciudad de los alamos e2,urbana,vias publicas,llave maestra,a pie,a pie,42,masculino,casado,colombia,empleado particular,,superior,76001000,automovil,chevrolet,sprint,1992,rojo
2017-01-01,valle,cali (ct),domingo,08:00:00,los guaduales e6,urbana,vias publicas,llave maestra,a pie,a pie,40,masculino,union libre,colombia,empleado particular,,tecnico,76001000,automovil,renault,r 9,1995,rojo
2017-01-03,valle,cali (ct),martes,10:00:00,guayaquil e9,urbana,,sin empleo de armas,a pie,a pie,60,femenino,soltero,colombia,empleado particular,,primaria,76001000,automovil,renault,r 6,1981,amarillo
2017-01-04,valle,cali (ct),miercoles,09:00:00,los alcazares e6,urbana,vias publicas,llave maestra,a pie,a pie,64,masculino,casado,colombia,independiente,,primaria,76001000,automovil,chevrolet,sprint,1992,champana
2017-01-05,valle,cali (ct),jueves,18:00:00,la cascada e19,urbana,vias publicas,llave maestra,a pie,a pie,45,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,chevrolet,luv,1983,champana
2017-01-05,valle,cali (ct),jueves,13:00:00,urb. ciudad jardin e22,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,46,femenino,soltero,colombia,comerciante,,primaria,76001000,camioneta,toyota,fortuner urbana,2017,plata
2017-01-05,valle,cali (ct),jueves,04:00:00,evaristo garcia e4,urbana,vias publicas,llave maestra,a pie,a pie,28,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,mazda,b 2000,1982,verde
2017-01-06,valle,cali (ct),viernes,18:00:00,paseo de los almendros e5,urbana,vias publicas,llave maestra,a pie,a pie,58,femenino,viudo,colombia,ama de casa,,secundaria,76001000,automovil,chevrolet,spark,2016,plata
2017-01-06,valle,cali (ct),viernes,22:30:00,san fernando viejo e19,urbana,vias publicas,llave maestra,a pie,a pie,34,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,ssangyong,korando c,2014,blanco
2017-01-07,valle,cali (ct),sabado,20:00:00,versalles e2,urbana,,escopolamina,a pie,a pie,45,masculino,divorciado,colombia,independiente,,secundaria,76001000,automovil,chevrolet,cobalt,2013,blanco
2017-01-07,valle,cali (ct),sabado,07:00:00,puertas del sol e14,urbana,vias publicas,llave maestra,a pie,a pie,40,masculino,casado,colombia,empleado particular,,primaria,76001000,camioneta,chevrolet,luv tfr,1996,azul
2017-01-07,valle,cali (ct),sabado,22:30:00,ciudad de los alamos e2,urbana,parqueadero,llave maestra,a pie,a pie,58,femenino,union libre,colombia,empleado particular,,superior,76001000,automovil,chevrolet,spark,2016,blanco
2017-01-07,valle,cali (ct),sabado,10:20:00,sucre e9,urbana,,contundentes,a pie,a pie,40,masculino,soltero,colombia,independiente,,secundaria,76001000,camioneta,toyota,hilux,2010,gris
2017-01-08,valle,cali (ct),domingo,12:00:00,,urbana,parqueadero,llave maestra,a pie,a pie,39,femenino,casado,colombia,educador,,superior,76001000,automovil,hyundai,grand i10,2012,blanco
2017-01-08,valle,cali (ct),domingo,12:00:00,,urbana,,llave maestra,a pie,a pie,33,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,renault,r 9,1986,beige
2017-01-08,valle,cali (ct),domingo,18:40:00,torres de confandi e5,urbana,vias publicas,llave maestra,a pie,a pie,27,masculino,casado,colombia,empleado particular,ciencias politicas,superior,76001000,automovil,kia,picanto lx,2011,negro
2017-01-08,valle,cali (ct),domingo,10:35:00,la floresta e8,urbana,parqueadero,arma blanca / cortopunzante,a pie,a pie,52,masculino,casado,colombia,comerciante,,secundaria,76001000,camioneta,chevrolet,luv tfs,1996,blanco
2017-01-08,valle,cali (ct),domingo,10:25:00,chiminangos i e5,urbana,vias publicas,llave maestra,a pie,a pie,43,femenino,soltero,colombia,independiente,derecho,superior,76001000,automovil,chevrolet,swift,1993,blanco
2017-01-09,valle,cali (ct),lunes,08:00:00,villa del sol e5,urbana,vias publicas,llave maestra,a pie,a pie,35,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,1992,verde
2017-01-09,valle,cali (ct),lunes,19:30:00,cgto. la sirena e19,rural,vias publicas,llave maestra,a pie,a pie,48,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,626 l,1985,rojo
2017-01-09,valle,cali (ct),lunes,18:00:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,28,masculino,union libre,colombia,independiente,,secundaria,76001000,automovil,chevrolet,spark,2015,gris
2017-01-09,valle,cali (ct),lunes,13:00:00,brisas de los alamos e2,urbana,vias publicas,llave maestra,a pie,a pie,30,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,323,1993,estrato de perla
2017-01-10,valle,cali (ct),martes,14:00:00,ciudad de los alamos e2,urbana,vias publicas,contundentes,conductor vehiculo,a pie,56,masculino,soltero,colombia,comerciante,,secundaria,76001000,automovil,chevrolet,aveo,2008,rojo
2017-01-10,valle,cali (ct),martes,15:00:00,parcelaciones pance e22,urbana,vias publicas,llave maestra,a pie,a pie,39,masculino,union libre,colombia,independiente,,secundaria,76001000,camioneta,kia,new sportage lx,2015,plata
2017-01-10,valle,cali (ct),martes,06:30:00,chiminangos ii e5,urbana,vias publicas,llave maestra,a pie,a pie,53,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,kia,picanto,2014,blanco
2017-01-10,valle,cali (ct),martes,14:43:00,el gran limonar e17,urbana,,llave maestra,a pie,a pie,67,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,mazda,323 he,1995,estrato de perla
2017-01-11,valle,cali (ct),miercoles,09:00:00,fatima e4,urbana,vias publicas,llave maestra,a pie,a pie,26,masculino,soltero,colombia,empleado particular,administracion  de empresas,superior,76001000,automovil,hyundai,i10gl,2012,blanco
2017-01-11,valle,cali (ct),miercoles,11:30:00,jorge eliecer gaitan e6,urbana,vias publicas,llave maestra,a pie,a pie,25,femenino,soltero,colombia,independiente,,secundaria,76001000,automovil,kia,picanto,2015,gris
2017-01-11,valle,cali (ct),miercoles,19:50:00,san fernando viejo e19,urbana,vias publicas,llave maestra,a pie,a pie,27,masculino,soltero,colombia,independiente,,secundaria,76001000,camioneta,kia,new sportage lx,2013,plata
2017-01-12,valle,cali (ct),jueves,16:00:00,parcelaciones pance e22,urbana,vias publicas,arma de fuego,a pie,a pie,33,masculino,soltero,colombia,empleado particular,,secundaria,76001000,automovil,kia,rio ub ex,2016,plata
2017-01-12,valle,cali (ct),jueves,09:00:00,sector puente del comercio e6,urbana,vias publicas,llave maestra,a pie,a pie,41,masculino,soltero,colombia,independiente,,primaria,76001000,automovil,mazda,323,1988,rojo
2017-01-12,valle,cali (ct),jueves,06:30:00,calimio desepaz e21,urbana,vias publicas,llave maestra,a pie,a pie,36,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,2001,blanco
