fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2011-01-01,valle,cali (ct),sabado,18:30:00,los alcazares e6,urbana,parqueadero,llave maestra,a pie,a pie,45,femenino,divorciado,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,1995,rojo
2011-01-01,valle,cali (ct),sabado,10:30:00,,urbana,vias publicas,llave maestra,a pie,a pie,55,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 nb,1989,cinza ejecutivo
2011-01-01,valle,cali (ct),sabado,07:00:00,morichal de comfandi e15,urbana,vias publicas,llave maestra,a pie,a pie,42,masculino,casado,colombia,empleado particular,,tecnico,76001000,automovil,renault,r 9 super,1993,rojo
2011-01-01,valle,cali (ct),sabado,02:00:00,el vergel e13,urbana,,contundentes,a pie,a pie,60,femenino,divorciado,colombia,empleado particular,,primaria,76001000,taxi,kia,picanto,2008,amarillo
2011-01-01,valle,cali (ct),sabado,12:30:00,la nueva base e8,urbana,vias publicas,llave maestra,a pie,a pie,39,masculino,casado,colombia,independiente,,secundaria,76001000,campero,toyota,land cruiser,1992,blanco
2011-01-01,valle,cali (ct),sabado,00:30:00,la hacienda e17,urbana,vias publicas,llave maestra,a pie,a pie,48,femenino,soltero,colombia,independiente,,superior,76001000,automovil,mazda,9aln3m,2001,strato plata
2011-01-01,valle,cali (ct),sabado,06:30:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,27,masculino,union libre,colombia,empleado particular,,primaria,76001000,automovil,mazda,323 ns,1993,verde
2011-01-02,valle,cali (ct),domingo,08:00:00,el jardin e11,urbana,vias publicas,llave maestra,a pie,a pie,49,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 nt,1992,estrato de perla
2011-01-02,valle,cali (ct),domingo,05:00:00,ulpiano lloreda e13,urbana,vias publicas,llave maestra,a pie,a pie,52,masculino,union libre,colombia,independiente,,secundaria,76001000,automovil,renault,sin linea,1987,blanco
2011-01-02,valle,cali (ct),domingo,19:05:00,,urbana,vias publicas,llave maestra,a pie,a pie,58,masculino,casado,colombia,pensionado,,superior,76001000,campero,toyota,land cruiser,1997,rojo
2011-01-03,valle,cali (ct),lunes,22:00:00,el ingenio e17,urbana,,llave maestra,a pie,conductor vehiculo,47,masculino,casado,colombia,empleado particular,,superior,76001000,camioneta,nissan,d22 4x4,2003,rojo
2011-01-03,valle,cali (ct),lunes,16:30:00,via jamundi e22,rural,carretera,arma de fuego,conductor motocicleta,conductor vehiculo,61,masculino,union libre,colombia,independiente,contaduria publica,superior,76001000,automovil,chevrolet,aveo emotion,2008,beige
2011-01-03,valle,cali (ct),lunes,12:00:00,el remanso e21,urbana,,llave maestra,a pie,a pie,38,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,simca,1000,1976,rojo
2011-01-03,valle,cali (ct),lunes,09:00:00,urbanizacion calimio e6,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,55,masculino,union libre,colombia,independiente,,secundaria,76001000,camioneta,ford,ranger,1985,azul
2011-01-03,valle,cali (ct),lunes,18:15:00,santa monica popular e8,urbana,vias publicas,llave maestra,conductor vehiculo,conductor vehiculo,32,femenino,union libre,colombia,empleado particular,,superior,76001000,automovil,kia,picanto lx,2011,gris
2011-01-04,valle,cali (ct),martes,07:00:00,,urbana,vias publicas,llave maestra,a pie,a pie,27,masculino,soltero,colombia,empleado particular,derecho,superior,76001000,automovil,mazda,626nao,2006,gris
2011-01-04,valle,cali (ct),martes,09:30:00,paso del comercio e6,urbana,vias publicas,llave maestra,a pie,a pie,42,femenino,soltero,colombia,independiente,,superior,76001000,automovil,hyundai,atos gl,2005,plata
2011-01-04,valle,cali (ct),martes,19:10:00,ciudad capri e17,urbana,no definido,llave maestra,a pie,a pie,48,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,hyundai,accent l,1998,verde
2011-01-04,valle,cali (ct),martes,18:20:00,san nicolas e3,urbana,vias publicas,llave maestra,a pie,a pie,,,,,,,,76001000,camioneta,mazda,b 2200,1998,verde
2011-01-04,valle,cali (ct),martes,22:13:00,caney e17,urbana,parqueadero,llave maestra,a pie,a pie,34,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,1989,blanco
2011-01-05,valle,cali (ct),miercoles,18:30:00,lili e17,urbana,vias publicas,llave maestra,a pie,a pie,48,femenino,casado,dinamarca,independiente,,secundaria,76001000,automovil,mazda,b22dc9,2001,perla
2011-01-05,valle,cali (ct),miercoles,04:00:00,sucre e9,urbana,vias publicas,arma blanca / cortopunzante,bicicleta,conductor taxi,51,masculino,casado,colombia,independiente,,primaria,76001000,automovil,kia,eko taxi,2010,amarillo
2011-01-05,valle,cali (ct),miercoles,19:40:00,valle grande e21,urbana,bahia,llave maestra,a pie,conductor vehiculo,52,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,sprint,1996,rojo
2011-01-05,valle,cali (ct),miercoles,13:40:00,manzanares e4,urbana,,llave maestra,a pie,conductor vehiculo,40,masculino,casado,colombia,empleado particular,,superior,76001000,camioneta,toyota,hilux 4x2 d.c,1995,verde
2011-01-06,valle,cali (ct),jueves,21:00:00,urb. ciudad jardin e22,urbana,vias publicas,llave maestra,a pie,a pie,26,femenino,soltero,colombia,empleado particular,administracion  de empresas,superior,76001000,campero,kia,new sportage lx,2010,plata
2011-01-06,valle,cali (ct),jueves,22:00:00,,urbana,,arma de fuego,a pie,conductor vehiculo,62,masculino,viudo,colombia,educador,,superior,76001000,campero,ford,ecosport,2007,azul
2011-01-06,valle,cali (ct),jueves,21:30:00,cristobal colon e10,urbana,,arma de fuego,a pie,conductor vehiculo,23,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,mazda,2,2011,negro
2011-01-06,valle,cali (ct),jueves,23:30:00,calypso e13,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,39,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,spark,2007,rojo
2011-01-06,valle,cali (ct),jueves,09:00:00,la base e8,urbana,vias publicas,llave maestra,a pie,a pie,66,femenino,casado,colombia,ama de casa,,secundaria,76001000,automovil,volkswagen,escarabajo,1954,marfil
