fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2013-01-01,valle,cali (ct),articulo 205. acceso carnal violento,martes,03:30:00,los comuneros ii e13,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,35,femenino,soltero,colombia,independiente,,secundaria,76001000
2013-01-01,valle,cali (ct),articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,martes,15:00:00,jose m. marroquin ii e14,urbana,vias publicas,escopolamina,a pie,a pie,17,femenino,union libre,colombia,independiente,,secundaria,76001000
2013-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,08:00:00,aguablanca e11,urbana,dentro de la vivienda,contundentes,a pie,a pie,47,masculino,casado,colombia,empleado particular,,primaria,76001000
2013-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,14:00:00,nueva floresta e12,urbana,vias publicas,sin empleo de armas,a pie,a pie,21,femenino,union libre,colombia,independiente,,primaria,76001000
2013-01-02,valle,cali (ct),articulo 205. acceso carnal violento,miercoles,05:45:00,la esperanza e11,urbana,vias publicas,arma de fuego,a pie,a pie,46,femenino,union libre,colombia,independiente,,secundaria,76001000
2013-01-02,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,14:00:00,francisco eladio ramirez e18,urbana,vias publicas,no reportado,a pie,a pie,5,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-03,valle,cali (ct),articulo 206. acto sexual violento,jueves,15:00:00,alfonso lopez i e7,urbana,vias publicas,no reportado,a pie,a pie,8,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,15:00:00,alfonso b. aragon e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,21:00:00,morichal de comfandi e15,urbana,casas de habitacion,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2013-01-05,valle,cali (ct),articulo 210 a. acoso sexual,sabado,19:00:00,la base e8,urbana,casas de habitacion,no reportado,a pie,a pie,43,masculino,casado,colombia,empleado particular,,secundaria,76001000
2013-01-05,valle,cali (ct),articulo 211. acceso carnal abusivo con menor de 14 anos (circunstancias agravacion),sabado,15:00:00,mojica e15,urbana,vias publicas,,a pie,a pie,7,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-06,valle,cali (ct),articulo 205. acceso carnal violento,domingo,20:00:00,pueblo joven e20,urbana,casas de habitacion,contundentes,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2013-01-06,valle,cali (ct),articulo 206. acto sexual violento,domingo,16:00:00,la hacienda e17,urbana,vias publicas,contundentes,conductor vehiculo,conductor vehiculo,18,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2013-01-06,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,10:00:00,paso del comercio e6,urbana,casas de habitacion,contundentes,a pie,a pie,4,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-07,valle,cali (ct),articulo 205. acceso carnal violento,lunes,15:00:00,alameda e9,urbana,vias publicas,no reportado,a pie,a pie,21,femenino,soltero,colombia,independiente,,secundaria,76001000
2013-01-07,valle,cali (ct),articulo 205. acceso carnal violento,lunes,02:00:00,bellavista e19,urbana,vias publicas,contundentes,a pie,a pie,50,femenino,soltero,,ama de casa,,primaria,76001000
2013-01-07,valle,cali (ct),articulo 205. acceso carnal violento,lunes,03:30:00,ciudadela floralia e6,urbana,casas de habitacion,contundentes,a pie,a pie,23,femenino,soltero,colombia,desempleado,,secundaria,76001000
2013-01-08,valle,cali (ct),articulo 205. acceso carnal violento,martes,14:40:00,alto jordan e18,urbana,casas de habitacion,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-08,valle,cali (ct),articulo 206. acto sexual violento,martes,22:10:00,diamante e13,urbana,vias publicas,no reportado,a pie,a pie,20,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2013-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,08:00:00,siete de agosto e7,urbana,dentro de la vivienda,contundentes,a pie,a pie,10,femenino,soltero,colombia,estudiante,,secundaria,76001000
2013-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,09:00:00,alto napoles e18,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-09,valle,cali (ct),articulo 206. acto sexual violento,miercoles,00:00:00,el vergel e13,urbana,dentro de la vivienda,contundentes,a pie,a pie,7,femenino,soltero,colombia,estudiante,,primaria,76001000
2013-01-09,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,22:00:00,diamante e13,urbana,casas de habitacion,no reportado,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2013-01-09,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,14:30:00,jose m. marroquin ii e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,33,masculino,casado,colombia,independiente,,secundaria,76001000
2013-01-09,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,14:30:00,jose m. marroquin ii e14,urbana,local comercial,sin empleo de armas,a pie,a pie,34,femenino,union libre,colombia,independiente,,superior,76001000
