fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2014-01-01,valle,cali (ct),articulo 205. acceso carnal violento,miercoles,00:00:00,marroquin iii e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,18,masculino,soltero,,empleado particular,,primaria,76001000
2014-01-01,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,02:00:00,manuela beltran e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,empleado particular,,primaria,76001000
2014-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,15:00:00,potrero grande e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,54,femenino,soltero,colombia,independiente,,primaria,76001000
2014-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,06:00:00,los naranjos ii e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,16,femenino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,00:50:00,los guaduales e6,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,10,masculino,soltero,colombia,estudiante,,primaria,76001000
2014-01-02,valle,cali (ct),articulo 210 a. acoso sexual,jueves,18:00:00,jorge eliecer gaitan e6,urbana,dentro de la vivienda,licor adulterado,a pie,a pie,32,femenino,union libre,colombia,independiente,,superior,76001000
2014-01-03,valle,cali (ct),articulo 205. acceso carnal violento,viernes,00:00:00,ciudadela floralia e6,urbana,vias publicas,escopolamina,conductor taxi,pasajero taxi,29,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-03,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,viernes,14:30:00,el retiro e15,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,,primaria,76001000
2014-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,10:30:00,petecuy i e6,urbana,vias publicas,sin empleo de armas,a pie,a pie,10,femenino,soltero,colombia,estudiante,,primaria,76001000
2014-01-04,valle,cali (ct),articulo 205. acceso carnal violento,sabado,00:00:00,polvorines e18,urbana,dentro de la vivienda,contundentes,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
