fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-02-26,valle,cali (ct),viernes,15:00:00,los comuneros i e15,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,8,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-26,valle,cali (ct),viernes,16:00:00,diamante e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-27,valle,cali (ct),sabado,02:30:00,napoles e18,urbana,casas de habitacion,articulo 206. acto sexual violento,no reportado,a pie,a pie,23,femenino,soltero,colombia,estudiante,no reportado,superior,76001000,1.0
2010-02-28,valle,cali (ct),domingo,10:00:00,manuela beltran e14,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-28,valle,cali (ct),domingo,11:15:00,el retiro e15,urbana,,articulo 205. acceso carnal violento,contundentes,a pie,a pie,10,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-01,valle,cali (ct),lunes,16:00:00,vallado e15,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,18,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-02,valle,cali (ct),martes,10:00:00,san nicolas e3,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-02,valle,cali (ct),martes,12:47:00,siloe e20,urbana,"colegios, escuelas",articulo 205. acceso carnal violento,arma blanca,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-02,valle,cali (ct),martes,23:30:00,alto aguacatal e1,urbana,vias publicas,articulo 206. acto sexual violento,no reportado,a pie,a pie,25,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-03,valle,cali (ct),miercoles,11:00:00,potrero grande e21,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,5,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-03,valle,cali (ct),miercoles,15:00:00,los chorros e18,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,femenino,soltero,colombia,desempleado,no reportado,primaria,76001000,1.0
2010-03-03,valle,cali (ct),miercoles,20:30:00,diamante e13,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,4,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-03,valle,cali (ct),miercoles,22:31:00,san luis e6,urbana,dentro de la vivienda,articulo 206. acto sexual violento,contundentes,a pie,a pie,41,femenino,casado,no reportado,ama de casa,no reportado,primaria,76001000,1.0
2010-03-04,valle,cali (ct),jueves,13:00:00,ciudadela floralia e6,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-04,valle,cali (ct),jueves,16:00:00,puertas del sol e14,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,11,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-06,valle,cali (ct),sabado,15:00:00,el limonar e17,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-06,valle,cali (ct),sabado,17:20:00,terron colorado e1,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,5,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-06,valle,cali (ct),sabado,20:30:00,vallado e15,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-06,valle,cali (ct),sabado,22:00:00,calypso e13,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-06,valle,cali (ct),sabado,23:00:00,los comuneros ii e13,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,6,femenino,separado,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-06,valle,cali (ct),sabado,23:00:00,los comuneros ii e13,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,8,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-07,valle,cali (ct),domingo,00:00:00,omar torrijos e13,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,2,masculino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-07,valle,cali (ct),domingo,19:28:00,el limonar e17,urbana,vias publicas,articulo 211. acceso carnal abusivo con menor de 14 anos (circunstancias agravacion),no reportado,a pie,a pie,13,masculino,soltero,colombia,estudiante,no reportado,analfabeta,76001000,1.0
2010-03-08,valle,cali (ct),lunes,16:00:00,ciudad cordoba e15,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,26,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-09,valle,cali (ct),martes,08:00:00,ciudad cordoba e15,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,5,masculino,soltero,colombia,estudiante,no reportado,analfabeta,76001000,1.0
2010-03-09,valle,cali (ct),martes,13:00:00,el poblado ii e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-09,valle,cali (ct),martes,13:00:00,el poblado ii e13,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,1,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-10,valle,cali (ct),miercoles,00:00:00,popular e4,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-13,valle,cali (ct),sabado,14:00:00,la rivera e5,urbana,apartamento en conjunto cerrado,articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,arma blanca,a pie,a pie,23,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-13,valle,cali (ct),sabado,21:00:00,el ingenio e17,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,56,femenino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-14,valle,cali (ct),domingo,05:30:00,los comuneros i e15,urbana,lote baldio,articulo 205. acceso carnal violento,arma blanca,a pie,a pie,21,femenino,union libre,colombia,empleado particular,no reportado,secundaria,76001000,1.0
2010-03-14,valle,cali (ct),domingo,09:00:00,prados del sur e18,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,no reportado,no reportado,46,femenino,casado,colombia,desempleado,no reportado,secundaria,76001000,1.0
2010-03-14,valle,cali (ct),domingo,11:00:00,morichal de comfandi e15,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-14,valle,cali (ct),domingo,11:30:00,el cortijo e20,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,35,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-03-14,valle,cali (ct),domingo,12:30:00,junin e9,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,8,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-15,valle,cali (ct),lunes,00:00:00,los parques e5,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-15,valle,cali (ct),lunes,10:00:00,sol de oriente e21,urbana,dentro de la vivienda,articulo 206. acto sexual violento,arma blanca,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,superior,76001000,1.0
2010-03-15,valle,cali (ct),lunes,12:00:00,marroquin i e14,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-15,valle,cali (ct),lunes,13:00:00,12 de octubre e12,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,29,femenino,soltero,no reportado,independiente,no reportado,superior,76001000,1.0
2010-03-15,valle,cali (ct),lunes,15:00:00,potrero grande e21,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,31,femenino,union libre,colombia,independiente,no reportado,analfabeta,76001000,1.0
2010-03-16,valle,cali (ct),martes,15:00:00,el guabal e10,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-17,valle,cali (ct),miercoles,09:00:00,san luis ii e6,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,52,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-03-19,valle,cali (ct),viernes,00:00:00,san marino e7,urbana,vias publicas,articulo 210 a. acoso sexual,no reportado,a pie,a pie,48,femenino,divorciado,no reportado,independiente,no reportado,tecnico,76001000,1.0
2010-03-19,valle,cali (ct),viernes,20:00:00,vallado e15,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,29,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-20,valle,cali (ct),sabado,11:30:00,caldas e18,urbana,conjunto residencial,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-20,valle,cali (ct),sabado,17:30:00,san judas tadeo i e10,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-22,valle,cali (ct),lunes,22:30:00,los comuneros i e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,42,femenino,casado,colombia,independiente,no reportado,superior,76001000,1.0
2010-03-23,valle,cali (ct),martes,09:00:00,el vergel e13,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-23,valle,cali (ct),martes,09:00:00,pueblo joven e20,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,58,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-03-23,valle,cali (ct),martes,16:30:00,ciudadela del rio e21,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,28,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-23,valle,cali (ct),martes,16:40:00,los lagos e13,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-23,valle,cali (ct),martes,17:00:00,el ingenio e17,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-03-24,valle,cali (ct),miercoles,19:13:00,mojica e15,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,5,femenino,soltero,colombia,estudiante,no reportado,analfabeta,76001000,1.0
2010-03-25,valle,cali (ct),jueves,00:00:00,el lido e19,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,48,masculino,casado,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-03-25,valle,cali (ct),jueves,14:00:00,la merced e3,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,59,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-03-25,valle,cali (ct),jueves,20:30:00,saavedra galindo e8,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-26,valle,cali (ct),viernes,15:00:00,suerte noventa e21,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,51,masculino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-03-26,valle,cali (ct),viernes,20:15:00,san vicente e2,urbana,terminal de transportes,articulo 205. acceso carnal violento,contundentes,vehiculo,a pie,25,femenino,union libre,colombia,independiente,no reportado,superior,76001000,1.0
2010-03-26,valle,cali (ct),viernes,22:00:00,,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,32,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-27,valle,cali (ct),sabado,00:00:00,via al mar e1,rural,vias publicas,articulo 211. acceso carnal abusivo con menor de 14 anos (circunstancias agravacion),no reportado,a pie,a pie,38,femenino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-03-27,valle,cali (ct),sabado,12:00:00,el paraiso e12,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,4,femenino,soltero,colombia,desempleado,no reportado,no reportado,76001000,1.0
2010-03-27,valle,cali (ct),sabado,20:00:00,colseguros andes e10,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,46,femenino,divorciado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-03-28,valle,cali (ct),domingo,04:00:00,puertas del sol e14,urbana,casas de habitacion,articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,arma blanca,a pie,a pie,16,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-29,valle,cali (ct),lunes,14:45:00,san pedro e3,urbana,vias publicas,articulo 206. acto sexual violento,no reportado,a pie,a pie,40,masculino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-03-29,valle,cali (ct),lunes,18:30:00,plazas verdes e5,urbana,conjunto residencial,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,4,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-30,valle,cali (ct),martes,08:30:00,jose m. marroquin ii e14,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,13,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,00:00:00,potrero grande e21,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,25,femenino,casado,colombia,independiente,no reportado,superior,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,08:00:00,el rodeo e12,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,5,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,15:00:00,caney e17,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,16:00:00,cgto navarro e21,rural,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,33,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,19:00:00,ciudad cordoba e15,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-03-31,valle,cali (ct),miercoles,21:00:00,san carlos e11,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,23,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-02,valle,cali (ct),viernes,13:00:00,marroquin i e14,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,2,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-03,valle,cali (ct),sabado,10:00:00,atanasio girardot e8,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,4,masculino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-04-04,valle,cali (ct),domingo,00:00:00,,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-04,valle,cali (ct),domingo,02:00:00,alfonso b. aragon e14,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,24,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-04-04,valle,cali (ct),domingo,06:00:00,polvorines e18,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,45,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-04-04,valle,cali (ct),domingo,18:30:00,san cayetano e3,urbana,vias publicas,articulo 206. acto sexual violento,contundentes,a pie,a pie,21,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-04,valle,cali (ct),domingo,21:00:00,villa del lago e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-07,valle,cali (ct),miercoles,14:00:00,el guabal e10,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,no reportado,no reportado,3,femenino,soltero,colombia,desempleado,no reportado,no reportado,76001000,1.0
2010-04-10,valle,cali (ct),sabado,16:00:00,mojica e15,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-11,valle,cali (ct),domingo,03:30:00,ciudadela floralia e6,urbana,parqueadero,articulo 205. acceso carnal violento,no reportado,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-11,valle,cali (ct),domingo,16:00:00,melendez e18,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,38,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-11,valle,cali (ct),domingo,18:00:00,jose m. marroquin ii e14,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,26,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-11,valle,cali (ct),domingo,20:00:00,belisario caicedo e20,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,33,masculino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-12,valle,cali (ct),lunes,15:00:00,cgto saladito e1,rural,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,43,masculino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-04-12,valle,cali (ct),lunes,20:30:00,ciudad talanga e21,urbana,dentro de la vivienda,articulo 210 a. acoso sexual,no reportado,a pie,a pie,45,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-04-13,valle,cali (ct),martes,00:00:00,obrero e9,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,47,femenino,casado,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-04-14,valle,cali (ct),miercoles,00:00:00,brisas de mayo e20,urbana,casas de habitacion,articulo 206. acto sexual violento,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-14,valle,cali (ct),miercoles,15:00:00,urbanizacion calimio e6,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,41,femenino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-15,valle,cali (ct),jueves,00:00:00,el sena e5,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,6,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-04-15,valle,cali (ct),jueves,16:10:00,san pedro e3,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,26,femenino,soltero,colombia,comerciante,no reportado,secundaria,76001000,1.0
2010-04-15,valle,cali (ct),jueves,20:00:00,urb. rio lili e22,urbana,vias publicas,articulo 210 a. acoso sexual,no reportado,a pie,a pie,27,femenino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-04-15,valle,cali (ct),jueves,21:00:00,marroquin i e14,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,57,femenino,viudo,no reportado,ama de casa,no reportado,primaria,76001000,1.0
2010-04-16,valle,cali (ct),viernes,00:00:00,bellavista e19,urbana,casas de habitacion,articulo 206. acto sexual violento,contundentes,a pie,a pie,47,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-04-16,valle,cali (ct),viernes,20:00:00,marroquin i e14,urbana,casas de habitacion,articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,arma blanca,a pie,a pie,15,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-17,valle,cali (ct),sabado,01:30:00,valle grande e21,urbana,casas de habitacion,articulo 206. acto sexual violento,contundentes,a pie,a pie,37,femenino,soltero,no reportado,independiente,no reportado,secundaria,76001000,1.0
2010-04-17,valle,cali (ct),sabado,09:00:00,marroquin i e14,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-19,valle,cali (ct),lunes,11:15:00,los comuneros i e15,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-19,valle,cali (ct),lunes,16:15:00,san pedro e3,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-20,valle,cali (ct),martes,20:00:00,potrero grande e21,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,35,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-20,valle,cali (ct),martes,20:30:00,marroquin i e14,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,7,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-20,valle,cali (ct),martes,21:15:00,vallado e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,39,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-21,valle,cali (ct),miercoles,19:00:00,los chorros e18,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,24,femenino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-04-23,valle,cali (ct),viernes,10:00:00,potrero grande e21,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-04-23,valle,cali (ct),viernes,14:00:00,alfonso lopez iii e7,urbana,hospitales,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-23,valle,cali (ct),viernes,23:00:00,lares de comfenalco e6,urbana,casas de habitacion,articulo 205. acceso carnal violento,arma blanca,a pie,a pie,40,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-24,valle,cali (ct),sabado,00:00:00,santa rosa e3,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,52,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-04-26,valle,cali (ct),lunes,00:00:00,el refugio e19,urbana,"colegios, escuelas",articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,26,femenino,casado,colombia,independiente,licenciado,superior,76001000,1.0
2010-04-26,valle,cali (ct),lunes,15:00:00,,rural,casas de habitacion,articulo 210 a. acoso sexual,no reportado,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-04-28,valle,cali (ct),miercoles,00:00:00,asturias e12,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,28,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-04-28,valle,cali (ct),miercoles,08:00:00,cgto montebello e1,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-04-29,valle,cali (ct),jueves,21:00:00,valle grande e21,urbana,"colegios, escuelas",articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-05-01,valle,cali (ct),sabado,00:00:00,ciudad 2000 e16,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,4,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-05-01,valle,cali (ct),sabado,05:00:00,san antonio e3,urbana,"hoteles, residencias, y similares.",articulo 205. acceso carnal violento,contundentes,a pie,a pie,35,femenino,soltero,no reportado,independiente,no reportado,secundaria,76001000,1.0
2010-05-02,valle,cali (ct),domingo,00:00:00,vallado e15,urbana,vias publicas,articulo 210 a. acoso sexual,no reportado,a pie,a pie,31,femenino,soltero,no reportado,independiente,no reportado,secundaria,76001000,1.0
2010-05-02,valle,cali (ct),domingo,04:00:00,los robles e13,urbana,dentro de la vivienda,articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,no reportado,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-05-02,valle,cali (ct),domingo,23:45:00,urb. militar e19,urbana,discotecas,articulo 205. acceso carnal violento,no reportado,a pie,a pie,35,femenino,soltero,colombia,empleado particular,no reportado,tecnico,76001000,1.0
2010-05-03,valle,cali (ct),lunes,06:30:00,las delicias,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
