fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2019-01-01,valle,cali (ct),articulo 205. acceso carnal violento,martes,07:00:00,charco azul e13,urbana,dentro de la vivienda,escopolamina,a pie,a pie,25,femenino,soltero,colombia,desempleado,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),articulo 206. acto sexual violento,martes,08:00:00,cgto los andes e19,rural,vias publicas,contundentes,a pie,a pie,19,femenino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),articulo 206. acto sexual violento,martes,13:00:00,mariano ramos e16,urbana,casas de habitacion,contundentes,a pie,a pie,18,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,15:00:00,la isla e4,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,masculino,soltero,colombia,estudiante,no reportada,secundaria,76001000
2019-01-02,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,19:00:00,el rodeo e12,urbana,vias publicas,contundentes,a pie,a pie,16,femenino,soltero,colombia,estudiante,,primaria,76001000
2019-01-02,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,18:00:00,los pinos e7,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-03,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,02:30:00,potrero grande e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,10:00:00,las delicias e4,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,4,femenino,soltero,colombia,independiente,,primaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,16:00:00,obrero e9,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,19:00:00,terron colorado e1,urbana,dentro de la vivienda,contundentes,a pie,a pie,10,femenino,soltero,colombia,empleado particular,no reportada,primaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,11:00:00,las acacias e10,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,no reportada,primaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,18:00:00,petecuy ii e6,urbana,vias publicas,sin empleo de armas,a pie,a pie,4,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,13:00:00,alto jordan e18,urbana,vias publicas,sin empleo de armas,a pie,a pie,8,femenino,soltero,colombia,estudiante,no reportada,secundaria,76001000
2019-01-03,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,jueves,00:05:00,siloe e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,28,femenino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-03,valle,cali (ct),articulo 210 a. acoso sexual,jueves,10:09:00,la fortaleza e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,no reportada,primaria,76001000
2019-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,16:00:00,los lideres e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,no reportada,primaria,76001000
2019-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,19:00:00,urb. tequendama e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,3,femenino,soltero,colombia,estudiante,,analfabeta,76001000
2019-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,19:30:00,terron colorado e1,urbana,casas de habitacion,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,12:00:00,popular e4,urbana,casas de habitacion,contundentes,a pie,a pie,10,masculino,soltero,colombia,estudiante,no reportada,primaria,76001000
2019-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,13:37:00,el poblado ii e13,urbana,vias publicas,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportada,primaria,76001000
2019-01-05,valle,cali (ct),articulo 210 a. acoso sexual,sabado,08:00:00,san vicente e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,42,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-07,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,lunes,19:30:00,siloe e20,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,9,masculino,soltero,colombia,estudiante,no reportada,primaria,76001000
2019-01-07,valle,cali (ct),articulo 218. pornografia con menores,lunes,17:00:00,cgto la leonera e1,urbana,vias publicas,no reportado,a pie,a pie,,masculino,soltero,,empleado particular,no reportada,no reportado,76001000
2019-01-08,valle,cali (ct),articulo 205. acceso carnal violento,martes,10:00:00,calimio desepaz e21,urbana,lugar de trabajo,contundentes,a pie,a pie,33,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-08,valle,cali (ct),articulo 205. acceso carnal violento,martes,19:00:00,san vicente e2,urbana,oficinas,contundentes,a pie,a pie,22,femenino,soltero,colombia,ama de casa,no reportada,secundaria,76001000
2019-01-08,valle,cali (ct),articulo 205. acceso carnal violento,martes,16:11:00,ciudad talanga e21,urbana,casas de habitacion,contundentes,a pie,a pie,19,femenino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,09:00:00,ciudad campestre e22,urbana,vias publicas,sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,09:00:00,prados de oriente e11,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,8,femenino,soltero,colombia,estudiante,,primaria,76001000
2019-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,11:00:00,san luis ii e6,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,8,masculino,soltero,colombia,estudiante,,primaria,76001000
2019-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,22:00:00,altos de menga e2,urbana,casas de habitacion,contundentes,a pie,a pie,6,femenino,soltero,colombia,estudiante,,primaria,76001000
2019-01-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,12:00:00,san pascual e3,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,15,femenino,soltero,colombia,estudiante,no reportada,secundaria,76001000
2019-01-09,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,14:00:00,,urbana,conjunto residencial,sin empleo de armas,a pie,a pie,6,masculino,soltero,colombia,estudiante,,primaria,76001000
2019-01-09,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,10:00:00,santa anita e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,10,femenino,soltero,colombia,estudiante,no reportada,primaria,76001000
