fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2019-01-01,valle,cali (ct),martes,20:40:00,puertas del sol e14,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,21,masculino,union libre,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,13:10:00,jorge zawadsky e10,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,34,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,07:39:00,alfonso lopez i e7,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,07:39:00,alfonso lopez i e7,urbana,vias publicas,arma de fuego,a pie,a pie,31,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,08:46:00,san juan bosco e3,urbana,casas de habitacion,arma blanca / cortopunzante,a pie,a pie,21,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,09:41:00,los comuneros ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,23:16:00,los chorros e18,urbana,vias publicas,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,estudiante,,secundaria,76001000
2019-01-02,valle,cali (ct),miercoles,01:39:00,las ceibas e7,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,50,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-02,valle,cali (ct),miercoles,21:04:00,el poblado ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,64,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-04,valle,cali (ct),viernes,20:51:00,el poblado i e13,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-05,valle,cali (ct),sabado,10:30:00,petecuy iii e6,urbana,casas de habitacion,arma blanca / cortopunzante,a pie,a pie,32,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-05,valle,cali (ct),sabado,02:26:00,villanueva e12,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,38,masculino,union libre,colombia,independiente,,secundaria,76001000
2019-01-05,valle,cali (ct),sabado,11:59:00,petecuy ii e6,urbana,peluqueria y similares,arma de fuego,a pie,a pie,27,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-05,valle,cali (ct),sabado,13:36:00,metropolitano del norte e5,urbana,interior vehiculo servicio publico,arma de fuego,pasajero motocicleta,pasajero taxi,30,femenino,soltero,colombia,independiente,,secundaria,76001000
2019-01-06,valle,cali (ct),domingo,09:40:00,potrero grande e21,urbana,vias publicas,arma de fuego,a pie,a pie,30,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-07,valle,cali (ct),lunes,21:30:00,llano verde e15,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,22,masculino,soltero,colombia,independiente,,primaria,76001000
2019-01-07,valle,cali (ct),lunes,16:50:00,llano verde e15,urbana,vias publicas,arma de fuego,a pie,a pie,48,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-07,valle,cali (ct),lunes,00:40:00,los naranjos ii e14,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,22,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-08,valle,cali (ct),martes,08:20:00,cgto golondrinas e1,rural,carretera,cuerda/soga/cadena,a pie,a pie,30,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-09,valle,cali (ct),miercoles,15:50:00,eucaristico e19,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,19,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-09,valle,cali (ct),miercoles,20:23:00,jose m. marroquin ii e14,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-09,valle,cali (ct),miercoles,21:36:00,alfonso lopez ii e7,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,26,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-10,valle,cali (ct),jueves,23:45:00,la merced e3,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,empleado particular,,tecnico,76001000
2019-01-10,valle,cali (ct),jueves,21:42:00,,urbana,vias publicas,arma de fuego,a pie,a pie,47,masculino,soltero,colombia,comerciante,,secundaria,76001000
2019-01-11,valle,cali (ct),viernes,20:00:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-11,valle,cali (ct),viernes,19:20:00,el poblado i e13,urbana,dentro de la vivienda,cuerda/soga/cadena,a pie,a pie,83,masculino,soltero,colombia,pensionado,,primaria,76001000
2019-01-11,valle,cali (ct),viernes,16:50:00,cgto hormiguero e22,rural,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-11,valle,cali (ct),viernes,21:05:00,petecuy ii e6,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,20,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-11,valle,cali (ct),viernes,01:55:00,los pinos e7,urbana,vias publicas,arma de fuego,a pie,a pie,35,masculino,soltero,colombia,desempleado,,primaria,76001000
2019-01-12,valle,cali (ct),sabado,20:30:00,lleras camargo e20,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,30,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-12,valle,cali (ct),sabado,19:00:00,el rodeo e12,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-12,valle,cali (ct),sabado,23:00:00,el jordan e18,urbana,interior vehiculo particular,arma de fuego,a pie,conductor vehiculo,30,masculino,union libre,colombia,independiente,,secundaria,76001000
2019-01-12,valle,cali (ct),sabado,17:40:00,santa fe e8,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,20,masculino,soltero,colombia,independiente,,primaria,76001000
2019-01-12,valle,cali (ct),sabado,21:05:00,saavedra galindo e8,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,43,masculino,soltero,colombia,desempleado,,primaria,76001000
2019-01-13,valle,cali (ct),domingo,21:30:00,guayaquil e9,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,19,masculino,soltero,colombia,independiente,tecnico profesional en refrigeracion y aire acondicionado,tecnico,76001000
2019-01-13,valle,cali (ct),domingo,03:29:00,urb. santa elena e18,urbana,casas de habitacion,arma de fuego,a pie,a pie,27,masculino,soltero,colombia,desempleado,,primaria,76001000
2019-01-14,valle,cali (ct),lunes,17:58:00,mojica e15,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,30,femenino,soltero,colombia,ama de casa,,secundaria,76001000
2019-01-15,valle,cali (ct),martes,01:30:00,santa elena e10,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,38,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2019-01-15,valle,cali (ct),martes,07:20:00,inv. brisas de comuneros  e15,urbana,vias publicas,arma de fuego,a pie,a pie,18,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-16,valle,cali (ct),miercoles,02:40:00,la floresta e8,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,21,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-17,valle,cali (ct),jueves,05:00:00,santa rosa e3,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,31,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-17,valle,cali (ct),jueves,18:43:00,prados de oriente e11,urbana,vias publicas,arma de fuego,a pie,a pie,27,masculino,union libre,colombia,desempleado,,secundaria,76001000
2019-01-18,valle,cali (ct),viernes,20:00:00,,urbana,,arma de fuego,pasajero motocicleta,conductor motocicleta,41,masculino,union libre,colombia,independiente,,secundaria,76001000
2019-01-18,valle,cali (ct),viernes,05:50:00,san judas tadeo i e10,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,30,masculino,soltero,colombia,desempleado,,primaria,76001000
2019-01-18,valle,cali (ct),viernes,22:56:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-19,valle,cali (ct),sabado,19:40:00,lourdes e18,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-19,valle,cali (ct),sabado,08:10:00,el jardin e11,urbana,casas de habitacion,contundentes,a pie,a pie,72,masculino,soltero,colombia,comerciante,,secundaria,76001000
2019-01-19,valle,cali (ct),sabado,22:33:00,buenos aires e18,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,,secundaria,76001000
2019-01-19,valle,cali (ct),sabado,11:52:00,industrial e8,urbana,semaforo,arma de fuego,pasajero motocicleta,conductor vehiculo,36,masculino,soltero,colombia,comerciante,,secundaria,76001000
2019-01-20,valle,cali (ct),domingo,11:02:00,alfonso lopez iii e7,urbana,tienda,arma de fuego,a pie,a pie,27,masculino,soltero,colombia,independiente,,primaria,76001000
2019-01-21,valle,cali (ct),lunes,21:10:00,los comuneros i e15,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,21,masculino,soltero,colombia,empleado particular,,primaria,76001000
2019-01-21,valle,cali (ct),lunes,12:42:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,25,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-22,valle,cali (ct),martes,03:00:00,el piloto e3,urbana,vias publicas,contundentes,a pie,a pie,39,masculino,soltero,colombia,independiente,,primaria,76001000
2019-01-22,valle,cali (ct),martes,01:06:00,calimio desepaz e21,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,54,masculino,union libre,colombia,empleado particular,,secundaria,76001000
