fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-01-01,valle,cali (ct),sabado,02:10:00,vallado e15,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,04:00:00,mojica e15,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,43,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,05:15:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,06:00:00,san nicolas e3,urbana,vias publicas,contundentes,a pie,a pie,42,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,06:35:00,inv. brisas de comuneros  e15,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,08:10:00,el vergel e13,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,08:10:00,rodrigo lara bonilla e13,urbana,vias publicas,contundentes,no reportado,no reportado,30,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,10:00:00,santa anita e17,urbana,casas de habitacion,arma blanca,a pie,a pie,33,masculino,soltero,colombia,empleado particular,medico,superior,76001000
2011-01-01,valle,cali (ct),sabado,10:30:00,brisas de mayo e20,urbana,vias publicas,arma de fuego,a pie,a pie,26,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,11:30:00,inv. brisas de comuneros  e15,urbana,vias publicas,arma blanca,a pie,a pie,25,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,13:00:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,a pie,a pie,30,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,13:30:00,el poblado ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,16:15:00,sucre e9,urbana,vias publicas,arma blanca,a pie,a pie,20,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,22:30:00,vallado e15,rural,vias publicas,arma de fuego,a pie,a pie,32,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,01:01:00,el cortijo e20,urbana,vias publicas,arma blanca,a pie,a pie,25,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,01:30:00,el poblado i e13,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,empleado particular,no reportado,tecnico,76001000
2011-01-02,valle,cali (ct),domingo,04:00:00,popular e4,urbana,vias publicas,arma de fuego,a pie,a pie,38,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,04:30:00,mariano ramos e16,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,comerciante,no reportado,primaria,76001000
2011-01-02,valle,cali (ct),domingo,09:48:00,union de vivienda popular e16,urbana,vias publicas,contundentes,a pie,a pie,19,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,14:15:00,los comuneros i e15,urbana,vias publicas,no reportado,a pie,a pie,18,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,16:30:00,pizamos i e21,urbana,vias publicas,no reportado,no reportado,no reportado,30,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,19:23:00,el ingenio e17,urbana,vias publicas,arma de fuego,conductor motocicleta,vehiculo,29,masculino,soltero,colombia,empleado particular,no reportado,superior,76001000
