fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2014-01-01,valle,cali (ct),miercoles,02:00:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,35,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,12:30:00,los chorros e18,urbana,,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,06:30:00,lleras camargo e20,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,20:10:00,calimio desepaz e21,urbana,vias publicas,arma de fuego,a pie,a pie,57,masculino,union libre,colombia,empleado particular,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,20:45:00,pizamos ii e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,21,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,06:40:00,los conquistadores e11,urbana,,arma blanca / cortopunzante,a pie,a pie,41,masculino,soltero,colombia,independiente,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,00:20:00,los chorros e18,urbana,vias publicas,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,18:40:00,el poblado ii e13,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,25,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,05:20:00,vallado e15,urbana,vias publicas,arma de fuego,a pie,a pie,26,masculino,union libre,colombia,desempleado,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,06:15:00,jose m. marroquin ii e14,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,20:05:00,ulpiano lloreda e13,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,09:10:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,a pie,42,masculino,union libre,colombia,comerciante,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,07:15:00,los pinos e7,urbana,vias publicas,arma de fuego,a pie,a pie,30,femenino,union libre,colombia,desempleado,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,07:15:00,los pinos e7,urbana,vias publicas,arma de fuego,a pie,a pie,34,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,03:20:00,sector alto los chorros e18,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,27,masculino,union libre,colombia,empleado particular,,primaria,76001000
2014-01-01,valle,cali (ct),miercoles,08:57:00,omar torrijos e13,urbana,,arma de fuego,a pie,a pie,19,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-01,valle,cali (ct),miercoles,06:01:00,jose m. marroquin ii e14,urbana,vias publicas,arma de fuego,a pie,a pie,35,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-02,valle,cali (ct),jueves,20:30:00,cgto golondrinas e1,rural,vias publicas,arma de fuego,pasajero motocicleta,a pie,22,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-02,valle,cali (ct),jueves,03:00:00,caney e17,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-02,valle,cali (ct),jueves,19:45:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,18,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-02,valle,cali (ct),jueves,15:15:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,30,masculino,divorciado,colombia,empleado particular,,superior,76001000
2014-01-03,valle,cali (ct),viernes,01:00:00,alto jordan e18,urbana,billares,arma blanca / cortopunzante,a pie,a pie,39,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-03,valle,cali (ct),viernes,17:40:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,39,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-03,valle,cali (ct),viernes,14:20:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-03,valle,cali (ct),viernes,09:50:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,a pie,37,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-03,valle,cali (ct),viernes,12:10:00,puertas del sol e14,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-04,valle,cali (ct),sabado,16:00:00,siloe e20,urbana,vias publicas,arma de fuego,a pie,a pie,26,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-04,valle,cali (ct),sabado,13:00:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,a pie,a pie,57,masculino,union libre,colombia,agricultor,,primaria,76001000
2014-01-04,valle,cali (ct),sabado,19:10:00,san judas tadeo i e10,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,23,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,21:15:00,jose m. marroquin ii e14,urbana,,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,21:45:00,,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,10:20:00,cgto navarro e21,rural,canaduzal,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,09:50:00,alto napoles e18,urbana,vias publicas,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-07,valle,cali (ct),martes,22:00:00,vallado e15,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,estudiante,,primaria,76001000
2014-01-07,valle,cali (ct),martes,18:30:00,antonio narino e16,urbana,peluqueria y similares,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-07,valle,cali (ct),martes,22:20:00,san luis e6,urbana,,arma de fuego,a pie,a pie,56,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-08,valle,cali (ct),miercoles,17:15:00,terron colorado e1,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,42,masculino,soltero,colombia,independiente,,primaria,76001000
2014-01-08,valle,cali (ct),miercoles,21:05:00,el guabal e10,urbana,vias publicas,arma de fuego,a pie,a pie,35,masculino,union libre,colombia,empleado particular,,primaria,76001000
2014-01-09,valle,cali (ct),jueves,18:30:00,siloe e20,urbana,vias publicas,arma de fuego,a pie,a pie,68,masculino,union libre,colombia,pensionado,,primaria,76001000
2014-01-09,valle,cali (ct),jueves,17:30:00,el vergel e13,urbana,,arma de fuego,a pie,a pie,21,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-09,valle,cali (ct),jueves,20:50:00,siloe e20,urbana,,arma de fuego,a pie,a pie,41,masculino,union libre,colombia,empleado particular,,primaria,76001000
2014-01-09,valle,cali (ct),jueves,16:50:00,terron colorado e1,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-09,valle,cali (ct),jueves,14:05:00,los pinos e7,urbana,vias publicas,arma de fuego,bicicleta,conductor vehiculo,28,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-09,valle,cali (ct),jueves,09:21:00,cgto los andes e19,rural,lote baldio,contundentes,a pie,a pie,31,masculino,union libre,colombia,desempleado,,secundaria,76001000
2014-01-10,valle,cali (ct),viernes,16:00:00,antonio narino e16,urbana,vias publicas,arma de fuego,bicicleta,a pie,17,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-10,valle,cali (ct),viernes,13:30:00,los robles e13,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,26,masculino,soltero,,empleado particular,,primaria,76001000
2014-01-10,valle,cali (ct),viernes,20:40:00,antonio narino e16,urbana,,arma de fuego,a pie,a pie,39,masculino,soltero,colombia,independiente,,primaria,76001000
2014-01-10,valle,cali (ct),viernes,19:10:00,ciudad cordoba e15,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,44,masculino,casado,colombia,empleado particular,,secundaria,76001000
2014-01-11,valle,cali (ct),sabado,20:30:00,terron colorado e1,urbana,vias publicas,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-11,valle,cali (ct),sabado,18:00:00,el poblado ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-12,valle,cali (ct),domingo,21:30:00,los chorros e18,urbana,vias publicas,arma de fuego,a pie,a pie,50,masculino,union libre,colombia,independiente,,primaria,76001000
2014-01-12,valle,cali (ct),domingo,20:46:00,los comuneros ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,10:30:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,41,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,12:30:00,puertas del sol e14,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,20:10:00,manuela beltran e14,urbana,casas de habitacion,arma de fuego,a pie,a pie,70,masculino,soltero,colombia,pensionado,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,21:20:00,san luis ii e6,urbana,vias publicas,arma de fuego,a pie,a pie,9,masculino,soltero,colombia,estudiante,,primaria,76001000
2014-01-13,valle,cali (ct),lunes,18:45:00,aranjuez e9,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,21,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,01:05:00,las americas e8,urbana,vias publicas,arma de fuego,a pie,a pie,34,femenino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-14,valle,cali (ct),martes,20:30:00,la flora e2,urbana,,arma de fuego,pasajero motocicleta,a pie,48,masculino,casado,,empleado particular,contaduria publica,superior,76001000
2014-01-14,valle,cali (ct),martes,17:15:00,olaya herrera e4,urbana,vias publicas,arma de fuego,a pie,a pie,29,masculino,divorciado,colombia,desempleado,,primaria,76001000
2014-01-15,valle,cali (ct),miercoles,21:00:00,mojica e15,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-15,valle,cali (ct),miercoles,20:20:00,mojica e15,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,22,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-15,valle,cali (ct),miercoles,19:20:00,san vicente e2,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,separado,colombia,empleado particular,,secundaria,76001000
2014-01-15,valle,cali (ct),miercoles,18:35:00,la esperanza e11,urbana,vias publicas,contundentes,a pie,a pie,17,femenino,separado,colombia,desempleado,,primaria,76001000
2014-01-15,valle,cali (ct),miercoles,09:05:00,las americas e8,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,50,masculino,soltero,,empleado particular,,secundaria,76001000
2014-01-15,valle,cali (ct),miercoles,08:54:00,san fernando viejo e19,urbana,local comercial,arma de fuego,a pie,a pie,56,masculino,casado,colombia,comerciante,,secundaria,76001000
2014-01-16,valle,cali (ct),jueves,20:00:00,,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,29,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-16,valle,cali (ct),jueves,20:45:00,los naranjos i e14,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-17,valle,cali (ct),viernes,21:30:00,brisas de mayo e20,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,independiente,,primaria,76001000
2014-01-17,valle,cali (ct),viernes,18:20:00,los lideres e21,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-17,valle,cali (ct),viernes,14:15:00,mojica e15,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-17,valle,cali (ct),viernes,15:50:00,marroquin i e14,urbana,vias publicas,arma de fuego,a pie,a pie,43,masculino,separado,colombia,empleado particular,,primaria,76001000
2014-01-17,valle,cali (ct),viernes,20:46:00,napoles e18,urbana,vias publicas,arma de fuego,a pie,a pie,44,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,21:00:00,santa rosa e3,urbana,,arma blanca / cortopunzante,a pie,a pie,21,masculino,soltero,colombia,etnia indigena,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,10:00:00,siloe e20,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,11:30:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,20:40:00,las orquideas e14,urbana,vias publicas,arma de fuego,a pie,a pie,24,femenino,soltero,colombia,empleado particular,,primaria,76001000
2014-01-19,valle,cali (ct),domingo,21:45:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,14,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,02:50:00,sucre e9,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,32,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-19,valle,cali (ct),domingo,03:49:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,06:47:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-20,valle,cali (ct),lunes,21:00:00,los naranjos i e14,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-20,valle,cali (ct),lunes,09:30:00,san antonio e3,urbana,casas de habitacion,arma blanca / cortopunzante,a pie,a pie,21,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-20,valle,cali (ct),lunes,00:30:00,cgto los andes e19,rural,carretera,arma de fuego,a pie,conductor motocicleta,39,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-20,valle,cali (ct),lunes,20:32:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-20,valle,cali (ct),lunes,13:05:00,la merced e3,urbana,casas de habitacion,arma blanca / cortopunzante,a pie,a pie,66,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-21,valle,cali (ct),martes,20:00:00,mojica e15,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-22,valle,cali (ct),miercoles,19:30:00,villa del sur e11,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-22,valle,cali (ct),miercoles,11:30:00,inv. cinta sardi e13,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,17,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-22,valle,cali (ct),miercoles,21:20:00,ciudadela floralia e6,urbana,vias publicas,arma de fuego,a pie,a pie,34,masculino,soltero,colombia,desempleado,,secundaria,76001000
2014-01-22,valle,cali (ct),miercoles,19:36:00,san marino e7,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-23,valle,cali (ct),jueves,21:45:00,alto jordan e18,urbana,vias publicas,arma de fuego,a pie,a pie,41,masculino,union libre,colombia,independiente,,primaria,76001000
2014-01-23,valle,cali (ct),jueves,22:20:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-23,valle,cali (ct),jueves,23:10:00,san fernando viejo e19,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,54,masculino,casado,colombia,independiente,,secundaria,76001000
2014-01-24,valle,cali (ct),viernes,19:30:00,marroquin i e14,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,estudiante,,secundaria,76001000
2014-01-24,valle,cali (ct),viernes,21:00:00,via la buitrera e18,rural,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,colombia,desempleado,,primaria,76001000
2014-01-24,valle,cali (ct),viernes,21:00:00,via la buitrera e18,rural,vias publicas,arma de fuego,a pie,a pie,37,femenino,union libre,colombia,desempleado,,primaria,76001000
2014-01-24,valle,cali (ct),viernes,23:40:00,belen e20,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,desempleado,,primaria,76001000
2014-01-24,valle,cali (ct),viernes,15:45:00,san vicente e2,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,independiente,,primaria,76001000
