fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-01-10,valle,cali (ct),martes,15:30:00,urbana,casas de habitacion,contundentes,a pie,a pie,20,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-10,valle,cali (ct),martes,22:00:00,urbana,vias publicas,no reportado,a pie,a pie,53,femenino,soltero,colombia,independiente,no reportado,no reportado,76001000
2012-01-10,valle,cali (ct),martes,23:30:00,urbana,vias publicas,no reportado,a pie,a pie,39,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-11,valle,cali (ct),miercoles,13:00:00,urbana,vias publicas,no reportado,a pie,a pie,22,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-12,valle,cali (ct),jueves,08:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,42,femenino,union libre,colombia,ama de casa,no reportado,analfabeta,76001000
2012-01-12,valle,cali (ct),jueves,09:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,58,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-12,valle,cali (ct),jueves,09:17:00,urbana,vias publicas,no reportado,a pie,a pie,51,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-12,valle,cali (ct),jueves,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,34,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2012-01-13,valle,cali (ct),viernes,06:29:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,47,femenino,divorciado,colombia,independiente,no reportado,secundaria,76001000
2012-01-13,valle,cali (ct),viernes,19:30:00,urbana,vias publicas,no reportado,a pie,a pie,41,femenino,casado,colombia,desempleado,no reportado,tecnico,76001000
2012-01-14,valle,cali (ct),sabado,09:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,28,masculino,casado,colombia,candidatos,no reportado,secundaria,76001000
2012-01-15,valle,cali (ct),domingo,09:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,45,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-15,valle,cali (ct),domingo,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,41,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000
2012-01-15,valle,cali (ct),domingo,15:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,32,masculino,casado,colombia,independiente,no reportado,primaria,76001000
2012-01-15,valle,cali (ct),domingo,20:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,26,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
