fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2011-02-17,valle,cali (ct),jueves,07:00:00,santa rita e2,urbana,casas de habitacion,arma de fuego,a pie,a pie,26,femenino,casado,colombia,empleado salud,no reportado,secundaria,76001000
2011-02-17,valle,cali (ct),jueves,12:00:00,san pedro claver e11,urbana,casas de habitacion,no reportado,a pie,a pie,27,femenino,soltero,colombia,independiente,no reportado,tecnologo,76001000
2011-02-17,valle,cali (ct),jueves,17:00:00,potrero grande e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,44,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2011-02-18,valle,cali (ct),viernes,10:00:00,alto napoles e18,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,38,femenino,soltero,no reportado,independiente,no reportado,secundaria,76001000
2011-02-18,valle,cali (ct),viernes,10:15:00,santo domingo e10,urbana,casas de habitacion,no reportado,a pie,a pie,27,masculino,union libre,colombia,empleado particular,ingeniero de sistemas,superior,76001000
2011-02-18,valle,cali (ct),viernes,17:30:00,el retiro e15,urbana,vias publicas,no reportado,a pie,a pie,42,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-02-18,valle,cali (ct),viernes,20:00:00,bosques del limonar e17,urbana,,arma de fuego,a pie,a pie,38,masculino,casado,colombia,empleado particular,no reportado,superior,76001000
2011-02-20,valle,cali (ct),domingo,07:00:00,colseguros andes e10,urbana,casas de habitacion,no reportado,a pie,a pie,41,femenino,casado,colombia,independiente,no reportado,superior,76001000
2011-02-20,valle,cali (ct),domingo,07:00:00,colseguros andes e10,urbana,casas de habitacion,no reportado,a pie,a pie,44,masculino,casado,colombia,independiente,no reportado,superior,76001000
2011-02-20,valle,cali (ct),domingo,20:00:00,diamante e13,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-02-20,valle,cali (ct),domingo,20:30:00,charco azul e13,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,42,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-02-20,valle,cali (ct),domingo,22:00:00,santa fe e8,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,33,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-02-20,valle,cali (ct),domingo,22:00:00,alfonso b. aragon e14,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,77,femenino,viudo,colombia,ama de casa,no reportado,secundaria,76001000
2011-02-21,valle,cali (ct),lunes,17:30:00,belalcazar e9,urbana,"colegios, escuelas",arma de fuego,a pie,a pie,15,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-02-21,valle,cali (ct),lunes,20:00:00,santa monica popular e8,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,22,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2011-02-22,valle,cali (ct),martes,17:30:00,la rivera e5,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,55,masculino,union libre,colombia,desempleado,no reportado,superior,76001000
2011-02-22,valle,cali (ct),martes,19:30:00,potrero grande e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,21,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-02-23,valle,cali (ct),miercoles,09:00:00,san pedro e3,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,41,femenino,casado,colombia,empleado particular,no reportado,superior,76001000
2011-02-23,valle,cali (ct),miercoles,09:00:00,pampa linda e19,urbana,universidades,arma de fuego,a pie,a pie,44,masculino,casado,colombia,empleado particular,no reportado,superior,76001000
2011-02-23,valle,cali (ct),miercoles,12:45:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,57,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2011-02-23,valle,cali (ct),miercoles,20:08:00,la merced e3,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,52,femenino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2011-02-24,valle,cali (ct),jueves,16:30:00,san pedro e3,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,61,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000
2011-02-24,valle,cali (ct),jueves,18:00:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,42,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-02-25,valle,cali (ct),viernes,07:50:00,ciudad cordoba e15,urbana,casas de habitacion,arma de fuego,a pie,a pie,31,masculino,soltero,colombia,comerciante,no reportado,primaria,76001000
2011-02-25,valle,cali (ct),viernes,11:00:00,ciudadela floralia e6,urbana,dentro de la vivienda,contundentes,a pie,a pie,48,masculino,viudo,colombia,independiente,no reportado,secundaria,76001000
2011-02-25,valle,cali (ct),viernes,23:10:00,pampa linda e19,urbana,,arma de fuego,a pie,vehiculo,53,femenino,soltero,colombia,empleado particular,abogado,superior,76001000
2011-02-26,valle,cali (ct),sabado,09:30:00,el guabal e10,urbana,casas de habitacion,no reportado,a pie,a pie,63,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-26,valle,cali (ct),sabado,14:00:00,san judas tadeo i e10,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,40,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-02-26,valle,cali (ct),sabado,15:00:00,calimio desepaz e21,urbana,vias publicas,arma de fuego,a pie,a pie,44,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-26,valle,cali (ct),sabado,18:04:00,los guayacanes e5,urbana,local comercial,no reportado,a pie,a pie,34,masculino,soltero,colombia,independiente,administrador de empresas,superior,76001000
2011-02-26,valle,cali (ct),sabado,21:00:00,el vergel e13,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-02-27,valle,cali (ct),domingo,02:57:00,brisas de los alamos e2,urbana,vias publicas,no reportado,a pie,a pie,28,masculino,soltero,colombia,empleado particular,no reportado,superior,76001000
2011-02-27,valle,cali (ct),domingo,20:10:00,los parques e5,urbana,casas de habitacion,no reportado,a pie,a pie,78,masculino,separado,colombia,independiente,no reportado,primaria,76001000
2011-02-28,valle,cali (ct),lunes,10:00:00,compartir e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-02-28,valle,cali (ct),lunes,11:05:00,san pedro e3,urbana,oficinas,no reportado,a pie,a pie,42,masculino,soltero,colombia,empleado particular,administrador de empresas,superior,76001000
2011-02-28,valle,cali (ct),lunes,17:08:00,quintas de salomia e6,urbana,casas de habitacion,no reportado,a pie,a pie,20,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2011-02-28,valle,cali (ct),lunes,19:00:00,alameda e9,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,38,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2011-03-01,valle,cali (ct),martes,08:30:00,los guaduales e6,urbana,"colegios, escuelas",no reportado,a pie,a pie,56,femenino,viudo,colombia,empleado publico,no reportado,superior,76001000
2011-03-01,valle,cali (ct),martes,10:00:00,lleras restrepo e13,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,53,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-03-01,valle,cali (ct),martes,10:10:00,antonio narino e16,urbana,,arma de fuego,a pie,a pie,59,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000
2011-03-01,valle,cali (ct),martes,10:15:00,manuela beltran e14,urbana,vias publicas,no reportado,a pie,a pie,47,masculino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2011-03-01,valle,cali (ct),martes,17:00:00,ciudadela confandi e17,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,29,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-03-01,valle,cali (ct),martes,17:26:00,lili e17,urbana,casas de habitacion,no reportado,a pie,a pie,39,masculino,casado,colombia,empleado publico,no reportado,secundaria,76001000
2011-03-01,valle,cali (ct),martes,21:30:00,caney e17,urbana,conjunto residencial,no reportado,a pie,a pie,28,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-03-02,valle,cali (ct),miercoles,05:10:00,alfonso b. aragon e14,urbana,,arma de fuego,a pie,a pie,38,femenino,soltero,no reportado,ama de casa,no reportado,secundaria,76001000
2011-03-02,valle,cali (ct),miercoles,15:00:00,porvenir e4,urbana,oficinas,no reportado,a pie,a pie,54,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-03-03,valle,cali (ct),jueves,06:39:00,primero de mayo e17,urbana,vias publicas,no reportado,a pie,a pie,18,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2011-03-03,valle,cali (ct),jueves,10:00:00,jose m. marroquin ii e14,urbana,vias publicas,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-03-03,valle,cali (ct),jueves,11:30:00,san pedro e3,urbana,vias publicas,no reportado,a pie,a pie,33,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-03-03,valle,cali (ct),jueves,23:00:00,el guabal e10,urbana,casas de habitacion,arma de fuego,a pie,a pie,62,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
