fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-01,valle,cali (ct),viernes,04:00:00,alfonso b. aragon e14,urbana,casas de habitacion,contundentes,a pie,a pie,24,masculino,union libre,colombia,independiente,no reportado,tecnico,76001000
2010-01-01,valle,cali (ct),viernes,11:00:00,vallado e15,urbana,vias publicas,contundentes,a pie,a pie,29,masculino,soltero,colombia,independiente,no reportado,tecnico,76001000
2010-01-01,valle,cali (ct),viernes,15:00:00,siete de agosto e7,urbana,vias publicas,no reportado,a pie,a pie,20,femenino,soltero,colombia,estudiante,no reportado,tecnico,76001000
2010-01-01,valle,cali (ct),viernes,20:00:00,caldas e18,urbana,conjunto residencial,arma de fuego,a pie,a pie,58,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-02,valle,cali (ct),sabado,18:38:00,ciudadela floralia e6,urbana,no definido,no reportado,a pie,a pie,33,femenino,viudo,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-03,valle,cali (ct),domingo,19:00:00,chiminangos ii e5,urbana,dentro de la vivienda,no reportado,a pie,a pie,32,masculino,union libre,colombia,empleado particular,no reportado,tecnico,76001000
2010-01-03,valle,cali (ct),domingo,21:20:00,belisario caicedo e20,urbana,vias publicas,contundentes,a pie,a pie,43,masculino,union libre,colombia,independiente,no reportado,tecnico,76001000
2010-01-04,valle,cali (ct),lunes,08:00:00,jose maria cordoba e11,urbana,,arma de fuego,a pie,a pie,18,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,09:32:00,popular e4,urbana,dentro de la vivienda,no reportado,a pie,a pie,40,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,10:00:00,san fernando nuevo e19,urbana,clinicas y similares,no reportado,a pie,a pie,41,masculino,casado,colombia,empleado particular,no reportado,superior,76001000
2010-01-04,valle,cali (ct),lunes,13:40:00,tequendama e19,urbana,oficinas,contundentes,a pie,a pie,27,femenino,soltero,colombia,empleado particular,administrador de empresas,tecnico,76001000
2010-01-04,valle,cali (ct),lunes,15:20:00,la rivera e5,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,15:30:00,san pedro e3,urbana,centro comercial,contundentes,a pie,a pie,44,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-05,valle,cali (ct),martes,06:00:00,ciudad modelo e11,urbana,dentro de la vivienda,no reportado,a pie,a pie,41,masculino,casado,colombia,empleado particular,no reportado,primaria,76001000
2010-01-05,valle,cali (ct),martes,14:00:00,jorge eliecer gaitan e6,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,50,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2010-01-05,valle,cali (ct),martes,19:30:00,el bosque e2,urbana,dentro de la vivienda,no reportado,a pie,a pie,32,femenino,union libre,colombia,empleado particular,no reportado,superior,76001000
2010-01-05,valle,cali (ct),martes,20:00:00,alto aguacatal e1,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,34,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2010-01-05,valle,cali (ct),martes,20:30:00,las granjas e10,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,21,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-05,valle,cali (ct),martes,22:30:00,los andes e5,urbana,dentro de la vivienda,no reportado,a pie,a pie,26,femenino,soltero,colombia,estudiante,no reportado,tecnico,76001000
2010-01-08,valle,cali (ct),viernes,11:30:00,porvenir e4,urbana,parqueadero,no reportado,a pie,a pie,47,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2010-01-08,valle,cali (ct),viernes,18:30:00,nueva floresta e12,urbana,vias publicas,no reportado,a pie,a pie,37,masculino,casado,colombia,empleado particular,no reportado,superior,76001000
2010-01-09,valle,cali (ct),sabado,02:30:00,santa barbara e5,urbana,vias publicas,no reportado,a pie,a pie,25,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,04:30:00,urb. colseguros e19,urbana,apartamento,arma de fuego,a pie,a pie,47,masculino,union libre,no reportado,empleado particular,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,09:00:00,alto napoles e18,urbana,dentro de la vivienda,no reportado,a pie,a pie,49,femenino,casado,colombia,desempleado,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,16:00:00,el guabal e10,urbana,casas de habitacion,no reportado,a pie,a pie,60,masculino,viudo,colombia,desempleado,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,19:00:00,puerto mallarino e7,urbana,vias publicas,no reportado,a pie,a pie,24,masculino,union libre,colombia,empleado policial,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,21:00:00,el retiro e15,urbana,casas de habitacion,arma de fuego,a pie,a pie,53,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-10,valle,cali (ct),domingo,08:30:00,los farallones e18,urbana,vias publicas,no reportado,a pie,a pie,50,femenino,casado,colombia,empleado particular,no reportado,tecnico,76001000
2010-01-10,valle,cali (ct),domingo,17:00:00,la cascada e19,urbana,casas de habitacion,contundentes,a pie,a pie,18,masculino,soltero,colombia,estudiante,medico,superior,76001000
2010-01-11,valle,cali (ct),lunes,10:00:00,siloe e20,urbana,casas de habitacion,no reportado,a pie,a pie,40,femenino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2010-01-11,valle,cali (ct),lunes,11:00:00,porvenir e4,urbana,casas de habitacion,no reportado,a pie,a pie,37,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-11,valle,cali (ct),lunes,23:15:00,bellavista e19,urbana,casas de habitacion,arma de fuego,a pie,a pie,40,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
