fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2012-01-01,valle,cali (ct),domingo,00:01:00,caney e17,urbana,empresa,sin empleo de armas,a pie,a pie,oficinas,76001000
2012-01-02,valle,cali (ct),lunes,00:00:00,tequendama e19,urbana,"droguerias, farmacias",cortantes,a pie,a pie,droguerias y farmacias,76001000
2012-01-03,valle,cali (ct),martes,17:30:00,san joaquin e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-03,valle,cali (ct),martes,17:40:00,san nicolas e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-03,valle,cali (ct),martes,22:50:00,pacara e2,urbana,estaciones de servicio,arma de fuego,conductor motocicleta,a pie,bomba gasolina,76001000
2012-01-04,valle,cali (ct),miercoles,19:00:00,santa elena e10,urbana,bodegas y similares,cortantes,a pie,a pie,"bodegas, depositos",76001000
2012-01-04,valle,cali (ct),miercoles,19:10:00,nueva floresta e12,urbana,estaciones de servicio,arma de fuego,conductor motocicleta,a pie,bomba gasolina,76001000
2012-01-05,valle,cali (ct),jueves,00:00:00,obrero e9,urbana,tienda,sin empleo de armas,a pie,a pie,"bodegas, depositos",76001000
2012-01-05,valle,cali (ct),jueves,03:00:00,san fernando viejo e19,urbana,local comercial,contundentes,a pie,a pie,almacenes,76001000
2012-01-07,valle,cali (ct),sabado,07:00:00,miraflores e19,urbana,"colegios, escuelas",contundentes,a pie,a pie,"colegios, escuelas",76001000
2012-01-07,valle,cali (ct),sabado,19:40:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-07,valle,cali (ct),sabado,21:00:00,santa rita e2,urbana,restaurantes,cortantes,a pie,a pie,restaurantes,76001000
2012-01-08,valle,cali (ct),domingo,03:00:00,marroquin i e14,urbana,local comercial,cortantes,a pie,a pie,almacenes,76001000
2012-01-10,valle,cali (ct),martes,00:00:00,puerto mallarino e7,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,"colegios, escuelas",76001000
2012-01-10,valle,cali (ct),martes,13:00:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-11,valle,cali (ct),miercoles,10:30:00,centenario e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-11,valle,cali (ct),miercoles,11:00:00,la playa e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-11,valle,cali (ct),miercoles,11:00:00,via al mar e1,rural,estaciones de servicio,arma de fuego,conductor motocicleta,a pie,bomba gasolina,76001000
2012-01-12,valle,cali (ct),jueves,11:00:00,la playa e17,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2012-01-12,valle,cali (ct),jueves,11:50:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-12,valle,cali (ct),jueves,14:00:00,industrial e8,urbana,empresa,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2012-01-13,valle,cali (ct),viernes,00:30:00,urb. tequendama e19,urbana,clinicas y similares,contundentes,a pie,a pie,"clinicas, hospitales",76001000
2012-01-13,valle,cali (ct),viernes,02:05:00,los parques e5,urbana,caseta vigilancia empresas,cortantes,a pie,a pie,otros instalaciones gubernamentales,76001000
2012-01-13,valle,cali (ct),viernes,12:10:00,valle del lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-14,valle,cali (ct),sabado,16:30:00,pampa linda e19,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2012-01-14,valle,cali (ct),sabado,18:30:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-14,valle,cali (ct),sabado,22:30:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-15,valle,cali (ct),domingo,19:00:00,alameda e9,urbana,panaderias,arma de fuego,a pie,a pie,"cafes, bares y similares",76001000
2012-01-15,valle,cali (ct),domingo,21:10:00,el sena e5,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-16,valle,cali (ct),lunes,04:00:00,belalcazar e9,urbana,local comercial,arma de fuego,a pie,a pie,almacenes,76001000
2012-01-16,valle,cali (ct),lunes,10:35:00,talanga 3 e21,urbana,compraventa,arma blanca,conductor motocicleta,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,02:00:00,tequendama e19,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,02:20:00,la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,07:10:00,los libertadores e3,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2012-01-17,valle,cali (ct),martes,09:00:00,ciudad jardin e22,urbana,centro comercial,contundentes,a pie,a pie,servicios,76001000
2012-01-17,valle,cali (ct),martes,10:00:00,el limonar e17,urbana,"droguerias, farmacias",sin empleo de armas,a pie,a pie,droguerias y farmacias,76001000
2012-01-17,valle,cali (ct),martes,10:10:00,saavedra galindo e8,urbana,local comercial,sin empleo de armas,vehiculo,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,11:30:00,u.r. santiago de cali e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,16:30:00,san marino e7,urbana,local comercial,sin empleo de armas,conductor taxi,a pie,almacenes,76001000
2012-01-17,valle,cali (ct),martes,19:40:00,urb. militar e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-18,valle,cali (ct),miercoles,10:35:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-18,valle,cali (ct),miercoles,20:10:00,valle del lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-18,valle,cali (ct),miercoles,20:40:00,alfonso lopez ii e7,urbana,bodegas y similares,contundentes,a pie,a pie,otra empreas comercial,76001000
2012-01-19,valle,cali (ct),jueves,08:30:00,el limonar e17,urbana,conjunto residencial,sin empleo de armas,a pie,a pie,servicios,76001000
2012-01-19,valle,cali (ct),jueves,15:40:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-19,valle,cali (ct),jueves,19:35:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-19,valle,cali (ct),jueves,21:00:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-20,valle,cali (ct),viernes,06:20:00,nueva floresta e12,urbana,empresa,arma de fuego,a pie,a pie,almacenes,76001000
2012-01-20,valle,cali (ct),viernes,12:50:00,vallado e15,urbana,oficinas,contundentes,a pie,a pie,servicios,76001000
2012-01-20,valle,cali (ct),viernes,17:30:00,urbanizacion la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-20,valle,cali (ct),viernes,19:40:00,el limonar e17,urbana,supermercados,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-20,valle,cali (ct),viernes,21:50:00,el lido e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-21,valle,cali (ct),sabado,16:40:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-21,valle,cali (ct),sabado,21:10:00,industrial e8,urbana,bomba de gasolina,arma de fuego,conductor motocicleta,a pie,bomba gasolina,76001000
2012-01-21,valle,cali (ct),sabado,21:20:00,la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-21,valle,cali (ct),sabado,22:20:00,champagnat e19,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2012-01-22,valle,cali (ct),domingo,02:00:00,san vicente e2,urbana,local comercial,cortantes,a pie,a pie,oficinas,76001000
2012-01-22,valle,cali (ct),domingo,04:00:00,urbanizacion la merced e2,urbana,local comercial,contundentes,a pie,a pie,almacenes,76001000
2012-01-23,valle,cali (ct),lunes,02:00:00,villa del prado e5,urbana,estaciones de servicio,arma de fuego,vehiculo,a pie,bomba gasolina,76001000
2012-01-23,valle,cali (ct),lunes,10:00:00,santa monica residencial e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-23,valle,cali (ct),lunes,18:00:00,la campina e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-24,valle,cali (ct),martes,09:45:00,municipal e8,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2012-01-24,valle,cali (ct),martes,13:30:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-25,valle,cali (ct),miercoles,15:15:00,unicentro cali e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-25,valle,cali (ct),miercoles,18:00:00,valle del lili e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-26,valle,cali (ct),jueves,07:10:00,pance e22,urbana,"colegios, escuelas",cortantes,a pie,a pie,"colegios, escuelas",76001000
2012-01-26,valle,cali (ct),jueves,08:00:00,el limonar e17,urbana,local comercial,arma blanca,a pie,a pie,otra empreas comercial,76001000
2012-01-26,valle,cali (ct),jueves,10:00:00,el cedro e19,urbana,local comercial,sin empleo de armas,a pie,a pie,empresas de vigilancia personal armado,76001000
2012-01-27,valle,cali (ct),viernes,15:10:00,calima e4,urbana,centro comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-28,valle,cali (ct),sabado,02:52:00,santa rosa e3,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2012-01-28,valle,cali (ct),sabado,07:00:00,ciudad jardin e22,urbana,empresa,contundentes,a pie,a pie,construcciones,76001000
2012-01-28,valle,cali (ct),sabado,08:35:00,maracaibo e11,urbana,local comercial,arma blanca,a pie,a pie,almacenes,76001000
2012-01-28,valle,cali (ct),sabado,11:30:00,san nicolas e3,urbana,bodegas y similares,arma de fuego,vehiculo,a pie,"bodegas, depositos",76001000
2012-01-28,valle,cali (ct),sabado,18:30:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-28,valle,cali (ct),sabado,19:20:00,el calvario e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-28,valle,cali (ct),sabado,21:30:00,brisas de los alamos e2,urbana,local comercial,arma de fuego,a pie,a pie,almacenes,76001000
2012-01-29,valle,cali (ct),domingo,10:30:00,chipichape e2,urbana,local comercial,cortantes,a pie,a pie,cafeterias y similares,76001000
2012-01-29,valle,cali (ct),domingo,20:05:00,los guayacanes e5,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-30,valle,cali (ct),lunes,14:05:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-30,valle,cali (ct),lunes,16:45:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-31,valle,cali (ct),martes,12:50:00,el sena e5,urbana,local comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-31,valle,cali (ct),martes,15:30:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-31,valle,cali (ct),martes,20:40:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-31,valle,cali (ct),martes,21:40:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-01-31,valle,cali (ct),martes,23:35:00,brisas de los alamos e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-01,valle,cali (ct),miercoles,11:40:00,multicentro e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-01,valle,cali (ct),miercoles,14:30:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-02,valle,cali (ct),jueves,07:40:00,el limonar e17,urbana,parqueadero,arma de fuego,a pie,a pie,servicios,76001000
2012-02-02,valle,cali (ct),jueves,20:10:00,san vicente e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-03,valle,cali (ct),viernes,16:10:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-03,valle,cali (ct),viernes,20:45:00,el troncal e8,urbana,estaciones de servicio,arma de fuego,vehiculo,a pie,bomba gasolina,76001000
2012-02-03,valle,cali (ct),viernes,23:00:00,,rural,centro recreacional,cortantes,a pie,a pie,parques,76001000
2012-02-04,valle,cali (ct),sabado,00:00:00,el trebol e8,urbana,local comercial,cortantes,a pie,a pie,"bodegas, depositos",76001000
2012-02-04,valle,cali (ct),sabado,12:10:00,marroquin i e14,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2012-02-04,valle,cali (ct),sabado,13:00:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-04,valle,cali (ct),sabado,17:20:00,san joaquin e17,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2012-02-04,valle,cali (ct),sabado,20:30:00,jose m. marroquin ii e14,urbana,supermercados,sin empleo de armas,a pie,a pie,supermercados,76001000
2012-02-05,valle,cali (ct),domingo,10:00:00,siete de agosto e7,urbana,almacenes,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2012-02-05,valle,cali (ct),domingo,20:40:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-06,valle,cali (ct),lunes,18:00:00,unicentro cali e17,urbana,local comercial,contundentes,a pie,a pie,almacenes,76001000
2012-02-06,valle,cali (ct),lunes,22:00:00,antonio narino e16,urbana,local comercial,arma de fuego,vehiculo,a pie,almacenes,76001000
2012-02-08,valle,cali (ct),miercoles,00:00:00,la nueva base e8,urbana,local comercial,cortantes,a pie,a pie,"bodegas, depositos",76001000
2012-02-08,valle,cali (ct),miercoles,10:10:00,versalles e2,urbana,restaurantes,contundentes,a pie,a pie,cafeterias y similares,76001000
2012-02-09,valle,cali (ct),jueves,06:00:00,sucre e9,urbana,local comercial,cortantes,a pie,a pie,almacenes,76001000
2012-02-09,valle,cali (ct),jueves,09:30:00,san pedro e3,urbana,local comercial,arma de fuego,vehiculo,a pie,oficinas,76001000
2012-02-09,valle,cali (ct),jueves,15:00:00,alameda e9,urbana,local comercial,sin empleo de armas,a pie,a pie,oficinas,76001000
2012-02-09,valle,cali (ct),jueves,15:30:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-09,valle,cali (ct),jueves,17:30:00,ciudad capri e17,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-09,valle,cali (ct),jueves,20:10:00,la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-10,valle,cali (ct),viernes,10:10:00,san pedro e3,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2012-02-10,valle,cali (ct),viernes,20:30:00,union de vivienda popular e16,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2012-02-11,valle,cali (ct),sabado,12:10:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-11,valle,cali (ct),sabado,13:26:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-11,valle,cali (ct),sabado,18:30:00,la flora e2,urbana,"droguerias, farmacias",cortantes,a pie,a pie,droguerias y farmacias,76001000
2012-02-12,valle,cali (ct),domingo,09:00:00,el limonar e17,urbana,restaurantes,contundentes,a pie,a pie,restaurantes,76001000
2012-02-13,valle,cali (ct),lunes,08:02:00,sucre e9,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2012-02-13,valle,cali (ct),lunes,17:30:00,ciudad capri e17,urbana,local comercial,cortantes,vehiculo,a pie,almacenes,76001000
2012-02-13,valle,cali (ct),lunes,23:10:00,san nicolas e3,urbana,frente oficina,sin empleo de armas,a pie,a pie,servicios,76001000
2012-02-14,valle,cali (ct),martes,05:00:00,ciudad cordoba e15,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2012-02-14,valle,cali (ct),martes,17:58:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2012-02-15,valle,cali (ct),miercoles,03:21:00,ciudad 2000 e16,urbana,almacenes,contundentes,vehiculo,a pie,almacenes,76001000
2012-02-15,valle,cali (ct),miercoles,10:45:00,ciudad cordoba e15,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2012-02-15,valle,cali (ct),miercoles,18:15:00,santa barbara e5,urbana,parqueadero,sin empleo de armas,a pie,a pie,"bodegas, depositos",76001000
2012-02-17,valle,cali (ct),viernes,10:40:00,,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
