fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2010-01-25,valle,cali (ct),lunes,11:30:00,ciudadela floralia e6,urbana,clinicas y similares,cortantes,a pie,a pie,consultorios medicos,76001000
2010-01-26,valle,cali (ct),martes,19:20:00,cgto la buitrera e18,rural,"colegios, escuelas",arma de fuego,a pie,a pie,ministerio de educacion,76001000
2010-01-27,valle,cali (ct),miercoles,03:45:00,belisario caicedo e20,urbana,oficinas,contundentes,a pie,a pie,oficinas,76001000
2010-01-29,valle,cali (ct),viernes,06:40:00,santa rosa e3,urbana,oficinas,cortantes,a pie,a pie,fondos de ahorro,76001000
2010-01-29,valle,cali (ct),viernes,09:45:00,san pedro e3,urbana,oficinas,contundentes,a pie,a pie,consultorios juridicos,76001000
2010-01-29,valle,cali (ct),viernes,11:00:00,pance e22,urbana,oficinas,sin empleo de armas,a pie,a pie,universidades,76001000
2010-01-29,valle,cali (ct),viernes,11:30:00,la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-01-29,valle,cali (ct),viernes,14:00:00,san nicolas e3,urbana,bodegas y similares,arma de fuego,conductor motocicleta,a pie,"bodegas, depositos",76001000
2010-01-30,valle,cali (ct),sabado,07:30:00,san juan bosco e3,urbana,almacenes,sin empleo de armas,a pie,a pie,fabricas,76001000
2010-01-30,valle,cali (ct),sabado,09:45:00,el piloto e3,urbana,almacenes,arma de fuego,conductor motocicleta,a pie,almacenes,76001000
2010-01-30,valle,cali (ct),sabado,20:00:00,los cambulos e19,urbana,almacenes,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-01,valle,cali (ct),lunes,05:00:00,guayaquil e9,urbana,local comercial,sin empleo de armas,a pie,a pie,oficinas,76001000
2010-02-01,valle,cali (ct),lunes,07:30:00,tequendama e19,urbana,consultorios medicos,sin empleo de armas,a pie,a pie,consultorios medicos,76001000
2010-02-01,valle,cali (ct),lunes,08:00:00,alameda e9,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-02-01,valle,cali (ct),lunes,08:30:00,miraflores e19,urbana,almacenes,cortantes,a pie,a pie,"clinicas, hospitales",76001000
2010-02-02,valle,cali (ct),martes,10:00:00,san nicolas e3,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-02,valle,cali (ct),martes,12:30:00,villa san marcos e14,urbana,clinicas y similares,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-04,valle,cali (ct),jueves,10:30:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-04,valle,cali (ct),jueves,16:00:00,terron colorado e1,urbana,corporaciones,sin empleo de armas,a pie,a pie,"colegios, escuelas",76001000
2010-02-05,valle,cali (ct),viernes,11:30:00,el refugio e19,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-05,valle,cali (ct),viernes,20:48:00,el lido e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-06,valle,cali (ct),sabado,14:00:00,santa monica residencial e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-06,valle,cali (ct),sabado,17:30:00,santa elena e10,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-02-07,valle,cali (ct),domingo,15:30:00,alameda e9,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,otra empreas comercial,76001000
2010-02-07,valle,cali (ct),domingo,16:40:00,el cortijo e20,urbana,supermercados,contundentes,a pie,a pie,supermercados,76001000
2010-02-08,valle,cali (ct),lunes,08:00:00,santa fe e8,urbana,"colegios, escuelas",contundentes,a pie,a pie,"colegios, escuelas",76001000
2010-02-08,valle,cali (ct),lunes,08:25:00,san fernando nuevo e19,urbana,almacenes,arma de fuego,a pie,a pie,departamentos de seguridad,76001000
2010-02-08,valle,cali (ct),lunes,09:00:00,marroquin i e14,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-09,valle,cali (ct),martes,13:54:00,san juan bosco e3,urbana,bodegas y similares,arma de fuego,a pie,a pie,"bodegas, depositos",76001000
2010-02-10,valle,cali (ct),miercoles,00:00:00,versalles e2,urbana,oficinas,sin empleo de armas,a pie,a pie,construcciones,76001000
2010-02-10,valle,cali (ct),miercoles,09:00:00,tequendama e19,urbana,clinicas y similares,sin empleo de armas,a pie,a pie,"clinicas, hospitales",76001000
2010-02-10,valle,cali (ct),miercoles,14:30:00,jose m. marroquin ii e14,urbana,local comercial,arma de fuego,vehiculo,a pie,otra empreas comercial,76001000
2010-02-10,valle,cali (ct),miercoles,16:30:00,alfonso lopez i e7,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-10,valle,cali (ct),miercoles,16:30:00,melendez e18,urbana,universidades,cortantes,a pie,a pie,universidades,76001000
2010-02-11,valle,cali (ct),jueves,10:00:00,los cambulos e19,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2010-02-12,valle,cali (ct),viernes,00:00:00,gualanday e21,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-02-13,valle,cali (ct),sabado,09:45:00,valle del lili e17,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-02-13,valle,cali (ct),sabado,20:45:00,ciudadela floralia e6,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-14,valle,cali (ct),domingo,06:15:00,centenario e2,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2010-02-14,valle,cali (ct),domingo,20:45:00,calima e4,urbana,supermercados,contundentes,a pie,a pie,supermercados,76001000
2010-02-15,valle,cali (ct),lunes,10:00:00,san pedro e3,urbana,oficinas,cortantes,a pie,a pie,ministerio de agricultura,76001000
2010-02-15,valle,cali (ct),lunes,16:00:00,el cedro e19,urbana,fabricas,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-15,valle,cali (ct),lunes,16:00:00,olimpico e10,urbana,fabricas,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-15,valle,cali (ct),lunes,22:00:00,alfonso lopez iii e7,urbana,casas de apuestas,arma de fuego,a pie,a pie,otra empreas comercial,76001000
2010-02-16,valle,cali (ct),martes,05:30:00,alfonso lopez i e7,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,almacenes,76001000
2010-02-16,valle,cali (ct),martes,12:00:00,valle del lili e17,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,construcciones,76001000
2010-02-16,valle,cali (ct),martes,18:00:00,el jardin e11,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,otra empreas comercial,76001000
2010-02-16,valle,cali (ct),martes,21:31:00,u.r. santiago de cali e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-17,valle,cali (ct),miercoles,15:30:00,el limonar e17,urbana,supermercados,sin empleo de armas,a pie,a pie,oficinas,76001000
2010-02-18,valle,cali (ct),jueves,11:15:00,ciudad jardin e22,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-18,valle,cali (ct),jueves,12:20:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-19,valle,cali (ct),viernes,05:00:00,versalles e2,urbana,almacenes,cortantes,a pie,a pie,oficinas,76001000
2010-02-19,valle,cali (ct),viernes,14:30:00,los naranjos ii e14,urbana,local comercial,arma de fuego,bicicleta,a pie,otra empreas comercial,76001000
2010-02-19,valle,cali (ct),viernes,21:20:00,la esmeralda e4,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,servicios,76001000
2010-02-21,valle,cali (ct),domingo,15:30:00,champagnat e19,urbana,"droguerias, farmacias",arma de fuego,conductor motocicleta,a pie,droguerias y farmacias,76001000
2010-02-21,valle,cali (ct),domingo,21:21:00,san vicente e2,urbana,oficinas,contundentes,a pie,a pie,ministerio de educacion,76001000
2010-02-22,valle,cali (ct),lunes,00:00:00,la flora e2,urbana,oficinas,punzantes,a pie,a pie,oficinas,76001000
2010-02-22,valle,cali (ct),lunes,22:40:00,la esmeralda e4,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,almacenes,76001000
2010-02-23,valle,cali (ct),martes,14:00:00,el poblado ii e13,urbana,consultorios  odontologicos,arma de fuego,conductor motocicleta,a pie,consultorios odontologicos,76001000
2010-02-24,valle,cali (ct),miercoles,14:00:00,chapinero e8,urbana,oficinas,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-24,valle,cali (ct),miercoles,19:00:00,el poblado i e13,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,"clinicas, hospitales",76001000
2010-02-25,valle,cali (ct),jueves,05:00:00,san nicolas e3,urbana,local comercial,contundentes,a pie,a pie,talleres,76001000
2010-02-25,valle,cali (ct),jueves,21:15:00,tequendama e19,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2010-02-27,valle,cali (ct),sabado,13:50:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-27,valle,cali (ct),sabado,15:00:00,,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-02-27,valle,cali (ct),sabado,16:30:00,el cedro e19,urbana,local comercial,arma de fuego,a pie,a pie,almacenes,76001000
2010-02-28,valle,cali (ct),domingo,13:15:00,san fernando nuevo e19,urbana,almacenes,contundentes,a pie,a pie,supermercados,76001000
2010-02-28,valle,cali (ct),domingo,15:10:00,el lido e19,urbana,almacenes,contundentes,a pie,a pie,supermercados,76001000
2010-03-01,valle,cali (ct),lunes,21:15:00,popular e4,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,"clinicas, hospitales",76001000
2010-03-02,valle,cali (ct),martes,01:30:00,san fernando nuevo e19,urbana,estaciones de servicio,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-02,valle,cali (ct),martes,09:00:00,santa anita e17,urbana,empresa,sin empleo de armas,a pie,a pie,servicios especiales de vigilancia,76001000
2010-03-02,valle,cali (ct),martes,10:50:00,municipal e8,urbana,oficinas,arma de fuego,a pie,a pie,oficinas,76001000
2010-03-02,valle,cali (ct),martes,19:00:00,versalles e2,urbana,"hoteles, residencias, y similares.",contundentes,a pie,a pie,hoteles y similares,76001000
2010-03-03,valle,cali (ct),miercoles,06:00:00,vistahermosa e1,rural,local comercial,contundentes,a pie,a pie,otra empreas comercial,76001000
2010-03-03,valle,cali (ct),miercoles,09:00:00,san nicolas e3,urbana,oficinas,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-03,valle,cali (ct),miercoles,10:00:00,san juan bosco e3,urbana,almacenes,sin empleo de armas,a pie,a pie,servicios,76001000
