fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2013-01-02,valle,cali (ct),miercoles,15:00:00,alameda e9,urbana,instalaciones de la policia,contundentes,a pie,a pie,76001000
2013-01-02,valle,cali (ct),miercoles,13:00:00,santa fe e8,urbana,heladeria,sin empleo de armas,a pie,a pie,76001000
2013-01-03,valle,cali (ct),jueves,09:00:00,,urbana,local comercial,contundentes,a pie,a pie,76001000
2013-01-03,valle,cali (ct),jueves,15:00:00,sucre e9,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,76001000
2013-01-03,valle,cali (ct),jueves,01:00:00,belalcazar e9,urbana,local comercial,contundentes,a pie,a pie,76001000
2013-01-03,valle,cali (ct),jueves,17:03:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-03,valle,cali (ct),jueves,03:42:00,san nicolas e3,urbana,empresa,contundentes,a pie,a pie,76001000
2013-01-04,valle,cali (ct),viernes,15:00:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-04,valle,cali (ct),viernes,13:00:00,melendez e18,urbana,consultorios medicos,contundentes,a pie,a pie,76001000
2013-01-05,valle,cali (ct),sabado,15:00:00,el refugio e19,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2013-01-05,valle,cali (ct),sabado,00:45:00,canaveralejo guadalupe e19,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2013-01-06,valle,cali (ct),domingo,20:15:00,los andes e5,urbana,estaciones de servicio,arma de fuego,a pie,a pie,76001000
2013-01-07,valle,cali (ct),lunes,00:00:00,municipal e8,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,76001000
2013-01-07,valle,cali (ct),lunes,10:15:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,10:30:00,san vicente e2,urbana,"hoteles, residencias, y similares.",sin empleo de armas,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,12:00:00,lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,12:30:00,santa teresita e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,07:30:00,el troncal e8,urbana,oficinas,contundentes,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,01:30:00,la alianza e4,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2013-01-08,valle,cali (ct),martes,06:45:00,san fernando viejo e19,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2013-01-09,valle,cali (ct),miercoles,20:00:00,popular e4,urbana,supermercados,arma de fuego,a pie,a pie,76001000
2013-01-09,valle,cali (ct),miercoles,13:30:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2013-01-09,valle,cali (ct),miercoles,12:30:00,centenario e2,urbana,oficinas,arma de fuego,a pie,a pie,76001000
2013-01-09,valle,cali (ct),miercoles,11:20:00,centenario e2,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
