fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2011-01-03,valle,cali (ct),lunes,06:30:00,el troncal e8,urbana,almacenes,sin empleo de armas,a pie,a pie,construcciones,76001000
2011-01-04,valle,cali (ct),martes,00:00:00,la rivera e5,urbana,local comercial,cortantes,a pie,a pie,oficinas,76001000
2011-01-04,valle,cali (ct),martes,00:00:00,versalles e2,urbana,local comercial,arma de fuego,a pie,a pie,oficinas,76001000
2011-01-04,valle,cali (ct),martes,01:00:00,san fernando nuevo e19,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2011-01-05,valle,cali (ct),miercoles,08:00:00,menga e2,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2011-01-05,valle,cali (ct),miercoles,12:00:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2011-01-05,valle,cali (ct),miercoles,15:00:00,el poblado i e13,urbana,local comercial,cortantes,a pie,a pie,almacenes,76001000
2011-01-06,valle,cali (ct),jueves,10:50:00,,rural,oficinas,arma de fuego,a pie,a pie,servicios,76001000
2011-01-06,valle,cali (ct),jueves,16:18:00,urb. militar e19,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2011-01-07,valle,cali (ct),viernes,22:30:00,belalcazar e9,urbana,local comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2011-01-08,valle,cali (ct),sabado,05:30:00,belalcazar e9,urbana,bomba de gasolina,arma de fuego,conductor motocicleta,a pie,bomba gasolina,76001000
2011-01-09,valle,cali (ct),domingo,09:44:00,el penon e3,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2011-01-09,valle,cali (ct),domingo,20:00:00,ciudad cordoba e15,urbana,local comercial,arma de fuego,a pie,a pie,"cafes, bares y similares",76001000
2011-01-10,valle,cali (ct),lunes,08:00:00,san nicolas e3,urbana,supermercados,sin empleo de armas,a pie,a pie,supermercados,76001000
