fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2014-01-03,valle,cali (ct),viernes,13:40:00,eucaristico e19,urbana,librerias,arma de fuego,a pie,a pie,76001000
2014-01-03,valle,cali (ct),viernes,18:10:00,centenario e2,urbana,vias publicas,contundentes,a pie,a pie,76001000
2014-01-04,valle,cali (ct),sabado,17:20:00,calypso e13,urbana,"droguerias, farmacias",arma blanca / cortopunzante,a pie,a pie,76001000
2014-01-05,valle,cali (ct),domingo,05:00:00,evaristo garcia e4,urbana,bodegas y similares,contundentes,a pie,a pie,76001000
2014-01-05,valle,cali (ct),domingo,04:15:00,industrial e8,urbana,bomba de gasolina,arma de fuego,pasajero taxi,a pie,76001000
2014-01-06,valle,cali (ct),lunes,20:30:00,,urbana,estaciones de servicio,arma blanca / cortopunzante,a pie,a pie,76001000
2014-01-07,valle,cali (ct),martes,10:28:00,flora industrial e4,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2014-01-09,valle,cali (ct),jueves,19:30:00,el refugio e19,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,76001000
2014-01-10,valle,cali (ct),viernes,11:30:00,,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2014-01-10,valle,cali (ct),viernes,20:50:00,san fernando nuevo e19,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
2014-01-11,valle,cali (ct),sabado,19:00:00,el limonar e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2014-01-11,valle,cali (ct),sabado,19:30:00,panamericano e10,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-11,valle,cali (ct),sabado,21:00:00,siloe e20,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
2014-01-11,valle,cali (ct),sabado,17:55:00,salomia e4,urbana,peluqueria y similares,arma de fuego,a pie,a pie,76001000
2014-01-12,valle,cali (ct),domingo,23:30:00,ciudad de los alamos e2,urbana,vias publicas,contundentes,a pie,a pie,76001000
2014-01-14,valle,cali (ct),martes,00:00:00,porvenir e4,urbana,local comercial,contundentes,a pie,a pie,76001000
2014-01-14,valle,cali (ct),martes,20:15:00,12 de octubre e12,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-15,valle,cali (ct),miercoles,13:00:00,alameda e9,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,76001000
2014-01-15,valle,cali (ct),miercoles,11:30:00,santa elena e10,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-15,valle,cali (ct),miercoles,06:55:00,industrial e8,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-16,valle,cali (ct),jueves,18:30:00,las ceibas e7,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
2014-01-16,valle,cali (ct),jueves,18:50:00,las quintas de don simon e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2014-01-16,valle,cali (ct),jueves,08:15:00,el porvenir e24,urbana,oficinas,arma de fuego,a pie,a pie,76001000
2014-01-18,valle,cali (ct),sabado,20:00:00,el calvario e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2014-01-18,valle,cali (ct),sabado,09:30:00,la floresta e8,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-18,valle,cali (ct),sabado,19:30:00,el refugio e19,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,76001000
2014-01-19,valle,cali (ct),domingo,02:30:00,julio rincon e12,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-20,valle,cali (ct),lunes,00:00:00,no reporta,urbana,vias publicas,cortantes,a pie,a pie,76001000
2014-01-20,valle,cali (ct),lunes,13:00:00,alfonso lopez iii e7,urbana,"droguerias, farmacias",arma de fuego,pasajero motocicleta,a pie,76001000
2014-01-21,valle,cali (ct),martes,07:00:00,san pedro e3,urbana,parqueadero,sin empleo de armas,a pie,a pie,76001000
2014-01-21,valle,cali (ct),martes,12:00:00,desepaz invicali e21,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,76001000
2014-01-22,valle,cali (ct),miercoles,11:25:00,la floresta e8,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-22,valle,cali (ct),miercoles,13:33:00,colseguros andes e10,urbana,vias publicas,sin empleo de armas,a pie,,76001000
2014-01-23,valle,cali (ct),jueves,18:00:00,brisas de los alamos e2,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-23,valle,cali (ct),jueves,11:30:00,caney e17,urbana,oficinas,arma de fuego,a pie,a pie,76001000
2014-01-23,valle,cali (ct),jueves,18:10:00,brisas de los alamos e2,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-24,valle,cali (ct),viernes,10:00:00,urbanizacion boyaca e11,urbana,"colegios, escuelas",arma de fuego,a pie,a pie,76001000
2014-01-24,valle,cali (ct),viernes,17:00:00,urbanizacion la flora e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-24,valle,cali (ct),viernes,10:45:00,la selva e10,urbana,oficinas,arma de fuego,a pie,a pie,76001000
2014-01-25,valle,cali (ct),sabado,13:00:00,calimio desepaz e21,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-25,valle,cali (ct),sabado,19:30:00,san joaquin e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-25,valle,cali (ct),sabado,17:10:00,versalles e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2014-01-26,valle,cali (ct),domingo,00:00:00,centenario e2,urbana,restaurantes,contundentes,a pie,a pie,76001000
2014-01-26,valle,cali (ct),domingo,21:10:00,chipichape e2,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2014-01-27,valle,cali (ct),lunes,00:00:00,san luis ii e6,urbana,vias publicas,cortantes,a pie,a pie,76001000
2014-01-27,valle,cali (ct),lunes,00:00:00,ulpiano lloreda e13,urbana,vias publicas,cortantes,a pie,a pie,76001000
2014-01-27,valle,cali (ct),lunes,13:00:00,candelaria,urbana,vias publicas,sin empleo de armas,a pie,,76001000
2014-01-27,valle,cali (ct),lunes,11:30:00,julio rincon e12,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2014-01-27,valle,cali (ct),lunes,20:50:00,maracaibo e11,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2014-01-28,valle,cali (ct),martes,18:20:00,el calvario e3,urbana,vias publicas,sin empleo de armas,a pie,,76001000
2014-01-29,valle,cali (ct),miercoles,02:57:00,santa anita e17,urbana,vias publicas,contundentes,conductor vehiculo,,76001000
