fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2016-01-02,valle,cali (ct),sabado,08:00:00,,urbana,almacenes,contundentes,a pie,a pie,76001000
2016-01-02,valle,cali (ct),sabado,06:00:00,industrial e8,urbana,local comercial,contundentes,a pie,a pie,76001000
2016-01-02,valle,cali (ct),sabado,20:30:00,lili e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2016-01-03,valle,cali (ct),domingo,10:00:00,santa elena e10,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2016-01-03,valle,cali (ct),domingo,09:00:00,san antonio e3,urbana,restaurantes,llave maestra,a pie,a pie,76001000
2016-01-03,valle,cali (ct),domingo,14:00:00,valle grande e21,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2016-01-03,valle,cali (ct),domingo,12:50:00,calima e4,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2016-01-04,valle,cali (ct),lunes,08:20:00,melendez e18,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2016-01-05,valle,cali (ct),martes,00:00:00,ciudad cordoba e15,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2016-01-06,valle,cali (ct),miercoles,21:15:00,ciudad 2000 e16,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2016-01-06,valle,cali (ct),miercoles,09:10:00,calima e4,urbana,almacenes,contundentes,a pie,a pie,76001000
2016-01-07,valle,cali (ct),jueves,18:00:00,chipichape e2,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2016-01-07,valle,cali (ct),jueves,22:05:00,las quintas de don simon e17,urbana,bomba de gasolina,arma de fuego,conductor vehiculo,a pie,76001000
2016-01-08,valle,cali (ct),viernes,18:40:00,urb. militar e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2016-01-09,valle,cali (ct),sabado,13:30:00,la flora e2,urbana,almacenes,contundentes,a pie,a pie,76001000
