fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2018-01-01,valle,cali (ct),lunes,10:00:00,12 de octubre e12,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,03:00:00,el calvario e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,01:00:00,siloe e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,13:00:00,el gran limonar e17,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,12:00:00,san luis ii e6,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,06:00:00,san carlos e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,23:00:00,nueva floresta e12,urbana,lugar de trabajo,sin empleo de armas,a pie,a pie,76001000
2018-01-01,valle,cali (ct),lunes,17:15:00,santander e4,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,10:00:00,san judas tadeo i e10,urbana,parqueadero,sin empleo de armas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,08:00:00,guayaquil e9,urbana,oficinas,palancas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,15:00:00,san pascual e3,urbana,local comercial,sin empleo de armas,a pie,conductor vehiculo,76001000
2018-01-02,valle,cali (ct),martes,12:00:00,san nicolas e3,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,12:00:00,villacolombia e8,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,18:00:00,la floresta e8,urbana,caseta comunal,arma de fuego,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,00:30:00,urb. ciudad jardin e22,urbana,oficinas,palancas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,05:30:00,santa elena e10,urbana,bodegas y similares,contundentes,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,17:45:00,,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2018-01-02,valle,cali (ct),martes,00:01:00,belisario caicedo e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-03,valle,cali (ct),miercoles,03:00:00,atanasio girardot e8,urbana,vias publicas,no reportado,a pie,a pie,76001000
2018-01-03,valle,cali (ct),miercoles,15:00:00,santander e4,urbana,vias publicas,sin empleo de armas,a pie,conductor vehiculo,76001000
2018-01-03,valle,cali (ct),miercoles,19:30:00,ciudad capri e17,urbana,restaurantes,sin empleo de armas,conductor vehiculo,a pie,76001000
2018-01-03,valle,cali (ct),miercoles,12:40:00,calima e4,urbana,panaderias,arma blanca / cortopunzante,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,08:00:00,el cedro e19,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,08:00:00,el ingenio e17,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,08:00:00,el penon e3,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,11:00:00,melendez e18,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,02:00:00,san vicente e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,16:00:00,industria de licores e4,urbana,bodegas y similares,palancas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,16:00:00,urbanizacion la flora e2,urbana,establecimiento de comercio,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,12:00:00,urbanizacion la flora e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,11:30:00,alto jordan e18,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,76001000
2018-01-04,valle,cali (ct),jueves,23:30:00,nueva tequendama e19,urbana,bomba de gasolina,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,12:10:00,,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-04,valle,cali (ct),jueves,13:37:00,los cambulos e19,urbana,"hoteles, residencias, y similares.",sin empleo de armas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,15:00:00,centenario e2,urbana,alcaldia,sin empleo de armas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,12:00:00,la flora e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,17:00:00,el lido e19,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor vehiculo,76001000
2018-01-05,valle,cali (ct),viernes,17:30:00,lili e17,urbana,vias publicas,palancas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,04:30:00,san vicente e2,urbana,carretera,sin empleo de armas,a pie,conductor motocicleta,76001000
2018-01-05,valle,cali (ct),viernes,00:10:00,cgto. la sirena e19,rural,local comercial,sin empleo de armas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,08:01:00,eucaristico e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2018-01-05,valle,cali (ct),viernes,13:31:00,chapinero e8,urbana,vias publicas,sin empleo de armas,conductor vehiculo,conductor vehiculo,76001000
2018-01-06,valle,cali (ct),sabado,00:00:00,san luis ii e6,urbana,lugar de trabajo,sin empleo de armas,a pie,a pie,76001000
2018-01-06,valle,cali (ct),sabado,00:00:00,,urbana,vias publicas,contundentes,a pie,a pie,76001000
2018-01-06,valle,cali (ct),sabado,10:00:00,el piloto e3,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
