fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2017-01-01,valle,cali (ct),domingo,00:00:00,belalcazar e9,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2017-01-01,valle,cali (ct),domingo,00:00:00,santa monica residencial e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-01,valle,cali (ct),domingo,08:00:00,cgto la leonera e1,urbana,edificio,no reportado,a pie,a pie,76001000
2017-01-01,valle,cali (ct),domingo,14:00:00,el hoyo e3,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-01,valle,cali (ct),domingo,00:20:00,san fernando viejo e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-02,valle,cali (ct),lunes,15:00:00,san pedro e3,urbana,local comercial,contundentes,a pie,a pie,76001000
2017-01-02,valle,cali (ct),lunes,15:00:00,versalles e2,urbana,consultorios  odontologicos,sin empleo de armas,a pie,a pie,76001000
2017-01-02,valle,cali (ct),lunes,15:00:00,vipasa e2,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-02,valle,cali (ct),lunes,03:00:00,u.r. el coliseo e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-02,valle,cali (ct),lunes,13:10:00,versalles e2,urbana,vias publicas,sin empleo de armas,conductor vehiculo,conductor vehiculo,76001000
2017-01-02,valle,cali (ct),lunes,00:15:00,centenario e2,urbana,empresa,sin empleo de armas,a pie,a pie,76001000
2017-01-04,valle,cali (ct),miercoles,00:00:00,cgto la leonera e1,urbana,vias publicas,no reportado,a pie,a pie,76001000
2017-01-04,valle,cali (ct),miercoles,09:00:00,parcelaciones pance e22,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-04,valle,cali (ct),miercoles,14:30:00,san nicolas e3,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2017-01-05,valle,cali (ct),jueves,00:00:00,belisario caicedo e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-05,valle,cali (ct),jueves,18:00:00,san joaquin e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2017-01-05,valle,cali (ct),jueves,19:35:00,u.r. santiago de cali e19,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-05,valle,cali (ct),jueves,03:38:00,san fernando nuevo e19,urbana,empresa,contundentes,a pie,a pie,76001000
2017-01-06,valle,cali (ct),viernes,09:00:00,santo domingo e10,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-06,valle,cali (ct),viernes,03:00:00,san nicolas e3,urbana,local comercial,palancas,a pie,a pie,76001000
2017-01-06,valle,cali (ct),viernes,14:30:00,valle grande e21,urbana,restaurantes,arma de fuego,conductor motocicleta,a pie,76001000
2017-01-06,valle,cali (ct),viernes,15:30:00,mojica e15,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,76001000
2017-01-06,valle,cali (ct),viernes,21:30:00,alfonso lopez iii e7,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-06,valle,cali (ct),viernes,16:07:00,santa monica residencial e2,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-07,valle,cali (ct),sabado,00:00:00,los cambulos e19,urbana,oficinas,contundentes,a pie,a pie,76001000
2017-01-07,valle,cali (ct),sabado,08:00:00,brisas de los alamos e2,urbana,parqueadero,contundentes,a pie,a pie,76001000
2017-01-07,valle,cali (ct),sabado,13:20:00,san luis e6,urbana,oficinas,arma de fuego,pasajero motocicleta,a pie,76001000
2017-01-08,valle,cali (ct),domingo,11:00:00,desepaz invicali e21,urbana,,arma de fuego,a pie,a pie,76001000
2017-01-08,valle,cali (ct),domingo,01:00:00,urbanizacion la flora e2,urbana,local comercial,contundentes,a pie,a pie,76001000
2017-01-08,valle,cali (ct),domingo,21:10:00,calima e4,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-09,valle,cali (ct),lunes,08:00:00,antonio narino e16,urbana,local comercial,contundentes,a pie,a pie,76001000
2017-01-09,valle,cali (ct),lunes,19:30:00,lili e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-09,valle,cali (ct),lunes,07:20:00,prados del norte e2,urbana,almacenes,llave maestra,conductor vehiculo,a pie,76001000
2017-01-09,valle,cali (ct),lunes,13:35:00,flora industrial e4,urbana,empresa,arma de fuego,a pie,a pie,76001000
2017-01-09,valle,cali (ct),lunes,22:20:00,urb. colseguros e19,urbana,dentro de la vivienda,palancas,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,00:00:00,san vicente e2,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,10:00:00,vipasa e2,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,09:30:00,la flora e2,urbana,vias publicas,arma de fuego,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,22:00:00,san joaquin e17,urbana,centro comercial,contundentes,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,02:30:00,san nicolas e3,urbana,empresa,contundentes,a pie,a pie,76001000
2017-01-10,valle,cali (ct),martes,17:45:00,calima e4,urbana,vias publicas,sin empleo de armas,conductor vehiculo,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,00:00:00,el cedro e19,urbana,almacenes,palancas,a pie,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,11:00:00,el poblado ii e13,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,14:00:00,el ingenio e17,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,12:30:00,pampa linda e19,urbana,universidades,sin empleo de armas,conductor vehiculo,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,22:00:00,alfonso lopez i e7,urbana,estaciones de servicio,arma de fuego,conductor motocicleta,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,11:50:00,alfonso lopez i e7,urbana,casas de apuestas,arma blanca / cortopunzante,a pie,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,11:50:00,pampa linda e19,urbana,universidades,sin empleo de armas,a pie,conductor motocicleta,76001000
2017-01-11,valle,cali (ct),miercoles,13:55:00,san pedro e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,20:25:00,sucre e9,urbana,local comercial,contundentes,a pie,a pie,76001000
2017-01-11,valle,cali (ct),miercoles,20:38:00,lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2017-01-12,valle,cali (ct),jueves,17:00:00,chipichape e2,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-12,valle,cali (ct),jueves,17:00:00,granada e2,urbana,restaurantes,sin empleo de armas,a pie,a pie,76001000
2017-01-12,valle,cali (ct),jueves,07:30:00,urbanizacion la flora e2,urbana,local comercial,contundentes,a pie,a pie,76001000
2017-01-12,valle,cali (ct),jueves,10:20:00,san vicente e2,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2017-01-13,valle,cali (ct),viernes,00:00:00,,urbana,oficinas,palancas,a pie,a pie,76001000
2017-01-13,valle,cali (ct),viernes,08:00:00,marroquin i e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2017-01-13,valle,cali (ct),viernes,14:00:00,ciudad campestre e22,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2017-01-13,valle,cali (ct),viernes,12:00:00,san fernando nuevo e19,urbana,vehiculo,sin empleo de armas,a pie,a pie,76001000
