fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2016-01-01,valle,cali (ct),viernes,00:00:00,manuel mria b/venturta e9,urbana,almacenes,sin empleo de armas,a pie,a pie,39.0,femenino,union libre,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,00:00:00,san nicolas e3,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,73.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,00:00:00,san nicolas e3,urbana,,sin empleo de armas,a pie,a pie,73.0,masculino,union libre,colombia,independiente,,secundaria,
2016-01-01,valle,cali (ct),viernes,11:00:00,,urbana,interior vehiculo particular,contundentes,a pie,a pie,25.0,femenino,soltero,colombia,independiente,,secundaria,
2016-01-01,valle,cali (ct),viernes,11:00:00,desepaz invicali e21,urbana,vias publicas,arma blanca / cortopunzante,bicicleta,a pie,47.0,femenino,soltero,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,14:00:00,porvenir e4,urbana,vias publicas,sin empleo de armas,a pie,a pie,59.0,masculino,casado,colombia,comerciante,,secundaria,
2016-01-01,valle,cali (ct),viernes,19:30:00,villacolombia e8,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,20.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,07:00:00,caldas e18,urbana,vias publicas,contundentes,a pie,a pie,40.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,16:30:00,los lagos e13,urbana,vias publicas,arma de fuego,pasajero taxi,conductor taxi,54.0,masculino,divorciado,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,07:30:00,manuela beltran e14,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,18.0,masculino,union libre,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,05:00:00,san vicente e2,urbana,vias publicas,contundentes,a pie,a pie,49.0,femenino,divorciado,colombia,empleado particular,,secundaria,
2016-01-01,valle,cali (ct),viernes,04:00:00,antonio narino e16,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,75.0,femenino,casado,colombia,independiente,,primaria,
2016-01-02,valle,cali (ct),sabado,00:00:00,,urbana,"hoteles, residencias, y similares.",sin empleo de armas,a pie,a pie,35.0,femenino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,00:00:00,mojica e15,urbana,,cortantes,a pie,a pie,35.0,femenino,soltero,colombia,ama de casa,,secundaria,
2016-01-02,valle,cali (ct),sabado,14:00:00,santa teresita e2,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,22.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,19:00:00,prados del limonar e17,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,20.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,19:00:00,prados del limonar e17,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,34.0,masculino,union libre,colombia,independiente,,secundaria,
2016-01-02,valle,cali (ct),sabado,18:00:00,u.r. santiago de cali e19,urbana,interior vehiculo particular,contundentes,a pie,a pie,45.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,11:30:00,el ingenio e17,urbana,vias publicas,arma de fuego,a pie,a pie,32.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,11:30:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,40.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,11:30:00,siete de agosto e7,urbana,vias publicas,sin empleo de armas,conductor motocicleta,conductor motocicleta,20.0,femenino,soltero,colombia,empleado particular,,tecnico,
2016-01-02,valle,cali (ct),sabado,17:00:00,evaristo garcia e4,urbana,vias publicas,arma blanca / cortopunzante,pasajero motocicleta,conductor motocicleta,37.0,masculino,union libre,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,12:30:00,san nicolas e3,urbana,vias publicas,arma de fuego,a pie,a pie,52.0,masculino,soltero,colombia,independiente,,primaria,
2016-01-02,valle,cali (ct),sabado,22:00:00,la merced e3,urbana,vias publicas,escopolamina,a pie,a pie,62.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,11:20:00,guillermo valencia e4,urbana,vias publicas,sin empleo de armas,pasajero motocicleta,conductor motocicleta,40.0,masculino,casado,colombia,empleado particular,,secundaria,
2016-01-02,valle,cali (ct),sabado,16:10:00,las delicias e4,urbana,vias publicas,contundentes,a pie,conductor motocicleta,20.0,masculino,soltero,colombia,independiente,,secundaria,
2016-01-02,valle,cali (ct),sabado,15:10:00,la fortaleza e11,urbana,vias publicas,arma de fuego,a pie,a pie,26.0,masculino,soltero,colombia,independiente,,secundaria,
2016-01-02,valle,cali (ct),sabado,11:34:00,el cortijo e20,urbana,vias publicas,arma blanca / cortopunzante,conductor motocicleta,a pie,25.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-03,valle,cali (ct),domingo,10:00:00,chipichape e2,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,24.0,masculino,soltero,colombia,empleado particular,,secundaria,
2016-01-03,valle,cali (ct),domingo,19:00:00,sector puente del comercio e6,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,38.0,femenino,soltero,colombia,independiente,,primaria,
2016-01-03,valle,cali (ct),domingo,07:00:00,el vergel e13,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,50.0,masculino,union libre,colombia,independiente,,primaria,
2016-01-03,valle,cali (ct),domingo,20:30:00,santa isabel e19,urbana,conjunto residencial,sin empleo de armas,a pie,a pie,47.0,masculino,casado,colombia,empleado particular,,secundaria,
2016-01-03,valle,cali (ct),domingo,16:30:00,el trebol e8,urbana,semaforo,arma de fuego,conductor motocicleta,conductor vehiculo,38.0,femenino,soltero,colombia,independiente,,secundaria,
2016-01-03,valle,cali (ct),domingo,16:30:00,terron colorado e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,66.0,femenino,soltero,colombia,independiente,,secundaria,
