fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2019-01-01,valle,cali (ct),martes,12:00:00,saavedra galindo e8,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,23,masculino,union libre,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,10:00:00,jose m. marroquin ii e14,urbana,vias publicas,arma blanca / cortopunzante,a pie,bicicleta,37,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,20:00:00,brisas de los alamos e2,urbana,apartamento,sin empleo de armas,a pie,a pie,38,masculino,soltero,colombia,independiente,sin profesion,secundaria,76001000
2019-01-01,valle,cali (ct),martes,20:00:00,lleras restrepo e13,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,19,masculino,soltero,colombia,independiente,,tecnico,76001000
2019-01-01,valle,cali (ct),martes,15:00:00,diamante e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,40,masculino,soltero,colombia,empleado particular,no reportada,tecnico,76001000
2019-01-01,valle,cali (ct),martes,15:00:00,san judas tadeo i e10,urbana,vias publicas,sin empleo de armas,conductor motocicleta,a pie,55,femenino,divorciado,colombia,empleado particular,no reportada,superior,76001000
2019-01-01,valle,cali (ct),martes,20:30:00,primavera e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,36,masculino,soltero,colombia,empleado particular,,tecnico,76001000
2019-01-01,valle,cali (ct),martes,09:00:00,urb. ciudad jardin e22,urbana,casa en conjunto cerrado,sin empleo de armas,a pie,a pie,26,masculino,soltero,colombia,empleado particular,derecho,superior,76001000
2019-01-01,valle,cali (ct),martes,07:30:00,brisas de mayo e20,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,20,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,21:00:00,granada e2,urbana,vias publicas,arma de fuego,a pie,a pie,55,masculino,casado,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,16:30:00,,urbana,parques,arma blanca / cortopunzante,a pie,a pie,51,femenino,soltero,colombia,ama de casa,,primaria,76001000
2019-01-01,valle,cali (ct),martes,22:00:00,santa rosa e3,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,61,masculino,soltero,colombia,empleado particular,no reportada,primaria,76001000
2019-01-01,valle,cali (ct),martes,13:30:00,eduardo santos e12,urbana,vias publicas,sin empleo de armas,a pie,a pie,37,femenino,casado,colombia,empleado particular,auxiliares administrativos,superior,76001000
2019-01-01,valle,cali (ct),martes,03:00:00,san judas tadeo i e10,urbana,vias publicas,sin empleo de armas,a pie,a pie,50,femenino,union libre,colombia,empleado particular,no reportada,superior,76001000
2019-01-01,valle,cali (ct),martes,01:00:00,parcelaciones pance e22,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,51,masculino,union libre,colombia,independiente,derecho,superior,76001000
2019-01-01,valle,cali (ct),martes,04:30:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,a pie,a pie,26,femenino,soltero,colombia,ama de casa,,secundaria,76001000
