fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2010-05-30,valle,cali (ct),domingo,00:01:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,empleado particular,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,01:00:00,brisas de mayo e20,urbana,vias publicas,arma de fuego,a pie,a pie,27,masculino,union libre,colombia,desempleado,noreportado,primaria,76001000
2010-05-30,valle,cali (ct),domingo,02:30:00,la campina e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,24,femenino,soltero,colombia,estudiante,noreportado,superior,76001000
2010-05-30,valle,cali (ct),domingo,03:00:00,nueva floresta e12,urbana,casas de habitacion,contundentes,a pie,a pie,58,masculino,divorciado,colombia,independiente,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,08:00:00,ciudad jardin e22,urbana,vias publicas,contundentes,a pie,a pie,16,masculino,soltero,colombia,independiente,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,11:00:00,el poblado i e13,urbana,vias publicas,arma blanca,a pie,a pie,38,masculino,soltero,colombia,independiente,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,13:00:00,la flora e2,urbana,vias publicas,contundentes,a pie,a pie,44,masculino,casado,colombia,independiente,noreportado,superior,76001000
2010-05-30,valle,cali (ct),domingo,14:00:00,el poblado i e13,urbana,vias publicas,contundentes,a pie,a pie,20,femenino,union libre,colombia,ama de casa,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,14:00:00,mariano ramos e16,urbana,vias publicas,contundentes,a pie,a pie,38,masculino,union libre,colombia,independiente,noreportado,primaria,76001000
2010-05-30,valle,cali (ct),domingo,14:00:00,mariano ramos e16,urbana,vias publicas,contundentes,a pie,a pie,41,femenino,soltero,colombia,independiente,noreportado,primaria,76001000
2010-05-30,valle,cali (ct),domingo,14:17:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,soltero,colombia,desempleado,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,17:30:00,republica israel e16,urbana,vias publicas,arma de fuego,bicicleta,a pie,35,masculino,union libre,colombia,empleado particular,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,20:00:00,alfonso b. aragon e14,urbana,vias publicas,contundentes,a pie,a pie,1,masculino,soltero,colombia,desempleado,noreportado,analfabeta,76001000
2010-05-30,valle,cali (ct),domingo,20:20:00,los conquistadores e11,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,noreportado,desempleado,noreportado,secundaria,76001000
2010-05-30,valle,cali (ct),domingo,21:00:00,el retiro e15,urbana,vias publicas,contundentes,a pie,a pie,44,femenino,union libre,colombia,independiente,noreportado,primaria,76001000
2010-05-31,valle,cali (ct),lunes,09:30:00,la independencia e11,urbana,local comercial,contundentes,a pie,a pie,45,masculino,casado,colombia,independiente,noreportado,tecnologo,76001000
2010-05-31,valle,cali (ct),lunes,12:30:00,marroquin i e14,urbana,vias publicas,contundentes,a pie,a pie,28,femenino,union libre,colombia,independiente,noreportado,primaria,76001000
2010-05-31,valle,cali (ct),lunes,13:20:00,el refugio e19,urbana,casa en conjunto cerrado,contundentes,a pie,a pie,48,femenino,soltero,colombia,independiente,administrador de empresas,superior,76001000
2010-05-31,valle,cali (ct),lunes,14:00:00,el calvario e3,urbana,vias publicas,arma blanca,a pie,a pie,52,masculino,soltero,noreportado,independiente,noreportado,analfabeta,76001000
2010-05-31,valle,cali (ct),lunes,16:30:00,tequendama e19,urbana,vias publicas,contundentes,a pie,a pie,41,masculino,soltero,colombia,independiente,noreportado,secundaria,76001000
2010-05-31,valle,cali (ct),lunes,19:00:00,los chorros e18,urbana,vias publicas,arma blanca,a pie,a pie,15,masculino,soltero,colombia,estudiante,noreportado,primaria,76001000
2010-06-01,valle,cali (ct),martes,11:30:00,el recuerdo e11,urbana,casas de habitacion,contundentes,a pie,a pie,38,masculino,casado,colombia,independiente,noreportado,secundaria,76001000
2010-06-01,valle,cali (ct),martes,16:00:00,sucre e9,urbana,vias publicas,contundentes,a pie,a pie,55,femenino,soltero,colombia,independiente,noreportado,primaria,76001000
