fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2012-04-19,valle,cali (ct),jueves,10:40:00,el poblado ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,10,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000
2012-04-19,valle,cali (ct),jueves,15:00:00,san pedro e3,urbana,vias publicas,arma blanca,a pie,a pie,22,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2012-04-19,valle,cali (ct),jueves,15:30:00,vallado e15,urbana,cancha de futbol,contundentes,a pie,a pie,19,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2012-04-19,valle,cali (ct),jueves,18:04:00,cgto hormiguero e22,rural,vias publicas,arma de fuego,vehiculo,a pie,38,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-04-19,valle,cali (ct),jueves,20:00:00,pampa linda e19,urbana,restaurantes,contundentes,a pie,a pie,24,femenino,union libre,colombia,estudiante,no reportado,secundaria,76001000
2012-04-19,valle,cali (ct),jueves,21:00:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,19,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-04-19,valle,cali (ct),jueves,22:00:00,ciudad cordoba e15,urbana,casas de habitacion,contundentes,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2012-04-19,valle,cali (ct),jueves,22:40:00,,urbana,vias publicas,contundentes,a pie,a pie,39,femenino,union libre,colombia,independiente,no reportado,tecnico,76001000
2012-04-20,valle,cali (ct),viernes,02:07:00,,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,34,femenino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-04-20,valle,cali (ct),viernes,08:00:00,,urbana,vias publicas,contundentes,a pie,a pie,36,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2012-04-20,valle,cali (ct),viernes,08:00:00,las granjas e10,urbana,vias publicas,contundentes,a pie,a pie,56,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2012-04-20,valle,cali (ct),viernes,12:30:00,la selva e10,urbana,dentro de la vivienda,contundentes,a pie,a pie,39,femenino,union libre,no reportado,empleado particular,no reportado,secundaria,76001000
2012-04-20,valle,cali (ct),viernes,12:35:00,vallado e15,urbana,vias publicas,contundentes,a pie,a pie,20,masculino,soltero,colombia,empleado particular,no reportado,analfabeta,76001000
2012-04-20,valle,cali (ct),viernes,13:00:00,diamante e13,urbana,casas de habitacion,contundentes,a pie,a pie,23,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-04-20,valle,cali (ct),viernes,14:00:00,la floresta e8,urbana,vias publicas,contundentes,a pie,a pie,68,femenino,soltero,colombia,comerciante,no reportado,primaria,76001000
2012-04-20,valle,cali (ct),viernes,14:30:00,san judas tadeo i e10,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
