fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2013-02-14,valle,cali (ct),jueves,15:30:00,benjamin herrera e8,urbana,bancos,arma de fuego,conductor motocicleta,a pie,76001000
2013-11-22,valle,cali (ct),viernes,11:20:00,popular e4,urbana,bancos,arma de fuego,a pie,a pie,76001000
