fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2016-01-01,valle,cali (ct),viernes,20:00:00,julio rincon e12,urbana,vias publicas,llave maestra,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,ak 125,2008,negro
2016-01-01,valle,cali (ct),viernes,22:00:00,valle grande e21,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,bajaj,pulsar 135 ls,2014,negro
2016-01-01,valle,cali (ct),viernes,11:00:00,la fortaleza e11,urbana,vias publicas,llave maestra,a pie,a pie,25,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,cb 110,2014,rojo
2016-01-01,valle,cali (ct),viernes,17:00:00,ciudad capri e17,urbana,,llave maestra,a pie,a pie,24,masculino,soltero,colombia,desempleado,,secundaria,76001000,motocicleta,akt,125 sl,2011,rojo
2016-01-01,valle,cali (ct),viernes,08:00:00,terron colorado e1,urbana,vias publicas,llave maestra,a pie,a pie,48,femenino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,bajaj,discover 125 st,2016,rojo
2016-01-01,valle,cali (ct),viernes,01:00:00,calimio desepaz e21,urbana,vias publicas,llave maestra,a pie,a pie,47,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,,1991,azul
2016-01-01,valle,cali (ct),viernes,02:00:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,pasajero motocicleta,a pie,27,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe es,2013,negro
2016-01-01,valle,cali (ct),viernes,13:30:00,chipichape e2,urbana,vias publicas,llave maestra,a pie,a pie,33,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,yd110,2013,azul
2016-01-01,valle,cali (ct),viernes,23:30:00,alfonso b. aragon e14,urbana,vias publicas,llave maestra,a pie,a pie,28,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe es,2012,negro
2016-01-01,valle,cali (ct),viernes,21:45:00,primavera e11,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,29,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,vivax 115,1994,rojo
2016-01-01,valle,cali (ct),viernes,00:40:00,valle grande e21,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,26,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,viva r 115,2014,azul
2016-01-01,valle,cali (ct),viernes,00:19:00,valle grande e21,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,19,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,t115,2016,azul
2016-01-02,valle,cali (ct),sabado,22:00:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,20,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe es,2012,negro grafito
