fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2019-01-01,valle,cali (ct),martes,06:00:00,nueva floresta e12,urbana,vias publicas,llave maestra,a pie,a pie,31,femenino,union libre,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,yamaha,t115,2014,azul
2019-01-01,valle,cali (ct),martes,22:30:00,,urbana,vias publicas,llave maestra,a pie,a pie,29,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,akt,ak125 nkdr,2014,negro
2019-01-01,valle,cali (ct),martes,07:00:00,antonio narino e16,urbana,vias publicas,llave maestra,a pie,a pie,47,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,west,wbk 110,2010,rojo
2019-01-01,valle,cali (ct),martes,07:00:00,vallado e15,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,26,femenino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2018,negro
2019-01-02,valle,cali (ct),miercoles,19:00:00,san carlos e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,26,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,victory,sin linea,2017,negro
2019-01-02,valle,cali (ct),miercoles,20:00:00,los naranjos i e14,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor vehiculo,43,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,akt,ak125 nkdr,2019,negro
2019-01-02,valle,cali (ct),miercoles,22:00:00,junin e9,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,22,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,akt,ak125 nkdr,2019,negro
2019-01-02,valle,cali (ct),miercoles,21:30:00,mariano ramos e16,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,39,femenino,casado,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,yamaha,yw125xfi,2018,gris
2019-01-02,valle,cali (ct),miercoles,22:30:00,la base e8,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,20,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,yamaha,115,2014,rojo
2019-01-02,valle,cali (ct),miercoles,18:00:00,san fernando nuevo e19,urbana,parqueadero,llave maestra,a pie,a pie,39,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000,motocicleta,yamaha,rx 115 s,2005,negro
2019-01-03,valle,cali (ct),jueves,22:00:00,cristobal colon e10,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,25,masculino,union libre,colombia,empleado particular,no reportada,tecnico,76001000,motocicleta,yamaha,,2017,azul
2019-01-03,valle,cali (ct),jueves,21:30:00,el poblado i e13,urbana,vias publicas,arma de fuego,pasajero motocicleta,conductor motocicleta,24,femenino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,yamaha,at 115,2015,negro
2019-01-03,valle,cali (ct),jueves,14:00:00,san pedro e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,20,femenino,soltero,colombia,estudiante,,secundaria,76001000,motocicleta,yamaha,at 115,2011,negro grafito
2019-01-03,valle,cali (ct),jueves,08:00:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,32,masculino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,honda,xl 125,1995,rojo
