fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2011-01-01,valle,cali (ct),sabado,19:00:00,santa fe e8,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,31,femenino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,vivax 115,2007,azul
2011-01-01,valle,cali (ct),sabado,03:00:00,calypso e13,urbana,,arma de fuego,a pie,conductor motocicleta,27,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,sin linea,2006,azul
2011-01-01,valle,cali (ct),sabado,03:00:00,el cortijo e20,urbana,,llave maestra,a pie,conductor motocicleta,34,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,ax 100,1994,negro
2011-01-01,valle,cali (ct),sabado,05:30:00,puertas del sol e14,urbana,,arma de fuego,a pie,conductor motocicleta,37,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2009,negro
2011-01-01,valle,cali (ct),sabado,06:30:00,calimio desepaz e21,urbana,vias publicas,llave maestra,a pie,a pie,28,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,,1998,marron
2011-01-01,valle,cali (ct),sabado,06:50:00,los chorros e18,urbana,vias publicas,llave maestra,a pie,a pie,29,masculino,casado,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,sin linea,2007,gris
2011-01-02,valle,cali (ct),domingo,20:00:00,charco azul e13,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,29,masculino,soltero,colombia,empleado particular,,tecnico,76001000,motocicleta,akt,sin linea,2008,rojo
2011-01-02,valle,cali (ct),domingo,19:30:00,el rodeo e12,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,yw125,2009,negro
2011-01-02,valle,cali (ct),domingo,21:00:00,primavera e11,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,27,femenino,separado,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,c 100 wave,2010,negro
2011-01-02,valle,cali (ct),domingo,19:00:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,23,femenino,soltero,colombia,empleado particular,,superior,76001000,motocicleta,suzuki,sin linea,2008,negro
2011-01-02,valle,cali (ct),domingo,15:00:00,chiminangos i e5,urbana,parqueadero,llave maestra,a pie,conductor motocicleta,27,femenino,union libre,colombia,empleado particular,,superior,76001000,motocicleta,jialing,,2008,azul
2011-01-02,valle,cali (ct),domingo,20:15:00,charco azul e13,urbana,vias publicas,arma blanca / cortopunzante,a pie,conductor motocicleta,26,femenino,soltero,colombia,empleado particular,,tecnico,76001000,motocicleta,honda,c 100 wave,2008,negro
2011-01-02,valle,cali (ct),domingo,19:15:00,vallado e15,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,19,femenino,soltero,colombia,estudiante,,superior,76001000,motocicleta,auteco,active 110,2009,gris
2011-01-02,valle,cali (ct),domingo,18:50:00,lourdes e18,urbana,,arma de fuego,a pie,conductor motocicleta,30,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,,2005,azul
2011-01-02,valle,cali (ct),domingo,12:40:00,marroquin i e14,urbana,puente peatonal,arma blanca / cortopunzante,a pie,conductor motocicleta,30,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,bajaj,xcd 125,2010,azul
2011-01-03,valle,cali (ct),lunes,20:00:00,pueblo joven e20,urbana,,llave maestra,a pie,conductor motocicleta,26,femenino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,ak 110s,2007,rojo
2011-01-03,valle,cali (ct),lunes,21:00:00,la esmeralda e4,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,21,masculino,soltero,colombia,empleado particular,ingenieria industrial,superior,76001000,motocicleta,yamaha,fz16,2010,azul
2011-01-03,valle,cali (ct),lunes,18:30:00,siete de agosto e7,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,kawasaki,zir,1995,negro
2011-01-03,valle,cali (ct),lunes,22:30:00,diamante e13,urbana,vias publicas,llave maestra,a pie,conductor motocicleta,20,masculino,soltero,colombia,empleado policial,policias,secundaria,76001000,motocicleta,suzuki,fr 80,1994,negro
2011-01-03,valle,cali (ct),lunes,10:30:00,ciudad 2000 e16,urbana,vias publicas,arma de fuego,a pie,a pie,37,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,jialing,,2008,azul
2011-01-03,valle,cali (ct),lunes,19:15:00,miraflores e19,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,36,femenino,casado,colombia,comerciante,,secundaria,76001000,motocicleta,suzuki,vivax 115,2011,negro
2011-01-03,valle,cali (ct),lunes,22:20:00,popular e4,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,27,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,sin linea,2008,negro
2011-01-04,valle,cali (ct),martes,19:00:00,chapinero e8,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,26,masculino,soltero,,independiente,,secundaria,76001000,motocicleta,yamaha,at 115,2006,azul
2011-01-04,valle,cali (ct),martes,19:00:00,san juan bosco e3,urbana,vias publicas,llave maestra,a pie,a pie,27,femenino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,yamaha,,1996,azul y blanco
2011-01-04,valle,cali (ct),martes,15:00:00,el troncal e8,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,34,masculino,casado,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,yd110,2008,negro
2011-01-04,valle,cali (ct),martes,15:00:00,morichal de comfandi e15,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,49,masculino,casado,colombia,independiente,,primaria,76001000,motocicleta,honda,sin linea,2008,negro
2011-01-04,valle,cali (ct),martes,08:00:00,versalles e2,urbana,vias publicas,llave maestra,a pie,a pie,33,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,ax 100,1995,azul
2011-01-04,valle,cali (ct),martes,11:00:00,alirio mora beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,35,masculino,casado,colombia,independiente,,superior,76001000,motocicleta,suzuki,sin linea,2007,azul
2011-01-04,valle,cali (ct),martes,17:30:00,alfonso b. aragon e14,urbana,talleres,arma de fuego,a pie,a pie,41,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2011,negro
2011-01-04,valle,cali (ct),martes,17:30:00,las acacias e10,urbana,vias publicas,arma de fuego,a pie,a pie,42,masculino,union libre,,independiente,,primaria,76001000,motocicleta,yamaha,fz16,2009,rojo
2011-01-04,valle,cali (ct),martes,09:30:00,san pedro e3,urbana,vias publicas,llave maestra,a pie,a pie,20,masculino,soltero,colombia,empleado ejercito,,secundaria,76001000,motocicleta,suzuki,ax 100,1998,negro
2011-01-04,valle,cali (ct),martes,19:20:00,los cambulos e19,urbana,,llave maestra,a pie,a pie,42,masculino,casado,colombia,empleado particular,,secundaria,76001000,motocicleta,bajaj,boxer tec,2005,azul
2011-01-04,valle,cali (ct),martes,17:45:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,conductor motocicleta,48,masculino,casado,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2008,negro
2011-01-04,valle,cali (ct),martes,17:48:00,el sena e5,urbana,vias publicas,arma de fuego,a pie,a pie,65,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2011,negro
2011-01-05,valle,cali (ct),miercoles,20:00:00,la luisa e19,rural,carretera,arma de fuego,conductor motocicleta,conductor motocicleta,51,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,suzuki,vivax 115,2008,negro
2011-01-05,valle,cali (ct),miercoles,21:30:00,el poblado i e13,urbana,,arma de fuego,a pie,conductor motocicleta,31,masculino,soltero,colombia,empleado particular,,primaria,76001000,motocicleta,honda,eco deluxe,2011,negro
2011-01-05,valle,cali (ct),miercoles,18:30:00,alfonso lopez ii e7,urbana,establecimientos revisados,arma de fuego,a pie,a pie,34,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,sin linea,2007,negro
2011-01-05,valle,cali (ct),miercoles,22:30:00,el guabal e10,urbana,,llave maestra,a pie,a pie,21,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,ak 150tt,2010,negro
2011-01-05,valle,cali (ct),miercoles,05:00:00,el troncal e8,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,40,masculino,union libre,colombia,independiente,,secundaria,76001000,motocicleta,akt,ak150 evo,2011,rojo
2011-01-05,valle,cali (ct),miercoles,12:30:00,mariano ramos e16,urbana,"colegios, escuelas",arma de fuego,a pie,conductor motocicleta,32,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,dt 175,2006,amarillo y negro
2011-01-05,valle,cali (ct),miercoles,20:15:00,alfonso lopez ii e7,urbana,,arma de fuego,conductor motocicleta,conductor motocicleta,32,femenino,union libre,colombia,empleado particular,,tecnologo,76001000,motocicleta,suzuki,vivax 115,2008,azul
2011-01-05,valle,cali (ct),miercoles,21:40:00,,urbana,,arma de fuego,a pie,conductor motocicleta,21,masculino,soltero,colombia,empleado particular,,tecnico,76001000,motocicleta,jialing,,2010,negro
2011-01-05,valle,cali (ct),miercoles,20:50:00,torres de confandi e5,urbana,,llave maestra,a pie,conductor motocicleta,18,masculino,soltero,colombia,estudiante,,secundaria,76001000,motocicleta,yamaha,sin linea,1997,negro
2011-01-06,valle,cali (ct),jueves,21:00:00,urbanizacion calimio e6,urbana,,arma de fuego,a pie,a pie,30,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,splendor nxg,2011,negro
2011-01-06,valle,cali (ct),jueves,20:30:00,santa elena e10,urbana,,arma de fuego,a pie,conductor motocicleta,33,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,cd deluxe,2010,negro
2011-01-06,valle,cali (ct),jueves,12:30:00,morichal de comfandi e15,urbana,,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,empleado particular,,superior,76001000,motocicleta,honda,cbf 150,2008,negro
2011-01-06,valle,cali (ct),jueves,05:30:00,los sauces e11,urbana,casas de habitacion,llave maestra,a pie,conductor motocicleta,37,masculino,casado,colombia,empleado policial,policias,secundaria,76001000,motocicleta,suzuki,fr 80,1996,rojo
2011-01-06,valle,cali (ct),jueves,11:40:00,metropolitano del norte e5,urbana,cementerio,llave maestra,a pie,a pie,29,femenino,casado,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,,2000,rojo
2011-01-06,valle,cali (ct),jueves,22:10:00,la independencia e11,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,26,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,sin linea,2009,negro
2011-01-06,valle,cali (ct),jueves,14:03:00,san pedro e3,urbana,vias publicas,llave maestra,a pie,a pie,44,masculino,separado,colombia,empleado particular,tecnico empresarial,tecnico,76001000,motocicleta,honda,125 cc,1979,azul
2011-01-07,valle,cali (ct),viernes,19:30:00,brisas de los alamos e2,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,25,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,eco deluxe,2010,rojo
