fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2018-01-01,valle,cali (ct),lunes,06:00:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,25,masculino,soltero,colombia,empleado particular,tecnologo  en contabilidad,tecnico,76001000,motocicleta,suzuki,ax 100,2008,negro
2018-01-01,valle,cali (ct),lunes,07:00:00,aranjuez e9,urbana,vias publicas,llave maestra,a pie,a pie,23,masculino,soltero,colombia,independiente,,primaria,76001000,motocicleta,akt,ak125rl,2015,rojo
2018-01-01,valle,cali (ct),lunes,22:30:00,san judas tadeo ii e10,urbana,vias publicas,llave maestra,a pie,a pie,49,femenino,casado,colombia,comerciante,,primaria,76001000,motocicleta,auteco,active 110,2018,negro
2018-01-01,valle,cali (ct),lunes,10:30:00,santa elena e10,urbana,vias publicas,llave maestra,a pie,a pie,32,masculino,casado,,empleado particular,,secundaria,76001000,motocicleta,auteco bajaj,discover 125,2016,negro grafito
2018-01-01,valle,cali (ct),lunes,10:30:00,urbanizacion boyaca e11,urbana,,llave maestra,a pie,a pie,27,masculino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,auteco bajaj,discover 125,2016,negro
2018-01-01,valle,cali (ct),lunes,09:30:00,pizamos ii e21,urbana,vias publicas,llave maestra,a pie,a pie,61,masculino,union libre,colombia,empleado particular,administracion  de empresas,superior,76001000,motocicleta,honda,70 s,1994,azul
2018-01-01,valle,cali (ct),lunes,19:45:00,siloe e20,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,33,femenino,union libre,colombia,independiente,,secundaria,76001000,motocicleta,yamaha,t115 fl,2018,negro
2018-01-01,valle,cali (ct),lunes,17:40:00,los naranjos i e14,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,20,femenino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,ak 125,2005,amarillo
2018-01-01,valle,cali (ct),lunes,22:10:00,antonio narino e16,urbana,vias publicas,llave maestra,a pie,a pie,26,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,cb 110,2013,blanco
2018-01-01,valle,cali (ct),lunes,06:05:00,los lideres e21,urbana,vias publicas,arma blanca / cortopunzante,a pie,conductor motocicleta,37,masculino,union libre,colombia,independiente,,secundaria,76001000,motocicleta,akt,ak125 nkdr,2018,negro
2018-01-01,valle,cali (ct),lunes,23:25:00,union de vivienda popular e16,urbana,vias publicas,llave maestra,a pie,a pie,26,masculino,union libre,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,xr150l,2018,negro
