fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-08,valle,cali (ct),viernes,06:00:00,normandia e2,urbana,casas de habitacion,cortantes,a pie,a pie,51,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,09:00:00,obrero e9,urbana,dentro de la vivienda,cortantes,a pie,a pie,64,masculino,divorciado,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,10:00:00,los andes e5,urbana,casas de habitacion,cortantes,a pie,a pie,33,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,20:00:00,inv. nueva ilusion e13,urbana,casas de habitacion,cortantes,a pie,a pie,33,femenino,union libre,no reportado,ama de casa,no reportado,primaria,76001000
2010-01-09,valle,cali (ct),sabado,00:00:00,alameda e9,urbana,dentro de la vivienda,cortantes,a pie,a pie,24,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,10:00:00,nueva granada e19,urbana,casas de habitacion,cortantes,a pie,a pie,56,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,16:00:00,lleras restrepo e13,urbana,casas de habitacion,cortantes,a pie,a pie,65,masculino,casado,no reportado,independiente,no reportado,primaria,76001000
2010-01-09,valle,cali (ct),sabado,22:00:00,,urbana,casas de habitacion,cortantes,a pie,a pie,38,femenino,casado,colombia,independiente,licenciado,superior,76001000
2010-01-10,valle,cali (ct),domingo,00:00:00,pance e22,urbana,conjunto residencial,cortantes,a pie,a pie,37,masculino,union libre,colombia,independiente,no reportado,superior,76001000
2010-01-10,valle,cali (ct),domingo,03:00:00,los cambulos e19,urbana,apartamento,arma de fuego,a pie,a pie,41,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-10,valle,cali (ct),domingo,08:50:00,santa isabel e19,urbana,dentro de la vivienda,contundentes,a pie,a pie,51,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-10,valle,cali (ct),domingo,10:00:00,el refugio e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,30,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2010-01-10,valle,cali (ct),domingo,11:00:00,san carlos e11,urbana,casas de habitacion,contundentes,a pie,a pie,56,femenino,union libre,colombia,ama de casa,administrador de empresas,superior,76001000
2010-01-10,valle,cali (ct),domingo,16:15:00,pance e22,urbana,casa en conjunto cerrado,contundentes,a pie,a pie,62,masculino,casado,colombia,empleado particular,arquitecto,secundaria,76001000
2010-01-11,valle,cali (ct),lunes,00:00:00,el cortijo e20,urbana,casas de habitacion,cortantes,a pie,a pie,48,masculino,divorciado,colombia,independiente,no reportado,secundaria,76001000
2010-01-11,valle,cali (ct),lunes,03:00:00,ciudad capri e17,urbana,apartamento,sin empleo de armas,a pie,a pie,31,femenino,casado,colombia,empleado particular,administrador de empresas,superior,76001000
2010-01-11,valle,cali (ct),lunes,09:30:00,metropolitano del norte e5,urbana,apartamento en conjunto cerrado,contundentes,a pie,a pie,39,masculino,soltero,colombia,comerciante,no reportado,superior,76001000
2010-01-11,valle,cali (ct),lunes,18:00:00,ciudad jardin e22,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,45,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-12,valle,cali (ct),martes,16:00:00,villa del lago e13,urbana,dentro de la vivienda,cortantes,a pie,a pie,36,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000
2010-01-12,valle,cali (ct),martes,20:30:00,mojica e15,urbana,casas de habitacion,cortantes,a pie,a pie,25,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2010-01-13,valle,cali (ct),miercoles,07:30:00,bretana e9,urbana,casas de habitacion,cortantes,a pie,a pie,32,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-13,valle,cali (ct),miercoles,08:00:00,santa monica residencial e2,urbana,casas de habitacion,cortantes,a pie,a pie,57,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-13,valle,cali (ct),miercoles,08:00:00,santa monica residencial e2,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,66,masculino,separado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-13,valle,cali (ct),miercoles,08:08:00,santa monica residencial e2,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,48,masculino,soltero,colombia,empleado particular,no reportado,superior,76001000
2010-01-13,valle,cali (ct),miercoles,16:00:00,nueva floresta e12,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,35,femenino,soltero,no reportado,independiente,no reportado,secundaria,76001000
2010-01-13,valle,cali (ct),miercoles,17:00:00,los andes e5,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,35,masculino,soltero,colombia,empleado particular,no reportado,superior,76001000
2010-01-14,valle,cali (ct),jueves,07:00:00,compartir e21,urbana,casas de habitacion,cortantes,a pie,a pie,24,masculino,soltero,colombia,independiente,no reportado,tecnico,76001000
2010-01-14,valle,cali (ct),jueves,20:25:00,primero de mayo e17,urbana,apartamento,sin empleo de armas,a pie,a pie,39,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-14,valle,cali (ct),jueves,22:30:00,porvenir e4,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,33,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-15,valle,cali (ct),viernes,01:05:00,santa fe e8,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,56,femenino,viudo,colombia,independiente,no reportado,secundaria,76001000
2010-01-15,valle,cali (ct),viernes,07:00:00,mojica e15,urbana,casas de habitacion,cortantes,a pie,a pie,53,femenino,casado,colombia,ama de casa,no reportado,primaria,76001000
2010-01-15,valle,cali (ct),viernes,08:50:00,la flora e2,urbana,apartamento,arma de fuego,vehiculo,a pie,no reportado,masculino,no reportado,no reportado,empleado particular,no reportado,no reportado,76001000
2010-01-15,valle,cali (ct),viernes,11:30:00,miraflores e19,urbana,apartamento,contundentes,a pie,a pie,33,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-15,valle,cali (ct),viernes,15:00:00,el refugio e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,31,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2010-01-15,valle,cali (ct),viernes,21:00:00,san vicente e2,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,56,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-16,valle,cali (ct),sabado,02:00:00,sucre e9,urbana,casas de habitacion,contundentes,a pie,a pie,26,femenino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-16,valle,cali (ct),sabado,10:00:00,torres de confandi e5,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,44,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-16,valle,cali (ct),sabado,12:30:00,guayaquil e9,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,59,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-16,valle,cali (ct),sabado,18:30:00,las quintas de don simon e17,urbana,casas de habitacion,cortantes,a pie,a pie,50,femenino,casado,colombia,independiente,no reportado,tecnico,76001000
2010-01-16,valle,cali (ct),sabado,21:00:00,juanambu e2,urbana,dentro de la vivienda,cortantes,a pie,a pie,59,masculino,casado,no reportado,independiente,no reportado,superior,76001000
2010-01-16,valle,cali (ct),sabado,21:35:00,ciudad jardin e22,urbana,casa en conjunto cerrado,cortantes,a pie,a pie,49,masculino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-17,valle,cali (ct),domingo,05:00:00,los comuneros i e15,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,20,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2010-01-17,valle,cali (ct),domingo,06:45:00,centenario e2,urbana,casas de habitacion,contundentes,a pie,a pie,42,masculino,soltero,colombia,religioso,no reportado,secundaria,76001000
2010-01-17,valle,cali (ct),domingo,17:30:00,inv. cinta sardi e13,urbana,casas de habitacion,contundentes,a pie,a pie,46,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-17,valle,cali (ct),domingo,19:00:00,primero de mayo e17,urbana,dentro de la vivienda,cortantes,a pie,a pie,67,masculino,casado,colombia,independiente,no reportado,tecnico,76001000
