fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2014-01-01,valle,cali (ct),miercoles,16:00:00,la base e8,urbana,dentro de la vivienda,contundentes,a pie,a pie,25,masculino,soltero,colombia,empleado particular,,tecnico,76001000
2014-01-01,valle,cali (ct),miercoles,16:00:00,la nueva base e8,urbana,dentro de la vivienda,contundentes,a pie,a pie,26,femenino,soltero,colombia,empleado particular,derecho,superior,76001000
2014-01-01,valle,cali (ct),miercoles,20:00:00,el trebol e8,urbana,dentro de la vivienda,contundentes,conductor vehiculo,a pie,53,masculino,casado,colombia,educador,,superior,76001000
2014-01-03,valle,cali (ct),viernes,03:30:00,par. monaco e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,19,femenino,soltero,colombia,independiente,,secundaria,76001000
2014-01-04,valle,cali (ct),sabado,03:00:00,alfonso barberena e12,urbana,dentro de la vivienda,contundentes,a pie,a pie,60,masculino,casado,colombia,independiente,,secundaria,76001000
2014-01-04,valle,cali (ct),sabado,12:30:00,las granjas e10,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,24,masculino,casado,colombia,comerciante,administracion  de empresas,superior,76001000
2014-01-04,valle,cali (ct),sabado,05:00:00,el bosque e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,32,femenino,soltero,colombia,empleado particular,,superior,76001000
2014-01-04,valle,cali (ct),sabado,18:45:00,calima e4,urbana,dentro de la vivienda,contundentes,a pie,a pie,32,masculino,union libre,colombia,comerciante,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,20:00:00,chiminangos i e5,urbana,dentro de la vivienda,contundentes,a pie,a pie,29,femenino,soltero,colombia,independiente,,secundaria,76001000
2014-01-05,valle,cali (ct),domingo,02:00:00,cristobal colon e10,urbana,dentro de la vivienda,sin empleo de armas,conductor vehiculo,a pie,29,masculino,union libre,colombia,empleado particular,,tecnico,76001000
2014-01-06,valle,cali (ct),lunes,09:00:00,diamante e13,urbana,dentro de la vivienda,contundentes,a pie,a pie,71,masculino,viudo,colombia,comerciante,,primaria,76001000
2014-01-06,valle,cali (ct),lunes,23:00:00,cgto la voragine e22,rural,fincas y similares,contundentes,conductor vehiculo,a pie,46,masculino,union libre,colombia,independiente,,secundaria,76001000
2014-01-07,valle,cali (ct),martes,15:00:00,urbanizacion boyaca e11,urbana,dentro de la vivienda,contundentes,conductor vehiculo,a pie,35,masculino,union libre,colombia,independiente,,superior,76001000
2014-01-07,valle,cali (ct),martes,14:00:00,patio bonito e1,urbana,dentro de la vivienda,contundentes,a pie,a pie,22,masculino,union libre,colombia,empleado particular,,primaria,76001000
2014-01-08,valle,cali (ct),miercoles,07:00:00,alfonso lopez iii e7,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,72,masculino,union libre,colombia,independiente,,superior,76001000
2014-01-08,valle,cali (ct),miercoles,19:30:00,lili e17,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,femenino,soltero,colombia,comerciante,,tecnico,76001000
2014-01-10,valle,cali (ct),viernes,16:00:00,cristobal colon e10,urbana,dentro de la vivienda,contundentes,a pie,a pie,35,masculino,casado,colombia,empleado particular,,secundaria,76001000
2014-01-10,valle,cali (ct),viernes,19:00:00,el lido e19,urbana,casas de habitacion,contundentes,a pie,a pie,46,masculino,casado,colombia,comerciante,,secundaria,76001000
2014-01-10,valle,cali (ct),viernes,19:00:00,francisco eladio ramirez e18,urbana,dentro de la vivienda,contundentes,a pie,a pie,44,femenino,soltero,colombia,ama de casa,,tecnico,76001000
2014-01-10,valle,cali (ct),viernes,19:00:00,santa fe e8,urbana,apartamento en conjunto cerrado,contundentes,a pie,a pie,26,femenino,union libre,colombia,empleado particular,,superior,76001000
2014-01-10,valle,cali (ct),viernes,18:00:00,morichal de comfandi e15,urbana,dentro de la vivienda,contundentes,a pie,a pie,22,masculino,union libre,colombia,empleado particular,,tecnico,76001000
2014-01-11,valle,cali (ct),sabado,17:00:00,lili e17,urbana,dentro de la vivienda,contundentes,a pie,a pie,30,masculino,union libre,colombia,empleado particular,,superior,76001000
2014-01-11,valle,cali (ct),sabado,11:30:00,alto jordan e18,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,52,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2014-01-13,valle,cali (ct),lunes,01:00:00,el calvario e3,urbana,dentro de la vivienda,contundentes,a pie,a pie,29,masculino,soltero,colombia,independiente,,secundaria,76001000
2014-01-14,valle,cali (ct),martes,13:00:00,cgto la reforma e19,rural,dentro de la vivienda,arma de fuego,a pie,a pie,64,masculino,casado,colombia,empleado particular,,superior,76001000
2014-01-14,valle,cali (ct),martes,19:30:00,lili e17,urbana,conjunto residencial,contundentes,a pie,a pie,60,femenino,divorciado,colombia,independiente,,secundaria,76001000
2014-01-15,valle,cali (ct),miercoles,20:00:00,torres de confandi e5,urbana,dentro de la vivienda,arma blanca / cortopunzante,a pie,a pie,33,masculino,soltero,,estudiante,,superior,76001000
2014-01-15,valle,cali (ct),miercoles,13:30:00,el guabal e10,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,38,femenino,union libre,colombia,independiente,,secundaria,76001000
2014-01-17,valle,cali (ct),viernes,15:00:00,alfonso b. aragon e14,urbana,dentro de la vivienda,contundentes,a pie,a pie,70,masculino,casado,,independiente,,secundaria,76001000
2014-01-17,valle,cali (ct),viernes,20:30:00,ciudad de los alamos e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,29,femenino,soltero,colombia,empleado particular,,tecnico,76001000
2014-01-17,valle,cali (ct),viernes,20:20:00,primero de mayo e17,urbana,dentro de la vivienda,arma de fuego,a pie,conductor vehiculo,43,femenino,union libre,colombia,comerciante,,secundaria,76001000
2014-01-18,valle,cali (ct),sabado,00:00:00,ciudad 2000 e16,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,28,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2014-01-18,valle,cali (ct),sabado,00:00:00,,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,45,femenino,union libre,colombia,ama de casa,,secundaria,76001000
2014-01-18,valle,cali (ct),sabado,18:00:00,las acacias e10,urbana,dentro de la vivienda,contundentes,a pie,a pie,35,masculino,soltero,colombia,empleado particular,,tecnico,76001000
2014-01-18,valle,cali (ct),sabado,18:30:00,prados del limonar e17,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,32,masculino,viudo,colombia,empleado particular,,secundaria,76001000
2014-01-18,valle,cali (ct),sabado,02:50:00,aguacatal e1,urbana,conjunto residencial,contundentes,a pie,a pie,43,femenino,casado,colombia,empleado particular,,superior,76001000
2014-01-19,valle,cali (ct),domingo,00:00:00,el poblado ii e13,urbana,dentro de la vivienda,contundentes,conductor vehiculo,a pie,25,femenino,soltero,colombia,empleado particular,,primaria,76001000
2014-01-19,valle,cali (ct),domingo,00:00:00,urb. ciudad jardin e22,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,69,femenino,viudo,colombia,pensionado,,secundaria,76001000
2014-01-19,valle,cali (ct),domingo,19:30:00,pampa linda e19,urbana,dentro de la vivienda,contundentes,a pie,a pie,21,femenino,soltero,colombia,estudiante,,superior,76001000
2014-01-20,valle,cali (ct),lunes,09:00:00,juanambu e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,48,femenino,casado,colombia,empleado particular,administracion  de empresas,superior,76001000
2014-01-21,valle,cali (ct),martes,00:00:00,,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,40,femenino,soltero,colombia,empleado particular,,tecnico,76001000
2014-01-21,valle,cali (ct),martes,13:30:00,,urbana,dentro de la vivienda,arma de fuego,pasajero taxi,a pie,27,femenino,soltero,colombia,empleado particular,,tecnico,76001000
