fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2017-01-01,valle,cali (ct),domingo,00:00:00,los lagos e13,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,61,masculino,soltero,colombia,independiente,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,08:00:00,petecuy i e6,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,84,masculino,soltero,colombia,desempleado,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,02:00:00,los lagos e13,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,32,masculino,soltero,colombia,independiente,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,09:30:00,alto jordan e18,urbana,casas de habitacion,contundentes,a pie,a pie,58,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,00:00:00,mojica e15,urbana,casas de habitacion,palancas,a pie,a pie,68,masculino,casado,colombia,empleado particular,,primaria,76001000
2017-01-02,valle,cali (ct),lunes,12:00:00,manuela beltran e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,25,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,14:00:00,rafael uribe uribe e8,urbana,casas de habitacion,palancas,a pie,a pie,33,femenino,soltero,colombia,ama de casa,,tecnico,76001000
2017-01-02,valle,cali (ct),lunes,06:30:00,el paraiso e12,urbana,casas de habitacion,contundentes,a pie,a pie,38,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,00:28:00,santander e4,urbana,casas de habitacion,contundentes,a pie,a pie,21,femenino,union libre,colombia,independiente,,secundaria,76001000
2017-01-03,valle,cali (ct),martes,00:00:00,siloe e20,urbana,casas de habitacion,palancas,a pie,a pie,54,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-03,valle,cali (ct),martes,03:00:00,el refugio e19,urbana,casas de habitacion,contundentes,a pie,a pie,71,femenino,casado,colombia,independiente,,superior,76001000
2017-01-03,valle,cali (ct),martes,03:00:00,manuela beltran e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,40,masculino,union libre,colombia,comerciante,,primaria,76001000
2017-01-03,valle,cali (ct),martes,11:00:00,parcelaciones pance e22,urbana,apartamento,llave maestra,a pie,a pie,62,masculino,casado,colombia,empleado publico,derecho,superior,76001000
2017-01-03,valle,cali (ct),martes,09:00:00,san luis e6,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,38,masculino,union libre,colombia,empleado particular,,tecnico,76001000
2017-01-03,valle,cali (ct),martes,17:45:00,santa rita e2,urbana,casas de habitacion,contundentes,a pie,a pie,55,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-03,valle,cali (ct),martes,03:40:00,la flora e2,urbana,casas de habitacion,contundentes,a pie,a pie,42,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-04,valle,cali (ct),miercoles,00:00:00,san juan bosco e3,urbana,casas de habitacion,contundentes,a pie,a pie,40,masculino,union libre,colombia,independiente,,secundaria,76001000
2017-01-04,valle,cali (ct),miercoles,11:55:00,,urbana,casas de habitacion,contundentes,a pie,a pie,25,femenino,soltero,colombia,empleado particular,administracion  publica,superior,76001000
2017-01-05,valle,cali (ct),jueves,00:00:00,vista hermosa e1,urbana,casas de habitacion,palancas,a pie,a pie,43,femenino,union libre,colombia,independiente,,secundaria,76001000
2017-01-05,valle,cali (ct),jueves,21:20:00,ciudad capri e17,urbana,casas de habitacion,contundentes,a pie,a pie,23,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-05,valle,cali (ct),jueves,00:34:00,el ingenio e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,56,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,00:00:00,,urbana,casas de habitacion,palancas,a pie,a pie,32,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,00:00:00,la independencia e11,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,46,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,19:00:00,manuela beltran e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,19,femenino,union libre,colombia,empleado particular,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,04:00:00,puertas del sol e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,26,femenino,soltero,colombia,independiente,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,20:15:00,cgto la reforma e19,rural,casas de habitacion,arma de fuego,a pie,a pie,38,masculino,casado,colombia,independiente,,secundaria,76001000
2017-01-06,valle,cali (ct),viernes,16:31:00,olimpico e10,urbana,casas de habitacion,contundentes,a pie,a pie,41,masculino,casado,colombia,empleado particular,,secundaria,76001000
2017-01-07,valle,cali (ct),sabado,00:00:00,el ingenio e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,36,masculino,union libre,colombia,independiente,,secundaria,76001000
2017-01-07,valle,cali (ct),sabado,14:00:00,horizonte e18,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,26,femenino,soltero,colombia,estudiante,,superior,76001000
2017-01-07,valle,cali (ct),sabado,04:00:00,ciudadela del rio e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,31,masculino,casado,colombia,comerciante,,secundaria,76001000
2017-01-07,valle,cali (ct),sabado,18:50:00,juanambu e2,urbana,casas de habitacion,contundentes,a pie,a pie,34,femenino,casado,colombia,independiente,,secundaria,76001000
2017-01-08,valle,cali (ct),domingo,15:00:00,charco azul e13,urbana,casas de habitacion,contundentes,a pie,a pie,24,femenino,soltero,colombia,empleado particular,,primaria,76001000
2017-01-08,valle,cali (ct),domingo,04:00:00,el lido e19,urbana,casas de habitacion,palancas,a pie,a pie,43,femenino,union libre,colombia,empleado particular,,superior,76001000
2017-01-08,valle,cali (ct),domingo,05:00:00,morichal de comfandi e15,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,53,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-08,valle,cali (ct),domingo,02:30:00,aguacatal e1,urbana,casas de habitacion,contundentes,a pie,a pie,65,masculino,soltero,colombia,comerciante,,primaria,76001000
